cabid lati longi timestamp sequence
2.0 37.7255 -122.4341 825.0 12.0
2.0 37.6507 -122.4068 862.0 13.0
2.0 37.7947 -122.4006 878.0 14.0
2.0 37.6019 -122.3795 937.0 15.0
2.0 37.6004 -122.3840 954.0 16.0
2.0 37.6039 -122.3825 970.0 17.0
3.0 37.7296 -122.4032 552.0 1.0
3.0 37.8021 -122.4019 566.0 2.0
3.0 37.7917 -122.4027 587.0 3.0
3.0 37.6179 -122.3871 614.0 4.0
3.0 37.6119 -122.3955 721.0 5.0
3.0 37.4257 -122.0977 743.0 6.0
3.0 37.7894 -122.4023 815.0 7.0
3.0 37.7906 -122.4324 829.0 8.0
3.0 37.7902 -122.4207 837.0 9.0
3.0 37.7886 -122.3928 846.0 10.0
3.0 37.7766 -122.3956 972.0 11.0
3.0 37.7766 -122.3958 974.0 12.0
3.0 37.7717 -122.4019 977.0 13.0
3.0 37.7874 -122.4111 985.0 14.0
3.0 37.7995 -122.4093 991.0 15.0
3.0 37.7948 -122.4002 996.0 16.0
3.0 37.7848 -122.3899 1001.0 17.0
3.0 37.7821 -122.3925 1007.0 18.0
3.0 37.7797 -122.3949 1013.0 19.0
4.0 37.7936 -122.4017 756.0 1.0
4.0 37.7904 -122.4225 762.0 2.0
4.0 37.8027 -122.4295 783.0 3.0
4.0 37.6179 -122.3857 810.0 4.0
4.0 37.7460 -122.3873 847.0 5.0
4.0 37.7815 -122.4654 866.0 6.0
4.0 37.7860 -122.4572 870.0 7.0
4.0 37.8025 -122.4306 887.0 8.0
4.0 37.7860 -122.4197 922.0 9.0
4.0 37.7637 -122.3977 932.0 10.0
1.0 37.6247 -122.4011 613.0 1.0
1.0 37.8067 -122.4106 633.0 2.0
1.0 37.8060 -122.4179 639.0 3.0
1.0 37.7965 -122.4022 646.0 4.0
1.0 37.7929 -122.3961 659.0 5.0
1.0 37.7989 -122.4083 668.0 6.0
1.0 37.7945 -122.3998 683.0 7.0
1.0 37.8012 -122.4018 688.0 8.0
1.0 37.7947 -122.3977 709.0 9.0
1.0 37.7953 -122.2695 726.0 10.0
1.0 37.7949 -122.3976 759.0 11.0
1.0 37.7892 -122.4106 766.0 12.0
1.0 37.7885 -122.4056 769.0 13.0
1.0 37.7914 -122.3943 775.0 14.0
1.0 37.7909 -122.4041 789.0 15.0
1.0 37.7897 -122.4137 792.0 16.0
1.0 37.7885 -122.4047 795.0 17.0
1.0 37.7725 -122.4041 805.0 18.0
2.0 37.7575 -122.4090 577.0 1.0
2.0 37.6820 -122.3888 619.0 2.0
2.0 37.7833 -122.4404 712.0 3.0
2.0 37.7239 -122.4359 740.0 4.0
2.0 37.7577 -122.4191 755.0 5.0
2.0 37.7927 -122.4334 768.0 6.0
2.0 37.7859 -122.4333 772.0 7.0
2.0 37.7408 -122.4310 790.0 8.0
2.0 37.7422 -122.4252 803.0 9.0
2.0 37.7226 -122.4442 809.0 10.0
2.0 37.7209 -122.4355 821.0 11.0
2.0 37.7613 -122.4277 833.0 12.0
2.0 37.7926 -122.4031 994.0 13.0
2.0 37.7858 -122.4249 1002.0 14.0
2.0 37.7854 -122.4164 1006.0 15.0
2.0 37.7671 -122.4002 1015.0 16.0
3.0 37.6132 -122.3842 616.0 1.0
lati longi low_tw
37.7807 -122.3992 793.0
37.7725 -122.398 711.0
37.7563 -122.3937 781.0
37.7586 -122.4181 778.0
37.7635 -122.4062 568.0
37.6671 -122.3941 831.0
37.7583 -122.4133 490.0
37.7308 -122.4286 749.0
37.7935 -122.4352 925.0
37.7479 -122.3945 860.0
37.7739 -122.4192 884.0
37.7864 -122.3917 734.0
37.7748 -122.396 831.0
37.7795 -122.4988 526.0
37.7712 -122.4061 759.0
37.7885 -122.4089 862.0
37.773 -122.3948 547.0
37.7887 -122.4186 554.0
37.7997 -122.4093 846.0
37.7676 -122.4139 635.0
37.7528 -122.4214 878.0
37.7927 -122.3928 885.0
37.7984 -122.4148 739.0
37.7674 -122.3934 626.0
37.7751 -122.4111 859.0
37.7354 -122.4154 727.0
37.7943 -122.4181 738.0
37.7584 -122.3954 902.0
37.7852 -122.4152 870.0
37.664 -122.4338 915.0
37.774 -122.4742 817.0
37.7956 -122.414 893.0
37.7698 -122.4007 632.0
37.7846 -122.3933 573.0
37.7956 -122.4068 534.0
37.7634 -122.4133 539.0
37.7746 -122.488 813.0
37.7714 -122.3998 706.0
37.7927 -122.3985 650.0
37.7702 -122.4191 605.0
37.7604 -122.3986 793.0
37.7714 -122.4239 711.0
37.7885 -122.4222 781.0
37.7167 -122.3926 778.0
37.7969 -122.4034 568.0
37.7949 -122.4107 831.0
37.7674 -122.4118 490.0
37.7692 -122.4265 749.0
37.7791 -122.4268 925.0
37.7569 -122.4042 860.0
37.6555 -122.4721 884.0
37.6736 -122.4389 734.0
37.6982 -122.4765 831.0
37.7923 -122.4162 526.0
37.6574 -122.3967 759.0
37.6785 -122.4796 862.0
37.7821 -122.4014 547.0
37.7567 -122.4152 554.0
37.7627 -122.4021 846.0
37.7811 -122.4001 635.0
37.6781 -122.4859 878.0
37.7897 -122.4021 885.0
37.7537 -122.4065 739.0
37.7611 -122.4107 626.0
37.7663 -122.4258 859.0
37.7585 -122.4005 727.0
37.7168 -122.3917 738.0
37.716 -122.4423 902.0
37.7563 -122.4033 870.0
37.769 -122.4043 915.0
37.7672 -122.4132 817.0
37.767 -122.3969 893.0
37.7615 -122.429 632.0
37.672 -122.4214 573.0
37.7598 -122.411 534.0
37.7824 -122.4868 539.0
37.7676 -122.4161 813.0
37.7417 -122.4781 706.0
37.7635 -122.4121 650.0
37.7234 -122.4687 605.0
