10
Instance,c(km),p(km),b(km),e(km),Total,c(%),p(%),b(%),e(%)
grubhub-10-0.tsp ,15.35,2.16,1.18333,23.04,41.7333,36.7812,5.17572,2.83546,55.2077
grubhub-10-1.tsp ,12.3633,4.37333,2.25667,19.29,38.2833,32.2943,11.4236,5.89465,50.3875
grubhub-10-2.tsp ,10.8233,3.89333,2.73,16.18,33.6267,32.1868,11.5781,8.11856,48.1166
grubhub-10-3.tsp ,10.8633,2.81,0.82,20.1967,34.69,31.3155,8.10032,2.36379,58.2204
grubhub-10-4.tsp ,15.8767,6.89333,2.60333,18.69,44.0633,36.0315,15.6441,5.90816,42.4162
grubhub-10-5.tsp ,14.22,3.33333,1.79667,21.1733,40.5233,35.0909,8.22571,4.43366,52.2497
grubhub-10-6.tsp ,12.8867,3.82333,0.893333,14.0433,31.6467,40.7205,12.0813,2.82284,44.3754
grubhub-10-7.tsp ,10.37,4.97,0.71,23.37,39.42,26.3064,12.6078,1.80112,59.2846
grubhub-10-8.tsp ,14.8367,5.69333,2.67,17.9867,41.1867,36.023,13.8232,6.48268,43.6711
grubhub-10-9.tsp ,9.50667,3.37667,2.15,19.2333,34.2667,27.7432,9.85409,6.27432,56.1284
grubhub-11-0.tsp ,22.13,3.78333,2.25,21.7433,49.9067,44.3428,7.58082,4.50842,43.568
grubhub-11-1.tsp ,14.3433,3.08,2.76,21.6967,41.88,34.2486,7.35435,6.59026,51.8067
grubhub-11-2.tsp ,18.1533,3.69667,1.40667,21.6967,44.9533,40.3826,8.22334,3.12917,48.2649
grubhub-11-3.tsp ,18.0567,1.97,0.686667,23.3033,44.0167,41.0223,4.47558,1.56002,52.9421
grubhub-11-4.tsp ,14.0667,3.37667,2.75,17.9933,38.1867,36.8366,8.84253,7.20147,47.1194
grubhub-11-5.tsp ,19.1967,4.02333,2.31,23.4167,48.9467,39.2196,8.21983,4.71942,47.8412
grubhub-11-6.tsp ,14.26,3.45,2.17,25.4733,45.3533,31.442,7.60694,4.78465,56.1664
grubhub-11-7.tsp ,12.9367,3.14333,0.84,18.9967,35.9167,36.0186,8.75174,2.33875,52.891
grubhub-11-8.tsp ,14.38,4.20333,2.07333,17.01,37.6667,38.177,11.1593,5.50442,45.1593
grubhub-11-9.tsp ,15.5133,7.19,2.58667,15.41,40.7,38.1163,17.6658,6.35545,37.8624
grubhub-12-0.tsp ,17.13,1.78667,1.82,24.28,45.0167,38.0526,3.9689,4.04295,53.9356
grubhub-12-1.tsp ,16.4833,4.97667,1.07,26.59,49.12,33.5573,10.1317,2.17834,54.1327
grubhub-12-2.tsp ,14.46,3.32,1.13333,19.2767,38.19,37.8633,8.69338,2.96762,50.4757
grubhub-12-3.tsp ,13.9233,2.28333,2.34333,28.48,47.03,29.6052,4.85506,4.98264,60.5571
grubhub-12-4.tsp ,13.68,5.28,2.30667,30.3933,51.66,26.4808,10.2207,4.46509,58.8334
grubhub-12-6.tsp ,19.0067,3.86,1.55333,27.51,51.93,36.6006,7.43308,2.99121,52.9752
grubhub-12-7.tsp ,18.28,4.50667,4.92667,21.3933,49.1067,37.2251,9.1773,10.0326,43.565
grubhub-12-8.tsp ,16.9367,2.18,1.45333,26.0533,46.6233,36.3266,4.67577,3.11718,55.8805
grubhub-12-9.tsp ,20.15,4.28,1.13,23.7533,49.3133,40.8612,8.67919,2.29147,48.1682
grubhub-13-0.tsp ,15.4467,1.12333,1.25333,27.2567,45.08,34.265,2.49187,2.78024,60.4629
grubhub-13-1.tsp ,19.8867,5.40667,1.20333,29.63,56.1267,35.4318,9.63297,2.14396,52.7913
grubhub-13-2.tsp ,18.1933,2.45667,2.03333,28.34,51.0233,35.6569,4.81479,3.9851,55.5432
grubhub-13-3.tsp ,18.61,1.27,1.39,30.34,51.61,36.0589,2.46076,2.69328,58.7871
grubhub-13-4.tsp ,17.6533,3.48,2.13333,24.4967,47.7633,36.96,7.28592,4.46647,51.2876
grubhub-13-5.tsp ,20.3433,4.03667,0.523333,37.2433,62.1467,32.7344,6.49539,0.842094,59.9281
grubhub-13-6.tsp ,19.1167,6.84,0.713333,31.3667,58.0367,32.9389,11.7857,1.22911,54.0463
grubhub-13-7.tsp ,19.9233,3.32,1.94667,18.97,44.16,45.1162,7.51812,4.40821,42.9574
grubhub-13-8.tsp ,19.8033,2.39,0.956667,34.0733,57.2233,34.6071,4.17662,1.67181,59.5445
grubhub-13-9.tsp ,17.37,2.22667,1.31667,22.0333,42.9467,40.4455,5.18473,3.06582,51.3039
grubhub-14-0.tsp ,20.5767,1.46333,0.636667,26.9733,49.65,41.4434,2.9473,1.28231,54.327
grubhub-14-1.tsp ,20.5167,3.80333,2.04,23.9933,50.3533,40.7454,7.55329,4.05137,47.6499
grubhub-14-2.tsp ,21.54,4.16,2.37667,38.7533,66.83,32.231,6.22475,3.55629,57.9879
grubhub-14-3.tsp ,22.4033,1.29667,2.06333,28.6867,54.45,41.1448,2.38139,3.78941,52.6844
grubhub-14-4.tsp ,22.4767,3.65,2.44,27.8433,56.41,39.8452,6.47048,4.32547,49.3589
grubhub-14-5.tsp ,21.1333,2.41,2.49667,30.2267,56.2667,37.5592,4.28318,4.4372,53.7204
grubhub-14-6.tsp ,25.59,4.86,0.633333,24.97,56.0533,45.6529,8.67031,1.12988,44.5469
grubhub-14-7.tsp ,16.5,3.54667,0.86,26.7033,47.61,34.6566,7.44942,1.80634,56.0877
grubhub-14-8.tsp ,22.0467,5.62333,2.11,28.2167,57.9967,38.0137,9.69596,3.63814,48.6522
grubhub-14-9.tsp ,22.0433,2.20667,1.83667,28.1433,54.23,40.6479,4.06909,3.38681,51.8962
grubhub-15-0.tsp ,23.9267,2.60333,1.84,30.1533,58.5233,40.884,4.44837,3.14405,51.5236
grubhub-15-1.tsp ,20.9267,5.18667,1.78333,25.66,53.5567,39.0739,9.68445,3.32981,47.9119
grubhub-15-2.tsp ,20.68,5.47,3.27667,31.94,61.3667,33.6991,8.91363,5.33949,52.0478
grubhub-15-3.tsp ,23.5967,7.20667,1.36,35.2967,67.46,34.9788,10.6829,2.01601,52.3224
grubhub-15-4.tsp ,18.3433,2.74,3.37333,32.45,56.9067,32.2341,4.8149,5.92784,57.0232
grubhub-15-5.tsp ,26.2533,2.76,0.843333,41.71,71.5667,36.6837,3.85654,1.17839,58.2813
grubhub-15-6.tsp ,22.5333,1.70333,1.05333,36.15,61.44,36.6753,2.77235,1.71441,58.8379
grubhub-15-8.tsp ,24.4267,2.96,2.05,34.4933,63.93,38.2085,4.63006,3.20663,53.9548
grubhub-15-9.tsp ,24.8533,7.97,0.503333,37.4533,70.78,35.1135,11.2602,0.711124,52.9151
20
Instance,c(km),p(km),b(km),e(km),Total,c(%),p(%),b(%),e(%)
grubhub-10-0.tsp ,14.4367,2.16,1.18333,18.59,36.37,39.6939,5.93896,3.2536,51.1136
grubhub-10-1.tsp ,10.6867,8.76667,2.16,17.3133,38.9267,27.4533,22.521,5.5489,44.4768
grubhub-10-2.tsp ,8.75667,5.53,3.67,15.67,33.6267,26.0408,16.4453,10.914,46.5999
grubhub-10-3.tsp ,8.47,6.03333,2.39333,18.5267,35.4233,23.9108,17.0321,6.75638,52.3007
grubhub-10-4.tsp ,12.9767,9.75667,3.90667,19.1133,45.7533,28.3622,21.3245,8.53854,41.7747
