
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat,LB,UB,GAP
sarp-10-10-A-2.txt ,10,10,5,50.5379,43.4148,65.4499,4,4056.25,28.5029,Optimal,28.5029,28.5057,0.0098226
sarp-10-10-A-4.txt ,10,10,7,54.3031,55.9419,69.8213,4,7194.94,40.4237,Feasible,40.4237,46.6941,13.4287
sarp-10-10-B-1.txt ,10,10,9,64.3025,139.605,134.335,4,6913.32,69.5725,Feasible,69.5725,106.407,34.6166
sarp-10-10-B-3.txt ,10,10,9,57.9792,101.771,109.095,4,7195.55,50.6556,Feasible,50.6556,86.8595,41.681
sarp-10-10-B-4.txt ,10,10,9,61.7401,138.817,107.82,5,7196.4,92.7364,Feasible,92.7364,122.343,24.1997
sarp-10-10-C-1.txt ,10,10,9,131.337,141.229,110.681,6,4643.64,161.885,Optimal,161.885,161.901,0.00988258
sarp-10-10-C-2.txt ,10,10,9,126.742,184.282,130.441,4,7195.91,180.583,Feasible,180.583,217.972,17.1531
sarp-10-10-C-3.txt ,10,10,8,114.475,146.755,109.984,5,7198.25,151.247,Feasible,151.247,161.406,6.29407
sarp-10-10-C-4.txt ,10,10,6,106.608,97.6142,79.1408,5,5504.09,125.081,Optimal,125.081,125.094,0.0103922
sarp-5-10-A-1.txt ,5,10,4,25.4541,55.9448,59.9477,3,2.36,21.4513,Optimal,21.4513,21.4513,0
sarp-5-10-B-1.txt ,5,10,5,35.7977,71.6934,64.1584,3,8.76,43.3327,Optimal,43.3327,43.3327,0

Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat,LB,UB,GAP
sarp-10-10-A-2.txt ,10,10,5,50.5379,43.4148,65.4499,4,2881.69,28.5029,Optimal,28.5029,28.5048,0.00666554
sarp-10-10-A-4.txt ,10,10,8,54.3031,62.4261,75.6036,4,7198.25,41.1256,Feasible,41.1256,46.1977,10.9791
sarp-10-10-B-1.txt ,10,10,9,64.3025,145.523,134.674,4,7196.06,75.1518,Feasible,75.1518,105.838,28.9936
sarp-10-10-B-3.txt ,10,10,9,57.9792,101.771,87.6837,4,7196.83,72.0665,Feasible,72.0665,85.3833,15.5965
sarp-10-10-B-4.txt ,10,10,10,61.7401,150.452,123.127,5,7197.75,89.0645,Feasible,89.0645,122.433,27.2545
sarp-10-10-C-1.txt ,10,10,8,131.337,129.704,93.7391,6,936.87,167.302,Optimal,167.302,167.302,0
sarp-10-10-C-2.txt ,10,10,8,126.742,175.706,121.754,4,7197.8,180.694,Feasible,180.694,216.585,16.5713
sarp-10-10-C-3.txt ,10,10,9,114.475,161.499,123.927,5,7198.59,152.048,Feasible,152.048,161.26,5.71251
sarp-10-10-C-4.txt ,10,10,6,106.608,99.5437,78.2082,5,1044.64,127.944,Optimal,127.944,127.956,0.00937822
sarp-5-10-A-1.txt ,5,10,4,25.4541,54.7956,57.9031,3,1.04,22.3467,Optimal,22.3467,22.3467,0
sarp-5-10-B-1.txt ,5,10,5,35.7977,71.6934,64.1584,3,3.79,43.3327,Optimal,43.3327,43.3327,0
