
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat,LB,UB,GAP
,10,10,4,55.5196,23.4435,64.9669,4,7197.08,13.9962,Feasible,13.9962,21.8778,36.0256

Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat,LB,UB,GAP
,10,10,5,55.5196,24.8898,76.2666,4,7194.86,4.14284,Feasible,4.14284,25.2489,83.592

Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat,LB,UB,GAP
,10,10,7,55.5196,38.2893,88.0297,4,7193.88,5.77928,Feasible,5.77928,32.9712,82.4717

Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat,LB,UB,GAP
,10,10,8,55.5196,44.3324,85.4427,4,7194.21,14.4093,Feasible,14.4093,33.515,57.0064
