
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat,LB,UB,GAP
sarp-8-7-A-1.txt ,8,7,6,41.3429,41.8294,73.9097,3,7194.62,9.26267,Feasible,9.26267,22.4152,58.6768
sarp-8-7-A-2.txt ,8,7,5,40.7472,35.6032,83.483,2,7197.93,-7.13269,Feasible,-7.13269,14.2717,149.978
sarp-8-7-A-3.txt ,8,7,5,42.4543,42.7463,57.5877,3,971.81,27.613,Optimal,27.613,27.6156,0.00941497
sarp-8-7-A-4.txt ,8,7,7,47.4583,53.7017,80.8545,4,7196.01,20.3055,Feasible,20.3055,29.6448,31.504
sarp-8-7-B-1.txt ,8,7,7,46.2294,76.0727,74.2892,4,7195.9,48.0129,Feasible,48.0129,58.1931,17.4938
sarp-8-7-B-2.txt ,8,7,7,56.8923,75.7505,77.7849,4,7196,54.8579,Feasible,54.8579,67.6658,18.9282
sarp-8-7-B-3.txt ,8,7,5,46.3742,60.0439,69.7643,3,1914.13,36.6537,Optimal,36.6537,36.6573,0.00982069
sarp-8-7-B-4.txt ,8,7,5,63.1977,44.0999,62.9628,5,155.22,44.3348,Optimal,44.3348,44.3348,0
sarp-8-7-C-1.txt ,8,7,7,115.52,124.372,79.158,4,7196.16,160.734,Feasible,160.734,166.22,3.30045
sarp-8-7-C-2.txt ,8,7,7,96.5424,112.606,74.2012,3,7193.7,134.947,Feasible,134.947,141.842,4.86104
sarp-8-7-C-3.txt ,8,7,6,94.8265,110.609,80.3587,4,7193.08,125.077,Feasible,125.077,147.832,15.3925
sarp-8-7-C-4.txt ,8,7,6,96.069,105.314,82.6883,4,7197.27,118.694,Feasible,118.694,123.95,4.24042

Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat,LB,UB,GAP
sarp-8-7-A-1.txt ,8,7,6,41.3429,41.8294,73.8259,3,7193.57,9.34646,Feasible,9.34646,23.3406,59.9562
sarp-8-7-A-2.txt ,8,7,5,40.7472,35.6032,82.889,2,7192.35,-6.53875,Feasible,-6.53875,16.1798,140.413
sarp-8-7-A-3.txt ,8,7,5,42.4543,42.7463,57.5877,3,758.35,27.613,Optimal,27.613,27.6155,0.00905289
sarp-8-7-A-4.txt ,8,7,7,47.4583,53.7017,80.7062,4,7196.8,20.4538,Feasible,20.4538,30.3289,32.56
sarp-8-7-B-1.txt ,8,7,7,46.2294,76.0727,73.7676,4,7194.8,48.5345,Feasible,48.5345,61.1841,20.6747
sarp-8-7-B-2.txt ,8,7,7,56.8923,75.7505,72.6711,4,7196.07,59.9716,Feasible,59.9716,67.7977,11.5433
sarp-8-7-B-3.txt ,8,7,5,46.3742,60.0439,65.7917,3,569.44,40.6264,Optimal,40.6264,40.6303,0.00959875
sarp-8-7-B-4.txt ,8,7,5,63.1977,44.0999,62.9628,5,141.24,44.3348,Optimal,44.3348,44.3361,0.00293215
sarp-8-7-C-1.txt ,8,7,7,115.52,124.372,79.158,4,7198.25,160.734,Feasible,160.734,163.445,1.65866
sarp-8-7-C-2.txt ,8,7,7,96.5424,112.606,74.2012,3,7192.03,134.947,Feasible,134.947,142.771,5.4801
sarp-8-7-C-3.txt ,8,7,7,94.8265,121.811,90.8905,4,7194.79,125.747,Feasible,125.747,148.412,15.2717
sarp-8-7-C-4.txt ,8,7,6,96.069,105.314,82.4664,4,7196.76,118.916,Feasible,118.916,125.073,4.92273
