
Instance,c(h),p(h),b(h),e(h),waitc(h),waitp(h),Total,c(%),p(%),b(%),e(%),waitc(%),waitp(%)
sarp-8-6-A-1.txt ,0.964553,1.80091,1.00465,1.29189,12.071,-1.3628e-14,17.133,5.62978,10.5113,5.86384,7.54032,70.4547,-7.95421e-14
sarp-8-6-A-2.txt ,1.90521,1.94772,0.197708,1.94635,17.3068,0.696197,24,7.93838,8.11549,0.823784,8.10979,72.1117,2.90082
sarp-8-6-A-3.txt ,1.37291,1.70187,0.823792,1.65185,7.99373,6.18478,19.7289,6.95884,8.62625,4.17555,8.37272,40.5178,31.3488
sarp-8-6-A-4.txt ,0.775164,3.11064,1.20191,1.60299,7.21089,1.56353,15.4651,5.01233,20.1139,7.77171,10.3652,46.6268,10.1101
sarp-8-6-B-1.txt ,0.780001,3.51721,1.62463,0.839957,11.7048,2.55656,21.0232,3.71019,16.7302,7.72778,3.99539,55.6758,12.1606
sarp-8-6-B-2.txt ,0.729424,3.55504,1.60941,1.30695,9.97795,3.05949,20.2383,3.60418,17.5659,7.95231,6.45781,49.3024,15.1174
sarp-8-6-B-3.txt ,1.34875,2.77273,1.06117,0.930362,11.6305,4.7495,22.493,5.99628,12.3271,4.71775,4.13622,51.7073,21.1154
sarp-8-6-B-4.txt ,1.26429,2.73806,1.37084,1.60679,18.7513,5.30405,31.0353,4.07373,8.82241,4.41702,5.17728,60.4192,17.0904
sarp-8-6-C-1.txt ,1.28893,3.69817,2.31018,0.928821,10.1812,5.4139,23.8212,5.41086,15.5247,9.69799,3.89914,42.7401,22.7272
sarp-8-6-C-2.txt ,3.10881,3.08968,1.21361,1.45358,9.66505,0.373051,18.9038,16.4454,16.3442,6.41995,7.68938,51.1276,1.97342
sarp-8-6-C-3.txt ,2.32498,3.21078,1.83215,1.22691,9.30134,8.27716,26.1733,8.88303,12.2674,7.00006,4.68762,35.5375,31.6244
sarp-8-6-C-4.txt ,1.05304,3.85794,2.61618,0.968594,3.32095,10.3466,22.1633,4.75127,17.4069,11.8041,4.37026,14.984,46.6835

Instance,c(h),p(h),b(h),e(h),waitc(h),waitp(h),Total,c(%),p(%),b(%),e(%),waitc(%),waitp(%)
sarp-8-6-A-1.txt ,0.964553,1.80091,1.00465,1.29189,11.0951,2.1411,18.2982,5.2713,9.84201,5.49045,7.06018,60.6349,11.7012
sarp-8-6-A-2.txt ,1.90521,1.94772,0.197708,1.94635,13.5158,0.696197,20.2089,9.42756,9.6379,0.97832,9.63113,66.8801,3.44499
sarp-8-6-A-3.txt ,1.37291,1.70187,0.823792,1.65185,7.21451,1.47249,14.2374,9.64294,11.9535,5.78611,11.6022,50.6729,10.3424
sarp-8-6-A-4.txt ,0.775164,3.11064,1.20191,1.60299,7.66483,0.0990847,14.4546,5.36274,21.5201,8.31503,11.0898,53.0269,0.685489
sarp-8-6-B-1.txt ,0.780001,3.43811,1.62463,0.838994,13.6194,3.69885,24,3.25,14.3254,6.76927,3.49581,56.7476,15.4119
sarp-8-6-B-2.txt ,0.729424,3.55504,1.60941,1.30695,10.5736,8.0989,25.8734,2.81921,13.7402,6.22033,5.05133,40.8669,31.3021
sarp-8-6-B-3.txt ,0.864787,2.91604,1.54513,0.762046,2.88219,8.294,17.2642,5.00913,16.8907,8.94988,4.41402,16.6946,48.0416
sarp-8-6-B-4.txt ,0.291693,3.46608,2.34344,0.858745,11.2397,6.62538,24.825,1.175,13.962,9.43982,3.45919,45.2756,26.6883
sarp-8-6-C-1.txt ,1.28893,3.68054,2.31018,0.928821,5.57224,3.49461,17.2753,7.46111,21.3052,13.3727,5.37658,32.2555,20.2289
sarp-8-6-C-2.txt ,3.10881,3.08968,1.21361,1.45358,11.5245,0.373051,20.7632,14.9727,14.8806,5.84502,7.00077,55.5043,1.79669
sarp-8-6-C-3.txt ,2.32498,3.21078,1.83215,1.22691,19.2428,3.84576,31.6834,7.33818,10.134,5.78268,3.87239,60.7347,12.1381
sarp-8-6-C-4.txt ,0.725389,3.67574,2.94383,0.921006,8.10108,5.31447,21.6815,3.34566,16.9533,13.5776,4.24789,37.364,24.5115
