
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat,LB,UB,GAP
sfsarp-20-10-1.txt ,20,10,0,96.6816,0,16.9078,4,7199.03,79.7738,Feasible,79.7738,110.866,28.0448

Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat,LB,UB,GAP
sfsarp-20-10-1.txt ,20,10,10,96.6816,43.22,27.5102,5,648.1,112.391,Optimal,112.391,112.403,0.00999689
sfsarp-20-10-2.txt ,20,10,0,87.6824,0,26.4228,3,7199,61.2596,Feasible,61.2596,90.9807,32.6675
sfsarp-20-10-2.txt ,20,10,0,87.6824,0,26.4228,3,7199.41,61.2596,Feasible,61.2596,90.9573,32.6502
sfsarp-20-10-3.txt ,20,10,0,104.298,0,28.7795,4,7194.41,75.518,Feasible,75.518,96.816,21.9984
sfsarp-20-10-3.txt ,20,10,8,104.298,35.5874,39.9986,5,7200.25,99.8864,Feasible,99.8864,101.729,1.81152
sfsarp-20-10-4.txt ,20,10,0,96.8683,0,37.2211,4,7197.34,59.6472,Feasible,59.6472,95.5498,37.5748
sfsarp-20-10-4.txt ,20,10,10,96.8683,76.3337,75.9539,5,7197.75,97.248,Feasible,97.248,102.574,5.19245
sfsarp-20-10-5.txt ,20,10,0,113.532,0,48.7982,3,7193.45,64.7342,Feasible,64.7342,97.5835,33.6628
sfsarp-20-10-5.txt ,20,10,0,113.532,0,48.7982,3,7193.73,64.7342,Feasible,64.7342,97.5847,33.6635
