Instance,Served,Sol Value,LB,UB,Time,Empty hours,Empty kms
ghsarp-10-5-0,4,23.0663,23.0663,23.0663,116.0,1.518,62.238
ghsarp-10-5-1,5,7.469,7.469,7.469,71.0,1.2834146341463413,52.62
ghsarp-10-5-2,5,16.2403,16.2403,16.2403,75.0,1.867853658536585,76.582
ghsarp-10-5-3,4,9.70898,9.70898,9.70898,90.0,1.451658536585366,59.51800000000001
ghsarp-10-5-4,5,3.16026,3.16026,3.16026,71.0,0.774,31.734
ghsarp-10-5-5,5,19.0956,19.0956,19.0956,226.0,1.79609756097561,73.63999999999999
ghsarp-10-5-6,5,19.9081,19.9081,19.9081,122.0,1.6367804878048784,67.10799999999999
ghsarp-10-5-7,4,22.5523,22.5523,22.5523,77.0,1.7959512195121947,73.634
ghsarp-10-5-8,5,0.41824,0.41824,0.41824,199.0,1.2621951219512195,51.75
ghsarp-10-5-9,4,24.9709,24.9709,24.9709,71.0,2.08809756097561,85.612
ghsarp-5-10-0,9,-7.16426,-7.16426,-7.16426,1195.0,1.0844878048780489,44.464
ghsarp-5-10-1,10,-15.4844,-15.4844,-15.4844,1942.0,0.5736585365853658,23.519999999999996
ghsarp-5-10-2,8,-6.59096,-6.59096,-6.59096,954.0,1.1453170731707318,46.958
ghsarp-5-10-3,8,-15.3664,-15.3664,-15.3664,2655.0,0.5166829268292683,21.183999999999997
ghsarp-5-10-4,8,-9.42762,-9.42762,-9.42762,877.0,0.17302439024390245,7.094
ghsarp-5-10-5,8,-25.0152,-25.0152,-25.0152,2363.0,0.5520487804878049,22.634
ghsarp-5-10-6,9,-10.0311,-10.0311,-10.0311,1717.0,0.6580487804878049,26.979999999999997
ghsarp-5-10-7,9,-4.70754,-4.70754,-4.70754,1093.0,1.3833170731707316,56.715999999999994
ghsarp-5-10-8,9,-22.0336,-22.0336,-22.0336,1509.0,0.15804878048780485,6.4799999999999995
ghsarp-5-10-9,8,-12.1001,-12.1001,-12.1001,922.0,1.0019024390243902,41.077999999999996
ghsarp-5-5-0,3,3.62908,3.62908,3.62908,47.0,0.5945853658536585,24.378
ghsarp-5-5-1,4,0.8002,0.8002,0.8002,53.0,0.8827317073170732,36.192
ghsarp-5-5-2,4,3.51552,3.51552,3.51552,44.0,0.9918048780487805,40.663999999999994
ghsarp-5-5-3,4,9.94854,9.94854,9.94854,53.0,1.1738536585365855,48.128
ghsarp-5-5-4,5,2.24418,2.24418,2.24418,38.0,1.0737560975609757,44.024
ghsarp-5-5-5,4,0.23844,0.23844,0.23844,64.0,0.4373170731707317,17.93
ghsarp-5-5-6,2,11.4867,11.4867,11.4867,36.0,0.6064390243902438,24.863999999999997
ghsarp-5-5-7,5,3.15432,3.15432,3.15432,60.0,1.208341463414634,49.541999999999994
ghsarp-5-5-8,4,10.7406,10.7406,10.7406,68.0,1.2519024390243902,51.328
ghsarp-5-5-9,5,3.37414,3.37414,3.37414,62.0,0.762,31.241999999999997
ghsarp-5-6-0,4,-4.8136,-4.8136,-4.8136,82.0,1.0470243902439025,42.928
ghsarp-5-6-1,5,-8.2707,-8.2707,-8.2707,104.0,0.5562926829268292,22.808
ghsarp-5-6-2,6,4.01538,4.01538,4.01538,145.0,1.2153170731707317,49.82799999999999
ghsarp-5-6-3,5,-1.42694,-1.42694,-1.42694,114.0,0.43868292682926835,17.986
ghsarp-5-6-4,5,3.38158,3.38158,3.38158,52.0,0.3664390243902439,15.024000000000001
ghsarp-5-6-5,6,1.73964,1.73964,1.73964,94.0,1.0989756097560976,45.058
ghsarp-5-6-6,3,7.83044,7.83044,7.83044,55.0,0.32375609756097556,13.274000000000001
ghsarp-5-6-7,5,4.0939,4.0939,4.0939,98.0,1.048048780487805,42.970000000000006
ghsarp-5-6-8,6,-0.8895,-0.8895,-0.8895,56.0,1.2735609756097561,52.215999999999994
ghsarp-5-6-9,6,-9.47044,-9.47044,-9.47044,1939.0,0.5554634146341464,22.773999999999997
ghsarp-5-7-0,6,-0.42114,-0.42114,-0.42114,179.0,0.9326829268292682,38.239999999999995
ghsarp-5-7-1,6,1.91,1.91,1.91,121.0,0.8897560975609755,36.48
ghsarp-5-7-2,7,-5.07252,-5.07252,-5.07252,125.0,0.5006829268292683,20.528
ghsarp-5-7-3,6,-9.34346,-9.34346,-9.34346,224.0,1.0271219512195122,42.111999999999995
