Row,standardMIP,BCP
sarp-30-15-A-2,0,255
sarp-20-10-C-2V3,0,0
sfsarp-16-8-1,0,0
sfsarp-16-8-3V1,0,0
sarp-16-8-C-1,0,0
sarp-40-20-A-1V3,0,0
ghsarp-8-4-3,0,0
sarp-16-8-C-1V2,0,0
sfsarp-30-15-3V1,0,0
sarp-8-4-B-1,0,0
sfsarp-30-15-5,13,255
sarp-30-15-B-1V3,0,0
sfsarp-16-8-1V1,6,0
ghsarp-6-3-2,0,0
sarp-20-10-B-2V3,0,0
sarp-16-8-B-1,0,0
ghsarp-12-6-3,0,0
sarp-50-25-B-1V1,18,0
sarp-16-8-A-2V1,0,0
sarp-30-15-C-1V3,22,0
sfsarp-50-25-1V1,18,255
sarp-40-20-B-1V1,13,0
sfsarp-50-25-3V1,28,255
sarp-20-10-A-2V1,0,0
sarp-16-8-B-2V1,0,0
sarp-6-3-B-2,0,0
ghsarp-10-5-3,0,0
sarp-16-8-A-2V2,0,0
sarp-30-15-A-1V3,0,0
sfsarp-16-8-4V1,0,0
sarp-10-5-C-2,0,0
ghsarp-6-3-0,0,0
sarp-40-20-B-2V1,0,0
sfsarp-16-8-2V1,4,0
ghsarp-10-5-2,0,0
sfsarp-20-10-3V1,0,0
sfsarp-12-6-1,0,0
sfsarp-30-15-1V1,0,0
sarp-40-20-A-2V1,17,0
sarp-40-20-B-1V3,0,0
sarp-6-3-C-1,0,0
sarp-16-8-C-2,0,0
sfsarp-40-20-2,20,255
sarp-50-25-A-2V1,24,15
sarp-16-8-B-2V2,0,0
sfsarp-12-6-5,0,0
sarp-40-20-A-1V2,59,255
sarp-8-4-B-2,0,0
sfsarp-6-3-3,0,0
sarp-20-10-B-1V1,0,0
sarp-16-8-C-1V1,0,0
sarp-6-3-C-2,0,0
sarp-20-10-B-2V2,0,0
sfsarp-40-20-2V1,48,0
sarp-30-15-A-2V1,0,0
sarp-20-10-A-2,0,0
sfsarp-16-8-5V1,9,0
sarp-50-25-A-1V2,34,255
sarp-20-10-B-1V3,0,0
ghsarp-12-6-0,0,0
sarp-20-10-C-1V3,0,0
sarp-16-8-A-1V3,0,0
sarp-16-8-B-2V3,0,0
sarp-20-10-A-2V3,0,0
sarp-10-5-B-1,0,0
ghsarp-10-5-0,0,0
sarp-16-8-C-1V3,0,0
sfsarp-20-10-1,0,0
sarp-30-15-C-2V1,26,0
sarp-12-6-B-2,0,0
sfsarp-8-4-1,0,0
sarp-50-25-B-1V2,43,255
sfsarp-30-15-1,13,255
sfsarp-12-6-4,0,0
sarp-30-15-B-2V2,12,0
sarp-10-5-B-2,0,0
sarp-60-30-B-2V3,21,255
sarp-30-15-A-1V1,0,0
sfsarp-40-20-5,10,255
sfsarp-50-25-2V1,10,255
sfsarp-10-5-2,0,0
sarp-16-8-C-2V3,0,0
sfsarp-50-25-4V1,11,255
sarp-20-10-B-2,42,0
sfsarp-20-10-4,20,0
sarp-30-15-A-2V2,31,0
sfsarp-12-6-2,0,0
sarp-40-20-A-2V3,0,0
sarp-16-8-A-1,0,0
sarp-6-3-A-2,0,0
sarp-50-25-C-2V3,27,0
sarp-40-20-A-1V1,0,0
sarp-50-25-A-2V2,73,255
sarp-12-6-A-1,0,0
sfsarp-8-4-4,0,0
sarp-40-20-C-1V2,21,255
ghsarp-12-6-4,0,0
sarp-30-15-A-2V3,0,0
sarp-30-15-C-2,25,255
sfsarp-8-4-2,0,0
sarp-60-30-A-2V3,0,0
sarp-40-20-C-1V1,30,2
sarp-30-15-B-1,52,255
sfsarp-40-20-4,31,255
sfsarp-16-8-3,0,0
ghsarp-12-6-1,0,0
sarp-30-15-C-2V3,31,0
sarp-12-6-C-1,0,0
sarp-30-15-B-1V1,0,0
sarp-10-5-A-1,0,0
sarp-40-20-B-2,47,255
sfsarp-20-10-4V1,0,0
sfsarp-16-8-4,0,0
sarp-30-15-A-1V2,0,0
sfsarp-10-5-3,0,0
sfsarp-50-25-5V1,17,255
sarp-20-10-B-1,0,0
sarp-40-20-C-2,27,255
sarp-60-30-C-2V3,34,0
sarp-20-10-C-2V1,0,0
sarp-30-15-B-1V2,0,0
sfsarp-30-15-4,25,255
sarp-16-8-A-1V2,0,0
sarp-50-25-B-2V3,24,0
sfsarp-10-5-5,0,0
sarp-16-8-B-1V3,0,0
ghsarp-6-3-1,0,0
sfsarp-20-10-5V1,0,0
sarp-40-20-C-2V3,58,0
sarp-40-20-A-1,31,255
sarp-40-20-B-2V2,62,255
sarp-50-25-A-1V1,23,0
ghsarp-10-5-4,0,0
sfsarp-40-20-3V1,21,0
sarp-30-15-A-1,54,255
sarp-40-20-B-2V3,37,0
sarp-16-8-C-2V1,0,0
sarp-20-10-A-1V3,0,0
sarp-20-10-C-2,11,0
sarp-16-8-B-1V2,0,0
sarp-16-8-B-1V1,8,8
sarp-8-4-C-1,0,0
sarp-30-15-C-1V2,37,0
sarp-50-25-A-1V3,0,0
sfsarp-40-20-5V1,11,0
sfsarp-16-8-5,0,0
ghsarp-8-4-4,0,0
sfsarp-20-10-1V1,0,0
sarp-20-10-C-1V1,0,0
sarp-30-15-C-1,19,255
sfsarp-6-3-5,0,0
sarp-50-25-C-1V2,23,255
sarp-6-3-A-1,0,0
sarp-20-10-C-2V2,0,0
sarp-16-8-A-1V1,0,0
sarp-20-10-B-1V2,0,0
sfsarp-6-3-2,0,0
sfsarp-30-15-2,11,255
sarp-30-15-B-2V1,0,0
sarp-50-25-A-2V3,0,0
sarp-60-30-C-1V3,32,0
sarp-40-20-C-1,32,255
sarp-20-10-A-2V2,0,0
sfsarp-20-10-2,0,0
sarp-20-10-B-2V1,0,0
ghsarp-8-4-2,0,0
sfsarp-30-15-2V1,8,0
sarp-8-4-A-2,0,0
sarp-30-15-C-1V1,8,0
sfsarp-40-20-3,21,255
ghsarp-8-4-0,0,0
sarp-40-20-A-2,48,255
sarp-40-20-B-1V2,50,255
ghsarp-12-6-2,0,0
sfsarp-16-8-2,0,0
sarp-50-25-C-1V3,33,0
sfsarp-40-20-1,63,255
sarp-16-8-A-2,0,0
sarp-6-3-B-1,0,0
ghsarp-8-4-1,0,0
sarp-12-6-A-2,0,0
sfsarp-20-10-2V1,0,0
sfsarp-12-6-3,0,0
sarp-8-4-C-2,0,0
sarp-10-5-A-2,0,0
sarp-50-25-C-1V1,24,1
sarp-20-10-A-1,0,0
sarp-50-25-B-1V3,0,0
sarp-40-20-A-2V2,38,255
sfsarp-20-10-3,0,0
sarp-40-20-B-1,65,255
sarp-16-8-A-2V3,0,0
ghsarp-6-3-3,0,0
sfsarp-20-10-5,17,0
sarp-30-15-B-2,65,255
sfsarp-8-4-5,0,0
sarp-30-15-C-2V2,30,0
sarp-16-8-B-2,0,0
sfsarp-30-15-5V1,0,0
sarp-10-5-C-1,0,0
