cabid lati longi timestamp sequence
2.0 37.7932 -122.4208 687.0 12.0
2.0 37.7932 -122.4139 690.0 13.0
2.0 37.7679 -122.4290 713.0 14.0
2.0 37.7668 -122.3999 725.0 15.0
2.0 37.7626 -122.3961 732.0 16.0
2.0 37.7514 -122.3943 739.0 17.0
2.0 37.6152 -122.3902 785.0 18.0
2.0 37.7851 -122.4005 800.0 19.0
2.0 37.6161 -122.3883 821.0 20.0
2.0 37.6583 -122.4848 842.0 21.0
2.0 37.6153 -122.3902 857.0 22.0
2.0 37.5313 -122.2650 878.0 23.0
2.0 37.7560 -122.4052 920.0 24.0
2.0 37.7523 -122.4183 926.0 25.0
2.0 37.7523 -122.4187 931.0 26.0
2.0 37.7483 -122.4203 933.0 27.0
2.0 37.7554 -122.4210 942.0 28.0
2.0 37.7656 -122.4221 945.0 29.0
2.0 37.7774 -122.4132 960.0 30.0
2.0 37.7862 -122.4111 964.0 31.0
2.0 37.7856 -122.4098 972.0 32.0
2.0 37.6155 -122.3844 994.0 33.0
3.0 37.7880 -122.4109 940.0 1.0
3.0 37.7903 -122.3936 956.0 2.0
3.0 37.8012 -122.4229 966.0 3.0
3.0 37.7971 -122.4280 970.0 4.0
3.0 37.7982 -122.4073 978.0 5.0
3.0 37.7966 -122.4006 982.0 6.0
3.0 37.7868 -122.4109 990.0 7.0
3.0 37.7867 -122.4047 993.0 8.0
3.0 37.7959 -122.3943 1001.0 9.0
3.0 37.7959 -122.3943 1002.0 10.0
3.0 37.8057 -122.4223 1010.0 11.0
3.0 37.8005 -122.4104 1014.0 12.0
3.0 37.7979 -122.4220 1017.0 13.0
1.0 37.7831 -122.4677 542.0 1.0
1.0 37.7810 -122.4650 543.0 2.0
1.0 37.7811 -122.4601 544.0 3.0
1.0 37.7954 -122.4081 559.0 4.0
1.0 37.7767 -122.3954 601.0 5.0
1.0 37.7786 -122.3932 602.0 6.0
1.0 37.7786 -122.3932 603.0 7.0
1.0 37.7855 -122.4078 610.0 8.0
1.0 37.7839 -122.4176 618.0 9.0
1.0 37.7840 -122.4191 619.0 10.0
1.0 37.7733 -122.4185 624.0 11.0
1.0 37.7724 -122.4190 625.0 12.0
1.0 37.7724 -122.4190 626.0 13.0
1.0 37.7928 -122.3933 636.0 14.0
1.0 37.7833 -122.3935 640.0 15.0
1.0 37.7870 -122.3886 641.0 16.0
1.0 37.7948 -122.3934 645.0 17.0
1.0 37.7846 -122.4089 655.0 18.0
1.0 37.7846 -122.4091 660.0 19.0
1.0 37.7848 -122.4094 661.0 20.0
1.0 37.7855 -122.4214 667.0 21.0
1.0 37.8067 -122.4106 695.0 22.0
1.0 37.8038 -122.4098 696.0 23.0
1.0 37.7999 -122.4090 697.0 24.0
1.0 37.8084 -122.4101 718.0 25.0
1.0 37.8080 -122.4125 719.0 26.0
1.0 37.7889 -122.4084 730.0 27.0
1.0 37.7767 -122.3955 744.0 28.0
1.0 37.7764 -122.3986 745.0 29.0
1.0 37.7877 -122.4117 751.0 30.0
1.0 37.7945 -122.4069 767.0 31.0
1.0 37.7933 -122.4067 768.0 32.0
1.0 37.7540 -122.4498 789.0 33.0
1.0 37.7299 -122.4449 800.0 34.0
1.0 37.7304 -122.4443 801.0 35.0
lati longi low_tw
37.7477 -122.4485 830.0
37.7081 -122.4615 840.0
37.6597 -122.3937 784.0
37.6605 -122.3882 523.0
37.7512 -122.4457 503.0
37.7156 -122.4565 814.0
37.7466 -122.4515 565.0
37.6534 -122.3877 726.0
37.7115 -122.457 530.0
37.6577 -122.3918 834.0
37.665 -122.3952 598.0
37.7115 -122.4552 794.0
37.6795 -122.4776 514.0
37.6532 -122.3924 524.0
37.6711 -122.4753 777.0
37.6696 -122.4829 489.0
37.6535 -122.3917 796.0
37.6561 -122.3934 717.0
37.666 -122.3956 830.0
37.7536 -122.453 526.0
37.6794 -122.4818 610.0
37.7516 -122.4519 758.0
37.6741 -122.485 828.0
37.6531 -122.3932 745.0
37.7116 -122.4601 555.0
37.7129 -122.4572 498.0
37.7519 -122.4481 497.0
37.6718 -122.4783 876.0
37.7485 -122.4477 827.0
37.7141 -122.4586 650.0
37.7535 -122.4494 911.0
37.7079 -122.4536 956.0
37.7146 -122.4581 527.0
37.6762 -122.4826 626.0
37.6777 -122.4834 748.0
37.7497 -122.4472 660.0
37.7162 -122.454 837.0
37.6744 -122.4774 683.0
37.7517 -122.4457 708.0
37.6752 -122.4842 795.0
37.6715 -122.4789 920.0
37.673 -122.4778 726.0
37.6718 -122.4784 850.0
37.666 -122.3891 757.0
37.6722 -122.4805 894.0
37.6722 -122.4779 606.0
37.7477 -122.4494 715.0
37.7106 -122.4556 552.0
37.752 -122.4484 932.0
37.7473 -122.4453 846.0
37.7874 -122.4029 830.0
37.7749 -122.4393 840.0
37.6774 -122.4079 784.0
37.6644 -122.4025 523.0
37.6558 -122.4058 503.0
37.737 -122.4131 814.0
37.6689 -122.4509 565.0
37.7468 -122.4756 726.0
37.7205 -122.4292 530.0
37.7709 -122.4504 834.0
37.7896 -122.4552 598.0
37.7131 -122.4556 794.0
37.7096 -122.4566 514.0
37.6758 -122.4551 524.0
37.7851 -122.4549 777.0
37.6842 -122.3923 489.0
37.7779 -122.4281 796.0
37.7653 -122.423 717.0
37.7366 -122.3957 830.0
37.6505 -122.434 526.0
37.6776 -122.4065 610.0
37.7909 -122.4941 758.0
37.7789 -122.4937 828.0
37.7549 -122.4482 745.0
37.6982 -122.4985 555.0
37.7666 -122.4217 498.0
37.7771 -122.4091 497.0
37.7203 -122.4932 876.0
37.7465 -122.3911 827.0
37.7001 -122.498 650.0
37.7936 -122.482 911.0
37.7138 -122.4982 956.0
37.6732 -122.4807 527.0
37.7905 -122.3909 626.0
37.6704 -122.4155 748.0
37.6815 -122.4501 660.0
37.752 -122.4444 837.0
37.7279 -122.483 683.0
37.7613 -122.4675 708.0
37.687 -122.4695 795.0
37.7515 -122.4401 920.0
37.7603 -122.4577 726.0
37.7026 -122.4632 850.0
37.7612 -122.4967 757.0
37.763 -122.4414 894.0
37.7496 -122.4823 606.0
37.6854 -122.4562 715.0
37.792 -122.4299 552.0
37.7857 -122.4793 932.0
37.792 -122.4665 846.0
