cabid lati longi timestamp sequence
1.0 37.7521 -122.4191 544.0 1.0
1.0 37.7476 -122.4202 568.0 2.0
1.0 37.7781 -122.4183 578.0 3.0
1.0 37.7397 -122.4620 607.0 4.0
2.0 37.6285 -122.4022 603.0 1.0
2.0 37.7924 -122.3991 622.0 2.0
2.0 37.7902 -122.4007 624.0 3.0
2.0 37.7719 -122.4308 639.0 4.0
2.0 37.6396 -122.4053 692.0 5.0
2.0 37.7896 -122.3947 709.0 6.0
2.0 37.7860 -122.4016 712.0 7.0
2.0 37.7785 -122.4150 723.0 8.0
2.0 37.7876 -122.4069 872.0 9.0
2.0 37.7850 -122.4271 881.0 10.0
2.0 37.7853 -122.4050 890.0 11.0
2.0 37.7866 -122.4024 893.0 12.0
2.0 37.7965 -122.4005 899.0 13.0
2.0 37.7891 -122.4072 904.0 14.0
2.0 37.7852 -122.4366 911.0 15.0
2.0 37.7875 -122.4294 918.0 16.0
2.0 37.6179 -122.3865 944.0 17.0
2.0 37.6169 -122.3878 1013.0 18.0
3.0 37.7881 -122.4167 557.0 1.0
3.0 37.7950 -122.4301 631.0 2.0
3.0 37.7621 -122.4619 645.0 3.0
3.0 37.7740 -122.4410 658.0 4.0
3.0 37.7848 -122.4381 664.0 5.0
3.0 37.7872 -122.4098 680.0 6.0
3.0 37.7804 -122.3898 689.0 7.0
3.0 37.7875 -122.4072 697.0 8.0
3.0 37.7899 -122.4052 703.0 9.0
3.0 37.7948 -122.4005 707.0 10.0
3.0 37.7952 -122.4207 716.0 11.0
3.0 37.7915 -122.4021 746.0 12.0
3.0 37.7669 -122.4028 758.0 13.0
3.0 37.7821 -122.4093 766.0 14.0
3.0 37.7923 -122.4040 776.0 15.0
3.0 37.7887 -122.4052 784.0 16.0
3.0 37.7799 -122.4599 799.0 17.0
3.0 37.7866 -122.4521 806.0 18.0
3.0 37.7861 -122.4108 821.0 19.0
3.0 37.8016 -122.4120 860.0 20.0
3.0 37.7941 -122.4214 865.0 21.0
4.0 37.6152 -122.3903 601.0 1.0
4.0 37.7851 -122.4005 616.0 2.0
4.0 37.6177 -122.3861 639.0 3.0
4.0 37.7944 -122.4018 660.0 4.0
4.0 37.6153 -122.3899 769.0 5.0
4.0 37.7641 -122.4362 787.0 6.0
4.0 37.6177 -122.3859 851.0 7.0
4.0 37.7846 -122.4045 915.0 8.0
4.0 37.6152 -122.3902 998.0 9.0
5.0 37.7891 -122.4029 750.0 1.0
5.0 37.7991 -122.4085 762.0 2.0
5.0 37.7698 -122.4133 779.0 3.0
5.0 37.7643 -122.4131 783.0 4.0
5.0 37.7618 -122.4193 785.0 5.0
5.0 37.7702 -122.4692 807.0 6.0
5.0 37.7691 -122.4682 808.0 7.0
5.0 37.7874 -122.4039 828.0 8.0
5.0 37.7876 -122.4004 831.0 9.0
5.0 37.7803 -122.4168 837.0 10.0
5.0 37.7819 -122.4177 845.0 11.0
5.0 37.7816 -122.4157 846.0 12.0
5.0 37.6149 -122.3852 864.0 13.0
5.0 37.7702 -122.4041 993.0 14.0
5.0 37.7714 -122.4087 994.0 15.0
5.0 37.7900 -122.4221 1005.0 16.0
5.0 37.7905 -122.4208 1006.0 17.0
5.0 37.7899 -122.4032 1012.0 18.0
lati longi low_tw
37.7917 -122.4659 737.0
37.7172 -122.4144 893.0
37.6706 -122.4622 721.0
37.7451 -122.4967 957.0
37.7893 -122.4258 607.0
37.6833 -122.4716 648.0
37.7496 -122.4262 714.0
37.6833 -122.4674 747.0
37.7662 -122.3993 681.0
37.7205 -122.4155 836.0
37.6891 -122.4958 738.0
37.7527 -122.4222 656.0
37.6535 -122.492 815.0
37.7599 -122.4766 806.0
37.7812 -122.4621 711.0
37.6936 -122.4008 493.0
37.7876 -122.4144 943.0
37.6957 -122.463 488.0
37.7451 -122.3926 783.0
37.6862 -122.4102 852.0
37.7219 -122.3982 846.0
37.7227 -122.4662 955.0
37.6947 -122.4644 824.0
37.6707 -122.4279 855.0
37.7322 -122.4375 678.0
37.7604 -122.407 606.0
37.6726 -122.4754 624.0
37.7568 -122.4641 501.0
37.7602 -122.3982 703.0
37.7231 -122.391 639.0
37.7604 -122.4393 510.0
37.7285 -122.4891 727.0
37.723 -122.3956 705.0
37.7369 -122.4525 621.0
37.7714 -122.4458 807.0
37.6526 -122.4553 608.0
37.756 -122.399 746.0
37.7151 -122.4049 888.0
37.7955 -122.4893 761.0
37.6723 -122.4111 703.0
37.7413 -122.3956 794.0
37.7652 -122.4252 612.0
37.6815 -122.4027 858.0
37.7763 -122.454 848.0
37.7724 -122.4824 515.0
37.7149 -122.4184 519.0
37.658 -122.4656 893.0
37.7628 -122.4489 482.0
37.6724 -122.4669 542.0
37.6545 -122.3866 508.0
37.6584 -122.3916 737.0
37.7352 -122.4866 893.0
37.7714 -122.4927 721.0
37.6569 -122.3869 957.0
37.6574 -122.3873 607.0
37.8059 -122.4913 648.0
37.7352 -122.487 714.0
37.6621 -122.3859 747.0
37.7997 -122.4925 681.0
37.8002 -122.4882 836.0
37.6555 -122.3888 738.0
37.6581 -122.4934 656.0
37.6539 -122.3846 815.0
37.7338 -122.4884 806.0
37.7275 -122.4902 711.0
37.6541 -122.4917 493.0
37.7721 -122.4905 943.0
37.77 -122.4943 488.0
37.804 -122.4856 783.0
37.7997 -122.4906 852.0
37.8004 -122.4939 846.0
37.7684 -122.4866 955.0
37.7278 -122.4898 824.0
37.7775 -122.4878 855.0
37.7319 -122.4829 678.0
37.7344 -122.4852 606.0
37.8051 -122.4914 624.0
37.8059 -122.4909 501.0
37.728 -122.4887 703.0
37.8009 -122.4887 639.0
37.6615 -122.4965 510.0
37.7347 -122.4896 727.0
37.7328 -122.4816 705.0
37.6599 -122.4888 621.0
37.7312 -122.4885 807.0
37.7725 -122.492 608.0
37.6588 -122.3894 746.0
37.7331 -122.4873 888.0
37.7755 -122.4928 761.0
37.7719 -122.4903 703.0
37.7336 -122.4879 794.0
37.8041 -122.4919 612.0
37.7683 -122.4891 858.0
37.6602 -122.3846 848.0
37.8019 -122.486 515.0
37.6536 -122.3862 519.0
37.6609 -122.4904 893.0
37.6533 -122.3832 482.0
37.7332 -122.4855 542.0
37.7342 -122.3929 508.0
