cabid lati longi timestamp sequence
1.0 37.7860 -122.4090 607.0 1.0
1.0 37.6156 -122.3885 682.0 2.0
1.0 37.5880 -122.3573 728.0 3.0
1.0 37.5538 -122.3006 734.0 4.0
1.0 37.6298 -122.4024 764.0 5.0
1.0 37.6510 -122.3837 770.0 6.0
1.0 37.6465 -122.4063 801.0 7.0
1.0 37.7851 -122.4049 817.0 8.0
1.0 37.7892 -122.4032 827.0 9.0
1.0 37.7877 -122.4437 835.0 10.0
1.0 37.7797 -122.4185 848.0 11.0
1.0 37.7846 -122.4039 854.0 12.0
1.0 37.7685 -122.4164 888.0 13.0
1.0 37.7453 -122.4176 896.0 14.0
1.0 37.7624 -122.4194 903.0 15.0
1.0 37.7538 -122.3988 914.0 16.0
1.0 37.7727 -122.4028 919.0 17.0
1.0 37.7788 -122.4149 923.0 18.0
1.0 37.7953 -122.4033 951.0 19.0
1.0 37.7783 -122.4403 960.0 20.0
1.0 37.7795 -122.4387 962.0 21.0
1.0 37.7839 -122.4438 965.0 22.0
1.0 37.7874 -122.4527 970.0 23.0
1.0 37.7460 -122.4158 992.0 24.0
2.0 37.7828 -122.4122 543.0 1.0
2.0 37.7760 -122.4027 546.0 2.0
2.0 37.7645 -122.4186 557.0 3.0
2.0 37.7584 -122.4188 560.0 4.0
2.0 37.7574 -122.4190 562.0 5.0
2.0 37.7642 -122.4653 576.0 6.0
2.0 37.7663 -122.4540 580.0 7.0
2.0 37.7699 -122.4537 582.0 8.0
2.0 37.7727 -122.4410 584.0 9.0
2.0 37.7551 -122.4041 829.0 10.0
2.0 37.7966 -122.4243 847.0 11.0
2.0 37.7847 -122.4089 885.0 12.0
2.0 37.7880 -122.4187 891.0 13.0
2.0 37.7909 -122.4176 894.0 14.0
2.0 37.7641 -122.4570 910.0 15.0
2.0 37.7638 -122.4572 911.0 16.0
2.0 37.7824 -122.4022 927.0 17.0
2.0 37.7847 -122.4090 933.0 18.0
2.0 37.7804 -122.3899 941.0 19.0
2.0 37.8008 -122.4014 957.0 20.0
2.0 37.7917 -122.4097 963.0 21.0
2.0 37.7922 -122.3947 983.0 22.0
2.0 37.7799 -122.4321 1003.0 23.0
2.0 37.7781 -122.4351 1014.0 24.0
3.0 37.6159 -122.3888 644.0 1.0
3.0 37.7898 -122.4034 665.0 2.0
3.0 37.7925 -122.3981 714.0 3.0
3.0 37.7904 -122.4274 720.0 4.0
3.0 37.7855 -122.4003 772.0 5.0
3.0 37.7850 -122.4093 777.0 6.0
3.0 37.7926 -122.4036 801.0 7.0
3.0 37.7891 -122.4081 805.0 8.0
3.0 37.7931 -122.3973 820.0 9.0
3.0 37.7883 -122.4466 833.0 10.0
3.0 37.7919 -122.4096 843.0 11.0
3.0 37.6164 -122.3884 870.0 12.0
3.0 37.7917 -122.4074 980.0 13.0
3.0 37.8077 -122.4190 989.0 14.0
3.0 37.8077 -122.4190 990.0 15.0
3.0 37.7919 -122.4125 998.0 16.0
3.0 37.7918 -122.4073 1003.0 17.0
3.0 37.7968 -122.3994 1010.0 18.0
4.0 37.8000 -122.4075 984.0 1.0
4.0 37.7996 -122.4361 993.0 2.0
4.0 37.7813 -122.4609 1003.0 3.0
4.0 37.7875 -122.4624 1009.0 4.0
lati longi low_tw
37.7697 -122.4076 708.0
37.6691 -122.3979 650.0
37.7056 -122.4446 503.0
37.7423 -122.3945 881.0
37.6509 -122.4972 685.0
37.6819 -122.4434 740.0
37.797 -122.404 574.0
37.7354 -122.4425 672.0
37.7683 -122.4747 706.0
37.6847 -122.4159 904.0
37.7934 -122.4325 516.0
37.7445 -122.4874 902.0
37.6572 -122.4565 693.0
37.6838 -122.4013 608.0
37.6891 -122.4432 501.0
37.7581 -122.4571 612.0
37.6986 -122.4181 528.0
37.6974 -122.4498 870.0
37.6804 -122.4926 719.0
37.7956 -122.4818 509.0
37.6524 -122.4689 597.0
37.7658 -122.4158 854.0
37.7131 -122.4682 640.0
37.7187 -122.4805 941.0
37.7337 -122.3935 798.0
37.6597 -122.4114 568.0
37.7443 -122.4879 621.0
37.7715 -122.4471 545.0
37.6924 -122.4336 786.0
37.6788 -122.4083 631.0
37.795 -122.4237 588.0
37.7631 -122.4331 510.0
37.7566 -122.4472 659.0
37.7609 -122.4618 517.0
37.7004 -122.4703 644.0
37.7991 -122.4891 543.0
37.7502 -122.4492 490.0
37.7694 -122.4771 597.0
37.7613 -122.4283 751.0
37.7492 -122.4002 958.0
37.7487 -122.3994 708.0
37.7477 -122.3964 650.0
37.8058 -122.4463 503.0
37.8033 -122.4837 881.0
37.7971 -122.4896 685.0
37.7481 -122.3954 740.0
37.8069 -122.4484 574.0
37.8047 -122.4434 672.0
37.7831 -122.4229 706.0
37.7993 -122.4863 904.0
37.8053 -122.4479 516.0
37.8001 -122.4484 902.0
37.744 -122.3959 693.0
37.8024 -122.4812 608.0
37.7629 -122.4786 501.0
37.7864 -122.4136 612.0
37.8008 -122.4841 528.0
37.7963 -122.4848 870.0
37.8005 -122.4889 719.0
37.7869 -122.4156 509.0
37.808 -122.4435 597.0
37.8041 -122.4907 854.0
37.8046 -122.4425 640.0
37.8017 -122.4881 941.0
37.7874 -122.4212 798.0
37.8044 -122.485 568.0
37.7897 -122.4231 621.0
37.7984 -122.4906 545.0
37.8008 -122.489 786.0
37.8018 -122.4867 631.0
37.7629 -122.4703 588.0
37.7849 -122.4148 510.0
37.8046 -122.488 659.0
37.8033 -122.445 517.0
37.7992 -122.4906 644.0
37.8006 -122.4503 543.0
37.7454 -122.3936 490.0
37.8004 -122.4434 597.0
37.8041 -122.4482 751.0
37.6514 -122.4187 958.0
