,,,,,,,,,,,,,
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat,LB,UB,GAP
grubhub-10-0.tsp ,9,1,1,85.704,8.301,77.6388,4,0.12,16.3662,Optimal,16.3662,16.3662,0
grubhub-10-1.tsp ,9,1,1,79.1604,11.289,62.3116,3,0.1,28.1378,Optimal,28.1378,28.1378,0
grubhub-10-2.tsp ,9,1,1,75.5124,14.6422,68.2824,3,0.15,21.8722,Optimal,21.8722,21.8722,0
grubhub-10-3.tsp ,9,1,1,69.117,9.2804,61.1432,3,0.07,17.2542,Optimal,17.2542,17.2542,0
grubhub-10-4.tsp ,9,1,1,92.3616,10.5918,69.9384,4,0.08,33.015,Optimal,33.015,33.015,0
grubhub-10-5.tsp ,9,1,1,83.937,15.2232,81.8248,4,0.08,17.3354,Optimal,17.3354,17.3354,0
grubhub-10-6.tsp ,9,1,1,76.2876,13.3308,56.8284,3,0.1,32.79,Optimal,32.79,32.79,0
grubhub-10-7.tsp ,9,1,0,67.0536,0,53.3876,3,0.05,13.666,Optimal,13.666,13.666,0
grubhub-10-8.tsp ,9,1,0,89.0328,0,62.4404,4,0.05,26.5924,Optimal,26.5924,26.5924,0
grubhub-10-9.tsp ,9,1,0,69.0258,0,50.002,3,0.07,19.0238,Optimal,19.0238,19.0238,0
grubhub-11-0.tsp ,10,1,0,115.78,0,71.5668,4,0.16,44.2128,Optimal,44.2128,44.2128,0
grubhub-11-1.tsp ,10,1,1,90.8934,11.2724,68.5308,4,0.1,33.635,Optimal,33.635,33.635,0
grubhub-11-2.tsp ,10,1,1,99.2952,15.1568,111.513,3,0.13,2.9388,Optimal,2.9388,2.9388,0
grubhub-11-3.tsp ,10,1,1,96.5022,12.5672,55.2,5,0.1,53.8694,Optimal,53.8694,53.8694,0
grubhub-11-4.tsp ,10,1,1,89.913,13.945,66.0376,4,0.09,37.8204,Optimal,37.8204,37.8204,0
grubhub-11-5.tsp ,10,1,1,105.953,10.6084,74.0876,4,0.06,42.4736,Optimal,42.4736,42.4736,0
grubhub-11-6.tsp ,10,1,1,88.5906,8.7326,62.2012,4,0.14,35.122,Optimal,35.122,35.122,0
grubhub-11-7.tsp ,10,1,1,79.5162,11.455,76.3416,4,0.13,14.6296,Optimal,14.6296,14.6296,0
grubhub-11-8.tsp ,10,1,0,88.6704,0,49.2384,4,0.08,39.432,Optimal,39.432,39.432,0
