Instance,SumCol2,SumCol3,SumCol4,Col5_from_csv2,Col6_from_csv2,Col7_from_csv2,Status
csarp,,,,,,,
sarp-10-10-A-1,588.69,57.614,57.61,9.0,1.3244,54.3,Optimal
sarp-10-10-A-2,1819.97,44.9965,44.993,10.0,1.7561,72.0,Optimal
sarp-10-10-B-1,2004.93,73.7652,73.76,10.0,1.2049,49.4,Optimal
sarp-10-10-B-2,2154.76,73.0463,73.041,10.0,1.1073,45.4,Optimal
sarp-10-10-C-1,213.45,123.3843,123.381,10.0,1.139,46.7,Optimal
sarp-10-10-C-2,7173.09,155.8209,145.137,10.0,1.2902,52.9,Feasible
sarp-10-15-A-1,7178.05,56.7408,40.025,14.0,1.3829,56.7,Feasible
sarp-10-15-A-2,152.26,60.9747,60.97,15.0,2.2829,93.6,Optimal
sarp-10-15-B-1,7174.24,105.54,81.494,15.0,1.0122,41.5,Feasible
sarp-10-15-B-2,7194.78,88.486,67.781,15.0,1.6829,69.0,Feasible
sarp-10-15-C-1,7174.88,254.476,224.607,15.0,0.8049,33.0,Feasible
sarp-10-15-C-2,7172.0,257.139,241.827,15.0,0.5537,22.7,Feasible
sarp-10-20-A-1,7160.29,63.0777,56.992,19.0,2.3463,96.2,Feasible
sarp-10-20-A-2,7174.32,79.6716,78.954,20.0,1.8756,76.9,Feasible
sarp-10-20-B-1,7162.71,112.0121,103.82,20.0,0.7537,30.9,Feasible
sarp-10-20-B-2,7186.38,121.1,104.873,20.0,1.9463,79.8,Feasible
sarp-10-20-C-1,7167.97,259.082,224.965,20.0,0.5732,23.5,Feasible
sarp-10-20-C-2,7169.61,292.387,261.648,20.0,0.6,24.6,Feasible
sarp-10-30-A-1,7174.7,109.823,74.338,30.0,1.9902,81.6,Feasible
sarp-10-30-A-2,7181.92,108.4859,98.087,30.0,1.7829,73.1,Feasible
sarp-10-30-B-1,7168.76,147.858,129.337,30.0,0.8024,32.9,Feasible
sarp-10-30-B-2,7170.12,138.923,103.989,30.0,1.1268,46.2,Feasible
sarp-10-30-C-1,7173.36,378.093,262.728,30.0,0.9439,38.7,Feasible
sarp-10-30-C-2,7179.99,438.077,150.876,18.0,1.339,54.9,Feasible
sarp-15-10-A-1,311.72,54.6286,54.625,10.0,1.9976,81.9,Optimal
sarp-15-10-A-2,223.39,77.7568,77.753,10.0,1.8756,76.9,Optimal
sarp-15-10-B-1,385.79,77.441,77.441,10.0,1.8317,75.1,Optimal
sarp-15-10-B-2,719.26,77.7153,77.711,10.0,1.9829,81.3,Optimal
sarp-15-10-C-1,7163.39,195.3731,188.171,10.0,1.5683,64.3,Feasible
sarp-15-10-C-2,7173.26,253.786,249.528,10.0,1.1781,48.3,Feasible
sarp-15-15-A-1,7170.46,62.4373,53.689,15.0,3.0317,124.3,Feasible
sarp-15-15-A-2,314.81,80.5894,80.589,14.0,1.961,80.4,Optimal
sarp-15-15-B-1,7186.93,93.8224,81.645,15.0,2.2342,91.6,Feasible
sarp-15-15-B-2,7167.06,105.8603,93.449,15.0,0.9805,40.2,Feasible
sarp-15-15-C-1,7172.27,333.815,303.32,15.0,1.2488,51.2,Feasible
sarp-15-15-C-2,7178.9,267.013,241.596,15.0,0.9415,38.6,Feasible
sarp-15-20-A-1,7183.14,86.789,80.281,20.0,2.4927,102.2,Feasible
sarp-15-20-A-2,7169.73,90.8128,81.507,19.0,1.9317,79.2,Feasible
sarp-15-20-B-1,7167.61,122.8787,106.2,20.0,1.9756,81.0,Feasible
sarp-15-20-B-2,7168.98,124.0993,108.994,19.0,1.4781,60.6,Feasible
sarp-15-20-C-1,7183.19,332.504,279.939,20.0,0.5537,22.7,Feasible
sarp-15-20-C-2,7169.45,319.975,284.789,20.0,0.4951,20.3,Feasible
sarp-15-30-A-1,7170.02,126.2809,112.424,30.0,1.922,78.8,Feasible
sarp-15-30-A-2,7165.7,119.255,94.869,29.0,1.3293,54.5,Feasible
sarp-15-30-B-1,7178.46,159.115,136.451,30.0,0.9293,38.1,Feasible
sarp-15-30-B-2,7166.86,165.136,147.457,30.0,1.3219,54.2,Feasible
sarp-15-30-C-1,7176.95,430.942,271.893,30.0,1.0537,43.2,Feasible
sarp-15-30-C-2,7172.65,408.03,182.24,23.0,1.939,79.5,Feasible
sarp-20-10-A-1,544.87,70.7471,70.743,10.0,3.1585,129.5,Optimal
sarp-20-10-A-2,1380.47,62.5719,62.568,10.0,3.0244,124.0,Optimal
sarp-20-10-B-1,3291.96,89.0705,89.066,10.0,3.0244,124.0,Optimal
sarp-20-10-B-2,7167.88,91.1747,79.828,10.0,3.0781,126.2,Feasible
sarp-20-10-C-1,7181.0,268.994,260.912,10.0,1.3927,57.1,Feasible
sarp-20-10-C-2,7179.95,235.232,228.351,10.0,1.4976,61.4,Feasible
sarp-20-15-A-1,7166.13,77.0019,60.035,15.0,3.4512,141.5,Feasible
sarp-20-15-A-2,7169.98,79.063,70.831,15.0,3.0024,123.1,Feasible
sarp-20-15-B-1,7183.18,119.2667,115.199,15.0,2.4781,101.6,Feasible
sarp-20-15-B-2,7177.9,117.449,113.352,15.0,1.8024,73.9,Feasible
sarp-20-15-C-1,7165.23,325.067,304.699,15.0,1.2463,51.1,Feasible
sarp-20-15-C-2,7172.46,305.579,266.47,15.0,2.6854,110.1,Feasible
sarp-20-20-A-1,7184.6,98.427,92.755,20.0,3.2829,134.6,Feasible
sarp-20-20-A-2,3411.94,97.6233,97.618,20.0,1.4171,58.1,Optimal
sarp-20-20-B-1,7166.5,141.825,129.39,20.0,2.3976,98.3,Feasible
sarp-20-20-B-2,7164.27,150.159,127.592,20.0,1.9342,79.3,Feasible
sarp-20-20-C-1,7169.63,423.635,367.396,20.0,1.2902,52.9,Feasible
sarp-20-20-C-2,7184.48,407.354,309.116,20.0,1.2463,51.1,Feasible
sarp-20-30-A-1,7170.24,136.154,108.999,26.0,3.1585,129.5,Feasible
sarp-20-30-A-2,7174.76,132.314,101.247,30.0,3.4781,142.6,Feasible
sarp-20-30-B-1,7167.38,188.346,141.457,30.0,1.2902,52.9,Feasible
sarp-20-30-B-2,7185.0,171.408,131.906,30.0,2.9927,122.7,Feasible
sarp-20-30-C-1,7180.8,562.554,360.934,28.0,2.7366,112.2,Feasible
sarp-20-30-C-2,7172.63,522.255,385.611,30.0,3.0366,124.5,Feasible
sarp-30-10-A-1,7160.94,79.0829,70.446,10.0,2.8488,116.8,Feasible
sarp-30-10-A-2,7186.09,87.6069,82.089,10.0,3.5878,147.1,Feasible
sarp-30-10-B-1,7172.62,118.5558,107.905,10.0,2.5537,104.7,Feasible
sarp-30-10-B-2,7170.69,122.4999,111.884,10.0,3.2049,131.4,Feasible
sarp-30-10-C-1,5471.73,348.685,348.673,10.0,3.3073,135.6,Optimal
sarp-30-10-C-2,1240.13,340.812,340.806,10.0,2.8171,115.5,Optimal
sarp-30-15-A-1,7188.58,109.9991,93.027,15.0,3.4024,139.5,Feasible
sarp-30-15-A-2,7165.36,112.2498,90.643,15.0,3.0854,126.5,Feasible
sarp-30-15-B-1,7164.42,150.685,122.8,15.0,2.9146,119.5,Feasible
sarp-30-15-B-2,7181.68,148.4487,129.85,15.0,3.3732,138.3,Feasible
sarp-30-15-C-1,7188.86,434.604,421.256,15.0,2.561,105.0,Feasible
sarp-30-15-C-2,7177.96,419.683,406.061,15.0,2.6854,110.1,Feasible
sarp-30-20-A-1,7163.34,132.1374,121.751,20.0,1.9805,81.2,Feasible
sarp-30-20-A-2,7166.91,132.2367,108.37,20.0,3.7342,153.1,Feasible
sarp-30-20-B-1,7182.05,171.968,130.224,20.0,3.3634,137.9,Feasible
sarp-30-20-B-2,7162.22,159.105,132.572,20.0,3.7976,155.7,Feasible
sarp-30-20-C-1,7171.13,444.992,415.684,20.0,2.2537,92.4,Feasible
sarp-30-20-C-2,7177.92,481.193,439.089,20.0,3.7634,154.3,Feasible
sarp-30-30-A-1,7187.37,158.478,133.288,30.0,3.1439,128.9,Feasible
sarp-30-30-A-2,7186.43,163.031,149.711,30.0,3.178,130.3,Feasible
sarp-30-30-B-1,7165.51,199.486,185.566,30.0,2.4341,99.8,Feasible
sarp-30-30-B-2,7163.52,177.081,131.134,30.0,3.139,128.7,Feasible
sarp-30-30-C-1,7184.32,623.827,340.718,18.0,4.9537,203.1,Feasible
sarp-30-30-C-2,7171.63,553.366,429.951,30.0,1.8854,77.3,Feasible
sarp-5-15-A-1,7170.65,56.7055,51.266,15.0,0.539,22.1,Feasible
sarp-5-15-A-2,7176.69,60.0474,40.593,15.0,1.1439,46.9,Feasible
sarp-5-15-B-1,7190.45,72.4304,66.907,15.0,0.2537,10.4,Feasible
sarp-5-15-B-2,7167.62,65.4388,53.399,15.0,1.6415,67.3,Feasible
sarp-5-15-C-1,7166.98,204.106,185.107,15.0,0.7415,30.4,Feasible
sarp-5-15-C-2,7177.11,156.88,147.071,15.0,0.3805,15.6,Feasible
sarp-5-20-A-1,7186.85,62.2958,54.265,20.0,0.8293,34.0,Feasible
sarp-5-20-A-2,7182.25,76.0616,63.13,20.0,0.4366,17.9,Feasible
sarp-5-20-B-1,7187.89,102.33,84.215,20.0,0.2146,8.8,Feasible
sarp-5-20-B-2,7161.47,98.8793,87.043,20.0,0.722,29.6,Feasible
sarp-5-20-C-1,7183.01,248.153,223.589,20.0,0.3561,14.6,Feasible
sarp-5-20-C-2,7185.82,267.613,144.497,14.0,0.1878,7.7,Feasible
sarp-5-30-A-1,7183.39,105.433,90.772,30.0,0.578,23.7,Feasible
sarp-5-30-A-2,7163.74,91.0101,78.436,30.0,1.2146,49.8,Feasible
sarp-5-30-B-1,7193.75,138.208,61.107,21.0,0.5366,22.0,Feasible
sarp-5-30-B-2,7173.84,124.054,110.862,30.0,0.7854,32.2,Feasible
sarp-5-30-C-1,7176.1,377.892,261.469,30.0,0.3805,15.6,Feasible
sarp-5-30-C-2,7169.4,396.449,249.703,28.0,0.3683,15.1,Feasible
sfsarp,,,,,,,
sfsarp-10-10-1,7189.04,60.2694,60.2067,10.0,0.0134,0.5509,Feasible
sfsarp-10-10-2,7175.46,59.9071,59.8741,10.0,0.0046,0.1899,Feasible
sfsarp-10-10-3,7167.93,59.9139,59.8716,10.0,0.0108,0.4419,Feasible
sfsarp-10-10-4,7172.86,60.0505,60.0267,10.0,0.011,0.4525,Feasible
sfsarp-10-10-5,7199.28,59.8414,59.8239,10.0,0.0186,0.764,Feasible
sfsarp-10-15-1,7192.89,73.7017,73.6582,15.0,0.0107,0.4391,Feasible
sfsarp-10-15-2,7176.62,73.7397,73.721,15.0,0.0082,0.3357,Feasible
sfsarp-10-15-3,7169.37,73.661,73.6436,15.0,0.0065,0.2672,Feasible
sfsarp-10-15-4,7175.5,73.5248,73.4797,15.0,0.0113,0.465,Feasible
sfsarp-10-15-5,7184.21,73.4973,73.438,15.0,0.0087,0.3561,Feasible
sfsarp-10-20-1,7161.95,87.4027,87.3306,20.0,0.008,0.327,Feasible
sfsarp-10-20-2,7180.91,87.4387,87.363,20.0,0.0016,0.0637,Feasible
