
Instance,c(km),p(km),b(km),e(km),Total,c(%),p(%),b(%),e(%)
sarp-15-10-A-1.txt ,19.0678,120.918,24.1522,85.0998,249.238,7.65043,48.5152,9.6904,34.144
sarp-15-10-A-2.txt ,19.0678,105.117,24.1522,77.3468,225.684,8.44888,46.5772,10.7018,34.2721
sarp-15-10-A-3.txt ,19.0678,120.918,24.1522,85.0998,249.238,7.65043,48.5152,9.6904,34.144
sarp-15-10-A-4.txt ,19.0678,105.117,24.1522,82.9636,231.301,8.24371,45.4462,10.4419,35.8682
sarp-15-10-B-1.txt ,44.4236,166.051,27.6168,80.0089,318.101,13.9653,52.2008,8.68179,25.1521
sarp-15-10-B-2.txt ,44.9948,149.65,27.0456,85.2809,306.972,14.6576,48.7505,8.81045,27.7814
sarp-15-10-B-3.txt ,47.9038,133.818,24.1367,97.0225,302.881,15.8161,44.1817,7.96904,32.0333
sarp-15-10-B-4.txt ,40.2422,197.872,31.7982,71.0341,340.946,11.8031,58.0361,9.32646,20.8344
sarp-15-10-C-1.txt ,121.613,168.681,138.726,100.132,529.153,22.9827,31.8776,26.2167,18.9231
sarp-15-10-C-2.txt ,137.335,158.693,123.005,102.846,521.879,26.3154,30.408,23.5697,19.7068
sarp-15-10-C-3.txt ,116.268,162.223,144.071,135.092,557.655,20.8495,29.0902,25.8352,24.225
sarp-15-10-C-4.txt ,173.91,162.932,86.4299,89.5159,512.787,33.9146,31.7737,16.8549,17.4567
