,,,,,,,,,,,,,
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat,LB,UB,GAP
sarp-10-5-A-1.txt ,10,5,2,55.1258,10.9296,55.5999,3,23.4,10.4555,Optimal,10.4555,10.4555,0
sarp-10-5-A-2.txt ,10,5,3,57.6233,23.4996,71.8906,3,497.3,9.2324,Optimal,9.2324,9.23301,0.00660673
sarp-10-5-A-3.txt ,10,5,3,54.2422,26.2959,67.5144,4,1025.74,13.0237,Optimal,13.0237,13.024,0.00230344
sarp-10-5-A-4.txt ,10,5,4,58.0595,32.543,59.2932,7,37.62,31.3094,Optimal,31.3094,31.3124,0.00958087
sarp-10-5-B-1.txt ,10,5,5,67.4324,39.0514,90.1811,3,703.78,16.3027,Optimal,16.3027,16.3039,0.0073602
sarp-10-5-B-2.txt ,10,5,3,70.5002,31.586,52.3153,5,33.64,49.7709,Optimal,49.7709,49.771,0.00020092
sarp-10-5-B-3.txt ,10,5,4,74.2901,57.1193,67.2679,5,141.52,64.1416,Optimal,64.1416,64.1472,0.00872992
sarp-10-5-B-4.txt ,10,5,4,71.1697,53.9472,78.6662,4,3294.93,46.4507,Optimal,46.4507,46.4553,0.00990199
sarp-10-5-C-1.txt ,10,5,5,125.987,61.9973,77.9943,4,921.18,109.991,Optimal,109.991,110.001,0.00909083
sarp-10-5-C-2.txt ,10,5,5,143.666,81.1914,82.5882,5,1311.23,142.269,Optimal,142.269,142.283,0.00983955
sarp-10-5-C-3.txt ,10,5,5,115.405,72.311,88.4216,5,2160.26,99.2943,Optimal,99.2943,99.3041,0.00986868
sarp-10-5-C-4.txt ,10,5,5,116.036,101.696,78.6256,5,742.93,139.107,Optimal,139.107,139.121,0.0100632
,,,,,,,,,,,,,
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat,LB,UB,GAP
sarp-10-5-A-1.txt ,10,5,2,55.1258,10.9296,54.7406,3,17.62,11.3148,Optimal,11.3148,11.3148,0
sarp-10-5-A-2.txt ,10,5,3,57.6233,23.4996,71.8906,3,399.54,9.2324,Optimal,9.2324,9.23262,0.00238286
sarp-10-5-A-3.txt ,10,5,3,54.2422,26.2959,67.5144,4,1221.91,13.0237,Optimal,13.0237,13.0246,0.00691
sarp-10-5-A-4.txt ,10,5,4,58.0595,32.543,59.2932,7,46.26,31.3094,Optimal,31.3094,31.3102,0.00255508
sarp-10-5-B-1.txt ,10,5,4,67.4324,34.293,81.3504,3,582.8,20.375,Optimal,20.375,20.3768,0.00883358
sarp-10-5-B-2.txt ,10,5,3,70.5002,31.586,52.3153,5,23.03,49.7709,Optimal,49.7709,49.7709,0
sarp-10-5-B-3.txt ,10,5,4,74.2901,57.1193,67.2679,5,149.77,64.1416,Optimal,64.1416,64.1416,0
sarp-10-5-B-4.txt ,10,5,4,71.1697,53.9472,78.6662,4,4652.68,46.4507,Optimal,46.4507,46.4554,0.0101172
sarp-10-5-C-1.txt ,10,5,5,125.987,61.9973,74.5111,4,440.64,113.474,Optimal,113.474,113.485,0.00969291
sarp-10-5-C-2.txt ,10,5,5,143.666,81.1914,82.0152,5,996.88,142.842,Optimal,142.842,142.856,0.00980008
sarp-10-5-C-3.txt ,10,5,5,115.405,72.311,88.4216,5,2543.37,99.2943,Optimal,99.2943,99.3042,0.00996937
sarp-10-5-C-4.txt ,10,5,5,116.036,101.696,76.4117,5,694.1,141.321,Optimal,141.321,141.334,0.00919807
