
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat,LB,UB,GAP
sarp-15-10-A-1.txt ,15,10,10,82.6266,92.2135,116.994,6,7196.52,57.8465,Feasible,57.8465,104.55,44.671
sarp-15-10-A-2.txt ,15,10,10,76.8108,79.6157,89.3248,5,7196.42,67.1018,Feasible,67.1018,98.4012,31.8079
sarp-15-10-A-3.txt ,15,10,10,81.6091,89.5301,73.5436,13,7198.33,97.5956,Feasible,97.5956,104.857,6.92505
sarp-15-10-A-4.txt ,15,10,10,74.3745,74.0036,121.775,6,7196.93,26.6032,Feasible,26.6032,79.8192,66.6707
sarp-15-10-B-1.txt ,15,10,10,82.3116,94.1704,116.078,5,7196.32,60.4044,Feasible,60.4044,114.378,47.1888
sarp-15-10-B-2.txt ,15,10,10,81.9686,72.8008,73.0093,6,7194.64,81.7601,Feasible,81.7601,91.1439,10.2956
sarp-15-10-B-3.txt ,15,10,10,80.8752,84.6307,95.7193,6,7196.08,69.7866,Feasible,69.7866,102.195,31.7123
sarp-15-10-B-4.txt ,15,10,10,89.5019,68.4984,88.7446,7,7196.34,69.2557,Feasible,69.2557,89.2827,22.431
sarp-15-10-C-1.txt ,15,10,10,198.003,110.083,79.9137,8,7197.06,228.172,Feasible,228.172,249.479,8.5406
sarp-15-10-C-2.txt ,15,10,10,181.469,158.079,117.383,5,7196.48,222.165,Feasible,222.165,271.528,18.1797
sarp-15-10-C-3.txt ,15,10,10,204.195,128.051,116.794,6,7197.14,215.452,Feasible,215.452,266.828,19.2544
sarp-15-10-C-4.txt ,15,10,10,183.12,167.649,137.788,7,7196.95,212.982,Feasible,212.982,287.573,25.9381
