
Instance,c(h),p(h),b(h),e(h),waitc(h),waitp(h),Total,c(%),p(%),b(%),e(%),waitc(%),waitp(%)
sarp-15-15-A-1.txt ,2.33937,4.85308,1.08731,3.24079,23.4148,7.81997,42.7554,5.47152,11.3508,2.5431,7.57984,54.7647,18.29
sarp-15-15-A-2.txt ,2.7722,4.13645,0.6474,3.32668,16.2405,7.12601,34.2492,8.09421,12.0775,1.89026,9.71317,47.4185,20.8064
sarp-15-15-A-3.txt ,1.62258,5.43056,1.71577,2.44703,14.9199,13.6362,39.772,4.07969,13.6542,4.314,6.15263,37.5136,34.2858
sarp-15-15-A-4.txt ,2.71835,5.99632,0.795268,4.41601,19.164,5.59809,38.6881,7.02633,15.4991,2.05559,11.4144,49.5347,14.4698
sarp-15-15-B-1.txt ,2.80731,5.20388,0.957448,4.23104,10.4907,14.9919,38.6823,7.25736,13.4529,2.47516,10.9379,27.1202,38.7565
sarp-15-15-B-2.txt ,3.49078,4.63237,0.458636,3.67157,21.4684,11.649,45.3707,7.69391,10.21,1.01086,8.09238,47.3177,25.6751
sarp-15-15-B-3.txt ,2.22909,6.24702,1.80403,3.62195,10.636,6.17056,30.7086,7.25884,20.3429,5.87468,11.7946,34.6352,20.0939
sarp-15-15-B-4.txt ,3.71731,4.47584,0.364109,4.93395,12.6672,9.5499,35.7084,10.4102,12.5344,1.01968,13.8174,35.4742,26.7442
sarp-15-15-C-1.txt ,2.90045,7.34523,4.24386,2.0905,10.8121,23.1797,50.5719,5.73531,14.5243,8.39175,4.13372,21.3797,45.8352
sarp-15-15-C-2.txt ,4.97952,7.99856,2.72036,2.82505,17.3651,12.6091,48.4977,10.2675,16.4927,5.60926,5.82512,35.8061,25.9993
sarp-15-15-C-3.txt ,6.02468,7.01184,1.58976,2.64116,20.6847,7.19075,45.1429,13.3458,15.5325,3.52161,5.85066,45.8205,15.9289
sarp-15-15-C-4.txt ,4.69699,8.3489,4.1372,4.27845,10.4021,7.74762,39.6113,11.8577,21.0771,10.4445,10.8011,26.2604,19.5591
