Instance Name , n, m, served, prof Customer, prof Cust Part, prof Parcel, costs, K, Sol Time, Sol Val, sol Stat, LB, UB, GAP, vrps, e(h), et(%), e(km), ed(%) 
ghsarp-10-5-0,10,5,5,75.5076,56.2556,0,40.5306,3,0.01,34.977,Optimal,34.977,34.977,-2.03146e-14,40.5306,1.96158,0.224151,46.258,0.525003
ghsarp-10-5-1,10,5,5,76.8301,56.9875,0,42.0642,3,0.02,34.7658,Optimal,34.7658,34.7658,0,42.0642,2.01158,0.262858,48.308,0.52828
ghsarp-10-5-2,10,5,5,94.7171,66.8861,0,67.0993,3,0.02,27.6178,Optimal,27.6178,27.6178,0,67.0993,2.91543,0.234716,85.366,0.585228
ghsarp-10-5-3,10,5,5,89.5856,64.0464,0,65.2814,3,0.01,24.3042,Optimal,24.3042,24.3042,0,65.2814,2.94055,0.2548,86.396,0.608783
ghsarp-10-5-4,10,5,5,88.1477,63.2507,0,52.3535,3,0.01,35.7942,Optimal,35.7942,35.7942,0,52.3535,2.28914,0.240069,59.688,0.524444
ghsarp-12-6-0,12,6,6,88.2335,66.1921,0,51.589,3,0.02,36.6445,Optimal,36.6445,36.6445,-1.93902e-14,51.589,2.56668,0.250478,64.234,0.572751
ghsarp-12-6-1,12,6,6,87.4074,65.735,0,53.1199,3,0.02,34.2875,Optimal,34.2875,34.2875,0,53.1199,2.66741,0.222695,68.364,0.592009
ghsarp-12-6-2,12,6,6,87.3621,65.7099,0,47.5548,3,0.01,39.8073,Optimal,39.8073,39.8073,0,47.5548,2.37341,0.216243,56.31,0.544689
ghsarp-12-6-3,12,6,6,96.1707,70.5845,0,70.84,3,0.02,25.3307,Optimal,25.3307,25.3307,0,70.84,3.39946,0.255833,98.378,0.638818
ghsarp-12-6-4,12,6,6,88.767,66.4874,0,56.2019,3,0.02,32.5651,Optimal,32.5651,32.5651,-4.36382e-14,56.2019,2.79863,0.241911,73.744,0.603578
ghsarp-6-3-0,6,3,3,57.5974,40.5562,0,35.5221,3,0,22.0753,Optimal,22.0753,22.0753,0,35.5221,1.4799,0.281293,40.176,0.520266
ghsarp-6-3-1,6,3,3,46.4507,34.3877,0,24.414,3,0,22.0367,Optimal,22.0367,22.0367,-1.61218e-14,24.414,1.15488,0.278484,26.85,0.505897
ghsarp-6-3-2,6,3,3,48.2367,35.3761,0,35.317,3,0.01,12.9198,Optimal,12.9198,12.9198,0,35.317,1.69068,0.349079,48.818,0.63585
ghsarp-6-3-3,6,3,3,54.2272,38.6912,0,31.4888,3,0.01,22.7384,Optimal,22.7384,22.7384,0,31.4888,1.34585,0.297056,34.68,0.506618
ghsarp-6-3-4,6,3,3,62.1953,43.1007,0,39.7201,3,0,22.4752,Optimal,22.4752,22.4752,-3.16145e-14,39.7201,1.59361,0.328002,44.838,0.519271
ghsarp-8-4-0,8,4,4,59.7452,44.6388,0,46.2033,3,0.01,13.5419,Optimal,13.5419,13.5419,0,46.2033,2.3155,0.385507,67.602,0.673045
ghsarp-8-4-1,8,4,4,55.996,42.564,0,31.361,3,0.01,24.635,Optimal,24.635,24.635,0,31.361,1.6173,0.308446,38.976,0.571697
ghsarp-8-4-2,8,4,4,64.9755,47.5333,0,37.4081,3,0.01,27.5674,Optimal,27.5674,27.5674,0,37.4081,1.7253,0.267104,43.404,0.53373
ghsarp-8-4-3,8,4,4,70.6941,50.6979,0,43.5372,3,0.01,27.1569,Optimal,27.1569,27.1569,0,43.5372,1.91486,0.250834,51.176,0.54071
ghsarp-8-4-4,8,4,4,49.3546,38.8886,0,36.6206,3,0,12.734,Optimal,12.734,12.734,-1.39498e-14,36.6206,2.05345,0.395635,56.858,0.714207
