
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat,LB,UB,GAP
grubhub-14-0.tsp ,13,1,1,114.67,10.3262,84.8976,7,0.95,40.0982,Optimal,40.0982,40.0982,0
grubhub-14-2.tsp ,13,1,1,123.915,9.4796,116.122,7,4.5,17.2722,Optimal,17.2722,17.2722,0
grubhub-14-3.tsp ,13,1,1,125.796,10.791,95.2476,6,2.28,41.3394,Optimal,41.3394,41.3394,0
grubhub-14-4.tsp ,13,1,1,127.335,9.214,101.191,5,2.58,35.3582,Optimal,35.3582,35.3582,0

Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat,LB,UB,GAP
grubhub-14-0.tsp ,11,3,3,92.8452,38.1498,81.65,6,16,49.345,Optimal,49.345,49.3487,0.00749766
grubhub-14-2.tsp ,11,3,3,108.794,27.5424,105.874,7,45.52,30.4626,Optimal,30.4626,30.4652,0.00853433
grubhub-14-3.tsp ,11,3,3,103.937,38.6644,100.124,6,316.06,42.4782,Optimal,42.4782,42.4815,0.00776809
grubhub-14-4.tsp ,11,3,3,104.975,37.8178,99.13,4,754.74,43.6626,Optimal,43.6626,43.6667,0.00938931

Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat,LB,UB,GAP
grubhub-14-0.tsp ,10,4,4,88.431,42.5996,82.5976,6,73.32,48.433,Optimal,48.433,48.433,0
grubhub-14-2.tsp ,10,4,4,102.088,35.3288,108.67,7,120.6,28.7466,Optimal,28.7466,28.748,0.0048699
grubhub-14-3.tsp ,10,4,4,96.8328,47.0318,99.8568,5,1484.36,44.0078,Optimal,44.0078,44.0119,0.00931566
grubhub-14-4.tsp ,10,4,4,94.2678,51.4308,85.2012,4,442.04,60.4974,Optimal,60.4974,60.503,0.00925574

Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat,LB,UB,GAP
grubhub-14-0.tsp ,8,6,6,66.4698,70.6224,81.8248,5,994.67,55.2674,Optimal,55.2674,55.2724,0.00904611
grubhub-14-2.tsp ,8,6,6,89.3382,49.9388,105.064,6,430.68,34.213,Optimal,34.213,34.213,0
grubhub-14-3.tsp ,8,6,6,81.2784,65.7254,94.1896,5,571,52.8142,Optimal,52.8142,52.8189,0.00889833
grubhub-14-4.tsp ,8,6,6,76.4676,73.3946,85.4588,3,7194.03,64.4034,Feasible,64.4034,68.736,6.30325
