 1A
Instance,c(km),p(km),b(km),e(km),Total,c(%),p(%),b(%),e(%)
 sfsarp-10-30-1,4.75283,34.915,3.97131,28.0358,71.6749,6.6311,48.713,5.54072,39.1152
 sfsarp-10-30-2,5.22439,23.5778,11.8236,17.9109,58.5367,8.92498,40.2787,20.1985,30.5978
 sfsarp-10-30-3,2.55239,57.595,31.1387,15.507,106.793,2.39003,53.9314,29.158,14.5206
 sfsarp-10-30-4,4.86179,50.9738,57.3175,34.6719,147.825,3.28889,34.4825,38.7739,23.4547
 sfsarp-10-30-5,21.5889,57.2435,26.2816,37.6771,142.791,15.1192,40.089,18.4056,26.3862
 sfsarp-15-10-1,28.8707,57.1531,44.1288,65.6573,195.81,14.7443,29.188,22.5366,33.5311
 sfsarp-15-10-2,48.099,0,0,81.0026,129.102,37.2567,0,0,62.7433
 sfsarp-15-10-3,4.49842,34.4214,26.0865,27.0607,92.0671,4.88603,37.3873,28.3343,29.3924
 sfsarp-15-10-4,32.7845,15.4107,10.6591,37.4738,96.3281,34.0342,15.9981,11.0655,38.9022
 sfsarp-15-10-5,40.0403,24.192,9.32748,51.408,124.968,32.0405,19.3586,7.46391,41.137
 sfsarp-15-15-1,17.8344,0,0,33.9168,51.7512,34.4618,0,0,65.5382
 sfsarp-15-15-2,7.79543,58.0517,85.3883,27.8846,179.12,4.35207,32.4094,47.671,15.5676
 sfsarp-15-15-3,10.5366,60.1538,24.4774,36.0429,131.211,8.03031,45.8452,18.655,27.4695
 sfsarp-15-15-4,5.02537,17.3564,10.6671,24.7134,57.7624,8.70008,30.048,18.4673,42.7847
 sfsarp-15-15-5,3.73066,26.2417,45.6805,25.6275,101.28,3.6835,25.9099,45.103,25.3035
 sfsarp-15-20-1,36.0158,35.3253,43.603,39.437,154.381,23.3292,22.8819,28.2437,25.5452
 sfsarp-15-20-2,6.28273,57.0232,48.502,16.3645,128.172,4.90178,44.4895,37.8412,12.7676
 sfsarp-15-20-3,45.9811,15.2725,9.18909,44.7183,115.161,39.9277,13.2619,7.97935,38.8311
 sfsarp-15-20-4,5.5737,73.1234,23.0548,46.8127,148.565,3.7517,49.22,15.5183,31.51
 sfsarp-15-20-5,8.89961,39.8327,13.9656,41.4703,104.168,8.5435,38.2388,13.4068,39.8109
 sfsarp-15-30-1,5.20612,38.041,22.0021,40.3956,105.645,4.92795,36.0084,20.8265,38.2372
 sfsarp-15-30-2,8.47778,84.6139,58.2356,48.6354,199.963,4.23968,42.3149,29.1232,24.3222
 sfsarp-15-30-3,25.1258,36.7488,35.1294,53.4418,150.446,16.7009,24.4266,23.3502,35.5223
 sfsarp-15-30-4,8.51877,34.5408,27.4256,23.7969,94.2821,9.0354,36.6356,29.0889,25.2401
 sfsarp-15-30-5,79.8701,42.3904,33.7901,77.6588,233.709,34.175,18.1381,14.4582,33.2288
 sfsarp-20-10-1,32.1093,30.3033,9.53365,34.5343,106.481,30.1551,28.459,8.95342,32.4325
 sfsarp-20-10-2,27.9388,52.8676,32.2921,60.2569,173.355,16.1165,30.4966,18.6277,34.7592
 sfsarp-20-10-3,24.2017,35.3243,25.9311,48.3683,133.825,18.0845,26.3958,19.3768,36.1428
 sfsarp-20-10-4,20.9806,40.6102,27.2068,47.6254,136.423,15.3791,29.7678,19.943,34.9101
 sfsarp-20-10-5,24.508,76.4709,27.1263,43.0675,171.173,14.3177,44.6747,15.8473,25.1603
 sfsarp-20-15-1,110.581,0,0,103.832,214.413,51.5737,0,0,48.4263
 sfsarp-20-15-2,10.7671,35.3952,19.9896,42.1467,108.299,9.94206,32.6829,18.4579,38.9171
 sfsarp-20-15-3,26.5221,33.2583,28.9279,35.2281,123.937,21.3998,26.835,23.3409,28.4243
 sfsarp-20-15-4,24.2384,58.6117,24.8808,58.0492,165.78,14.6208,35.3551,15.0083,35.0158
 sfsarp-20-15-5,31.0185,31.9681,10.542,39.4856,113.014,27.4466,28.2868,9.32801,34.9386
