 1A,,,,,,,,,
Instance,c(h),p(h),b(h),e(h),Total,c(%),p(%),b(%),e(%)
 sfsarp-10-10-1,0.92757,1.81183,0.281154,0.891734,3.91229,23.7092,46.3112,7.18643,22.7932
 sfsarp-10-10-2,1.07857,1.59553,0.0967148,1.69868,4.46951,24.1318,35.6982,2.16388,38.0061
 sfsarp-10-10-3,0.489733,1.97519,0.791495,1.06295,4.31937,11.3381,45.7287,18.3243,24.6089
 sfsarp-10-10-4,0.662046,1.97469,0.428728,1.01549,4.08095,16.2229,48.388,10.5056,24.8836
 sfsarp-10-10-5,1.80679,1.67312,0.0954106,2.13901,5.71434,31.6186,29.2793,1.66967,37.4324
 sfsarp-10-15-1,0.744962,2.13707,0.500945,1.19209,4.57506,16.2831,46.7112,10.9495,26.0562
 sfsarp-10-15-2,1.13579,1.97739,0.485395,0.837503,4.43608,25.6034,44.5753,10.942,18.8794
 sfsarp-10-15-3,0.863301,1.47504,0.352325,0.960402,3.65107,23.6452,40.4003,9.6499,26.3047
 sfsarp-10-15-4,1.73608,2.07235,0.0878335,1.44304,5.3393,32.5151,38.8131,1.64504,27.0267
 sfsarp-10-15-5,0.996633,1.22804,0.0896355,1.10145,3.41576,29.1775,35.9522,2.62417,32.2462
 sfsarp-10-20-1,1.25496,2.07789,0.369987,1.35143,5.05427,24.8298,41.1116,7.32029,26.7384
 sfsarp-10-20-2,1.42535,2.59469,0.187205,1.07687,5.28411,26.9743,49.1035,3.54278,20.3794
 sfsarp-10-20-3,1.43142,1.71329,0.658868,1.49699,5.30058,27.005,32.3227,12.4301,28.2421
 sfsarp-10-20-4,1.79175,1.35222,0.107367,1.22379,4.47513,40.038,30.2164,2.3992,27.3465
 sfsarp-10-20-5,2.31391,1.62916,0.379312,1.58135,5.90373,39.1941,27.5954,6.42495,26.7856
 sfsarp-30-15-1,2.4993,4.07249,1.12103,3.31261,11.0054,22.7097,37.0044,10.1862,30.0998
 sfsarp-30-15-2,3.93989,3.54898,0.794301,3.92165,12.2048,32.2815,29.0785,6.50809,32.1319
 sfsarp-30-15-3,3.27373,3.94538,1.26038,2.91439,11.3939,28.7324,34.6272,11.0619,25.5785
 sfsarp-30-15-4,1.89761,5.3267,3.69045,2.4905,13.4053,14.1557,39.7359,27.5299,18.5785
 sfsarp-30-15-5,2.61976,5.15284,1.6443,2.44222,11.8591,22.0907,43.4504,13.8653,20.5936
 sfsarp-30-20-1,2.8134,4.24874,1.23934,3.11939,11.4209,24.6338,37.2015,10.8515,27.3131
 sfsarp-30-20-2,3.36957,3.53466,1.17437,3.36486,11.4435,29.4454,30.8881,10.2624,29.4042
 sfsarp-30-20-3,3.17664,3.9669,1.50419,2.87463,11.5224,27.5694,34.4278,13.0545,24.9483
 sfsarp-30-20-4,4.8481,3.96442,0.825495,3.74113,13.3792,36.2363,29.6313,6.17001,27.9624
 sfsarp-30-20-5,2.02093,5.31628,2.29166,1.85191,11.4808,17.6028,46.3059,19.9608,16.1305
 sfsarp-30-30-1,2.68519,4.54076,1.38756,2.56545,11.179,24.02,40.6188,12.4122,22.949
 sfsarp-30-30-2,1.77735,4.41537,1.9626,2.80602,10.9614,16.2147,40.2812,17.9048,25.5993
 sfsarp-30-30-3,3.79719,5.03163,1.77636,3.04754,13.6527,27.8127,36.8544,13.011,22.3219
 sfsarp-30-30-4,3.11835,3.63146,1.643,3.09769,11.4905,27.1385,31.604,14.2988,26.9587
 sfsarp-30-30-5,2.96502,3.82115,1.13542,2.53712,10.4587,28.3498,36.5356,10.8562,24.2584
 sfsarp-5-15-1,0.837413,1.1031,0.107172,0.44177,2.48946,33.6384,44.311,4.30502,17.7456
 sfsarp-5-15-2,0.483355,0.842364,0,0.490879,1.8166,26.6077,46.3704,0,27.0219
 sfsarp-5-15-3,0.851795,1.40004,0.0882254,0.496657,2.83672,30.0275,49.3542,3.11013,17.5082
 sfsarp-5-15-4,0.601356,1.12455,0.125745,0.648158,2.49981,24.0561,44.9854,5.03019,25.9283
 sfsarp-5-15-5,0.997164,1.23882,0,0.434903,2.67089,37.3345,46.3824,0,16.2831
 sfsarp-5-20-1,0.780496,0.86567,0.238514,0.424995,2.30968,33.7925,37.4802,10.3267,18.4006
 sfsarp-5-20-2,0.949339,1.0711,0,0.886876,2.90731,32.6535,36.8415,0,30.505
 sfsarp-5-20-3,0.856626,0.677155,0.0841479,0.650087,2.26802,37.7698,29.8567,3.7102,28.6633
 sfsarp-5-20-4,0.705245,1.51427,0.188593,0.383884,2.79199,25.2595,54.2362,6.75478,13.7495
 sfsarp-5-20-5,0.854978,1.16172,0.0994951,0.46992,2.58612,33.0603,44.9215,3.84728,18.1709
 sfsarp-5-30-1,0.523595,0.751982,0,0.575199,1.85078,28.2906,40.6306,0,31.0788
 sfsarp-5-30-2,0.965218,0.442221,0,0.559227,1.96667,49.0789,22.4858,0,28.4353
 sfsarp-5-30-3,0.898958,1.6059,0.178064,0.525015,3.20794,28.023,50.0602,5.55074,16.3661
 sfsarp-5-30-4,0.967952,1.51463,0,0.954121,3.4367,28.1651,44.0722,0,27.7627
 sfsarp-5-30-5,0.490455,0.582086,0,0.474358,1.5469,31.7057,37.6292,0,30.6651
