 1A
Instance,c(h),p(h),b(h),e(h),Total,c(%),p(%),b(%),e(%)
 sarp-15-10-A-1,1.35115,2.4894,0.93353,3.35034,8.12442,16.6307,30.641,11.4904,41.2379
 sarp-15-10-A-2,0.521452,5.31232,1.47965,1.55483,8.86825,5.87998,59.9027,16.6848,17.5326
 sarp-15-10-B-1,1.01931,2.94731,1.67642,2.77746,8.4205,12.1051,35.0016,19.9088,32.9845
 sarp-15-10-B-2,2.51612,0,0,4.6571,7.17321,35.0766,0,0,64.9234
 sarp-15-10-C-1,3.06271,3.57985,2.96688,3.79616,13.4056,22.8465,26.7041,22.1316,28.3177
 sarp-15-10-C-2,2.10828,4.34841,3.86083,2.12955,12.4471,16.9379,34.9352,31.018,17.1088
 sarp-15-15-A-1,1.21618,1.95072,0.712437,3.27628,7.15563,16.9962,27.2614,9.95633,45.7861
 sarp-15-15-A-2,0.921074,3.13439,1.06162,3.43801,8.5551,10.7664,36.6377,12.4092,40.1867
 sarp-15-15-B-1,0.919504,3.08433,1.35831,2.57305,7.9352,11.5877,38.869,17.1175,32.4258
 sarp-15-15-B-2,0.959609,4.14663,1.40828,2.53066,9.04518,10.6091,45.8436,15.5694,27.978
 sarp-15-15-C-1,1.45153,7.08465,4.69349,2.1734,15.4031,9.42362,45.995,30.4712,14.1102
 sarp-15-15-C-2,2.66175,3.80242,3.6389,3.70389,13.807,19.2783,27.5399,26.3555,26.8263
 sarp-15-20-A-1,0.824737,3.15176,1.19314,3.55332,8.72295,9.45479,36.1318,13.6782,40.7352
 sarp-15-20-A-2,0.919695,2.6289,1.07722,3.60305,8.22887,11.1764,31.9473,13.0907,43.7855
 sarp-15-20-B-1,1.02813,3.1944,1.54629,2.84251,8.61133,11.9393,37.0954,17.9565,33.0089
 sarp-15-20-B-2,1.04808,3.45076,1.40866,3.85962,9.76712,10.7307,35.3304,14.4225,39.5164
 sarp-15-20-C-1,1.22755,5.62413,5.55844,2.34869,14.7588,8.31739,38.1069,37.6618,15.9138
 sarp-15-20-C-2,0.938925,6.65179,4.69438,1.31542,13.6005,6.9036,48.9084,34.5162,9.67185
 sarp-15-30-A-1,0.798081,2.79191,1.1246,4.35139,9.06598,8.80303,30.7955,12.4046,47.9969
 sarp-15-30-A-2,0.984427,2.37135,0.863841,3.75478,7.9744,12.3448,29.7371,10.8327,47.0854
 sarp-15-30-B-1,0.586728,3.88032,1.75396,2.56434,8.78535,6.67848,44.1681,19.9646,29.1888
 sarp-15-30-B-2,0.492318,4.84909,1.69897,1.65563,8.69601,5.66142,55.7623,19.5374,19.0389
 sarp-15-30-C-1,0.871211,5.54089,5.13466,1.54341,13.0902,6.65546,42.3286,39.2253,11.7906
 sarp-15-30-C-2,2.93776,2.72989,3.47974,3.53554,12.6829,23.1631,21.5241,27.4364,27.8764
 sarp-20-10-A-1,1.13421,4.34463,1.39706,3.65166,10.5276,10.7737,41.2691,13.2705,34.6867
 sarp-20-10-A-2,1.71398,3.04959,1.08497,3.67361,9.52215,17.9999,32.0263,11.3942,38.5797
 sarp-20-10-B-1,2.14682,2.17527,1.01314,4.76435,10.0996,21.2565,21.5382,10.0315,47.1738
 sarp-20-10-B-2,1.75047,3.93944,1.64863,4.21667,11.5552,15.1487,34.0924,14.2674,36.4915
 sarp-20-10-C-1,3.9607,4.47961,4.71309,2.81089,15.9643,24.8098,28.0602,29.5227,17.6073
 sarp-20-10-C-2,2.18513,5.85778,4.73232,2.51122,15.2865,14.2946,38.3201,30.9576,16.4278
 sarp-30-15-A-2,2.98234,2.76601,1.18526,5.66085,12.5945,23.6797,21.9621,9.41099,44.9472
 sarp-30-20-B-2,2.18884,4.53401,2.22698,4.68372,13.6335,16.0548,33.2562,16.3346,34.3544
