
Instance,c(km),p(km),b(km),e(km),Total,c(%),p(%),b(%),e(%)
sarp-15-10-A-1.txt ,49.5732,109.202,10.1226,145.132,314.03,15.7862,34.7743,3.22346,46.2161
sarp-15-10-A-2.txt ,30.8148,71.0765,18.6779,123.108,243.677,12.6458,29.1683,7.665,50.5209
sarp-15-10-A-3.txt ,46.7991,67.9733,11.1116,91.9041,217.788,21.4884,31.2107,5.10201,42.1989
sarp-15-10-A-4.txt ,42.2114,53.8184,3.00714,210.91,309.947,13.6189,17.3637,0.970212,68.0471
sarp-15-10-B-1.txt ,36.3773,86.0589,22.7658,166.284,311.486,11.6786,27.6285,7.30879,53.384
sarp-15-10-B-2.txt ,33.1484,91.1898,25.3929,67.526,217.257,15.2577,41.9732,11.688,31.0811
sarp-15-10-B-3.txt ,35.2263,107.365,21.3969,100.72,264.709,13.3076,40.5598,8.0832,38.0495
sarp-15-10-B-4.txt ,52.0024,58.2077,19.7553,134.715,264.681,19.6472,21.9916,7.46382,50.8973
sarp-15-10-C-1.txt ,179.55,93.7335,82.5602,79.9919,435.835,41.1967,21.5066,18.943,18.3537
sarp-15-10-C-2.txt ,126.567,149.027,106.536,106.152,488.283,25.9209,30.5207,21.8185,21.7399
sarp-15-10-C-3.txt ,178.119,145.429,94.8545,108.471,526.874,33.8068,27.6023,18.0033,20.5876
sarp-15-10-C-4.txt ,212.372,154.029,23.6287,145.51,535.539,39.6557,28.7615,4.41214,27.1707
