
Instance,c(km),p(km),b(km),e(km),Total,c(%),p(%),b(%),e(%)
sarp-7-5-A-1.txt ,26.5951,40.8093,6.28211,87.1484,160.835,16.5356,25.3734,3.90594,54.185
sarp-7-5-A-2.txt ,25.5122,49.5748,3.00648,72.524,150.617,16.9384,32.9144,1.9961,48.1511
sarp-7-5-A-3.txt ,21.9465,66.9066,7.54083,74.5951,170.989,12.835,39.1292,4.41012,43.6256
sarp-7-5-A-4.txt ,30.7866,23.0798,3.41403,97.9267,155.207,19.8358,14.8703,2.19966,63.0942
sarp-7-5-B-1.txt ,19.1732,64.0046,14.3134,76.0786,173.57,11.0464,36.8754,8.2465,43.8317
sarp-7-5-B-2.txt ,15.2792,100.562,22.7488,46.2132,184.803,8.2678,54.4158,12.3097,25.0067
sarp-7-5-B-3.txt ,49.8214,31.4646,0,78.3181,159.604,31.2156,19.7141,0,49.0702
sarp-7-5-B-4.txt ,44.1354,92.0056,15.3742,56.5992,208.114,21.2073,44.2092,7.38738,27.1962
sarp-7-5-C-1.txt ,35.3506,70.7324,25.2893,50.9525,182.325,19.3888,38.7947,13.8704,27.946
sarp-7-5-C-2.txt ,66.629,58.9754,35.9369,90.4449,251.986,26.4415,23.4042,14.2614,35.8928
sarp-7-5-C-3.txt ,41.5049,107.5,57.8721,44.406,251.283,16.5172,42.7804,23.0307,17.6717
sarp-7-5-C-4.txt ,68.5682,97.1971,14.428,76.5919,256.785,26.7026,37.8515,5.61868,29.8272
sarp-7-6-A-1.txt ,21.1521,48.8892,10.2186,77.2558,157.516,13.4286,31.0377,6.48734,49.0464
sarp-7-6-A-2.txt ,26.0178,35.1333,0,96.4615,157.613,16.5075,22.2909,0,61.2016
sarp-7-6-A-3.txt ,28.4483,38.0897,12.5828,96.1072,175.228,16.235,21.7372,7.18083,54.8469
sarp-7-6-A-4.txt ,11.6449,78.5421,18.1784,19.433,127.798,9.11194,61.4578,14.2243,15.206
sarp-7-6-B-1.txt ,33.8869,72.0268,4.3764,79.2048,189.495,17.8827,38.0099,2.30951,41.7979
sarp-7-6-B-2.txt ,25.9389,79.1673,18.796,46.5525,170.455,15.2175,46.4448,11.027,27.3108
sarp-7-6-B-3.txt ,27.0246,78.13,33.361,40.2658,178.781,15.116,43.7014,18.6602,22.5224
sarp-7-6-B-4.txt ,28.4901,83.4734,9.99638,59.4422,181.402,15.7055,46.0156,5.51062,32.7682
sarp-7-6-C-1.txt ,67.366,75.3653,38.0792,56.7629,237.573,28.3559,31.7229,16.0284,23.8928
sarp-7-6-C-2.txt ,93.8356,75.1994,33.7214,74.405,277.161,33.8559,27.132,12.1667,26.8454
sarp-7-6-C-3.txt ,48.6318,95.8082,92.9119,50.8188,288.171,16.876,33.247,32.242,17.635
sarp-7-6-C-4.txt ,70.2379,93.7517,62.9587,45.4985,272.447,25.7804,34.411,23.1086,16.7
