
Instance,c(h),p(h),b(h),e(h),waitc(h),waitp(h),Total,c(%),p(%),b(%),e(%),waitc(%),waitp(%)
sarp-8-7-A-1.txt ,1.11667,3.10289,0.876611,1.97675,9.16242,7.76466,24,4.65278,12.9287,3.65255,8.23645,38.1768,32.3528
sarp-8-7-A-2.txt ,1.46399,1.75187,0.5038,2.54809,10.5352,2.25878,19.0617,7.68024,9.19051,2.643,13.3676,55.2688,11.8499
sarp-8-7-A-3.txt ,1.77268,2.191,0.268156,1.93655,10.75,0.926707,17.8451,9.9337,12.2779,1.50268,10.852,60.2407,5.19306
sarp-8-7-A-4.txt ,1.99313,2.47153,0.261828,2.52496,13.3279,3.30962,23.889,8.3433,10.3459,1.09602,10.5696,55.791,13.8542
sarp-8-7-B-1.txt ,1.33302,3.51521,0.869347,1.28443,9.75748,10.0773,26.8368,4.96716,13.0985,3.23939,4.78606,36.3586,37.5503
sarp-8-7-B-2.txt ,1.47295,3.55011,1.18568,1.29691,16.3417,7.84307,31.6905,4.64794,11.2025,3.74144,4.09243,51.5667,24.749
sarp-8-7-B-3.txt ,1.08557,3.66636,1.123,1.2647,12.8788,0.390875,20.4093,5.31898,17.9642,5.5024,6.1967,63.1026,1.91518
sarp-8-7-B-4.txt ,2.61751,2.55394,0.310933,2.08669,18.5412,5.0694,31.1796,8.39494,8.19106,0.997231,6.69249,59.4656,16.2587
sarp-8-7-C-1.txt ,2.75446,3.60354,2.41286,1.20726,7.605,5.08778,22.6709,12.1497,15.895,10.643,5.32514,33.5452,22.4419
sarp-8-7-C-2.txt ,2.72608,4.1225,1.62918,1.20115,13.949,0.372082,24,11.3587,17.1771,6.78826,5.00481,58.1209,1.55034
sarp-8-7-C-3.txt ,1.61537,4.27199,2.66647,1.13347,10.5151,4.04007,24.2425,6.66338,17.6219,10.9992,4.67556,43.3747,16.6653
sarp-8-7-C-4.txt ,2.35477,3.83183,1.98023,1.51795,7.78432,13.4041,30.8732,7.62724,12.4115,6.41408,4.91674,25.2139,43.4166
