
Instance,c(h),p(h),b(h),e(h),waitc(h),waitp(h),Total,c(%),p(%),b(%),e(%),waitc(%),waitp(%)
grubhub-14-5.tsp ,2.64862,2.12098,1.38146,2.77512,13.7289,9.34488,32,8.27693,6.62805,4.31707,8.67226,42.9029,29.2027
grubhub-14-6.tsp ,3.29106,1.88829,1.31073,3.5161,14.7301,7.26374,32,10.2846,5.90091,4.09604,10.9878,46.0315,22.6992
grubhub-14-7.tsp ,3.39415,0.495447,0.41252,2.82146,28.2607,4.61577,40,8.48537,1.23862,1.0313,7.05366,70.6516,11.5394
grubhub-14-8.tsp ,3.58065,1.30163,0.772846,3.42146,17.6646,5.25878,32,11.1895,4.06758,2.41514,10.6921,55.202,16.4337
grubhub-14-9.tsp ,3.27789,2.42098,1.12293,2.80634,12.4459,1.92602,24,13.6579,10.0874,4.67886,11.6931,51.8577,8.02507

Instance,c(h),p(h),b(h),e(h),waitc(h),waitp(h),Total,c(%),p(%),b(%),e(%),waitc(%),waitp(%)
grubhub-14-5.tsp ,1.36667,2.92764,1.82667,2.35122,6.70398,16.8238,32,4.27083,9.14888,5.70833,7.34756,20.9499,52.5744
grubhub-14-6.tsp ,1.5522,2.96992,2.19675,3.21073,8.23073,5.83967,24,6.46748,12.3747,9.15312,13.378,34.2947,24.332
grubhub-14-7.tsp ,2.04699,1.89951,0.963415,2.01317,14.0233,11.0537,32,6.39685,5.93598,3.01067,6.29116,43.8227,34.5427
grubhub-14-8.tsp ,2.91561,1.15236,0.855772,2.82293,8.80943,7.4439,24,12.1484,4.80149,3.56572,11.7622,36.706,31.0163
grubhub-14-9.tsp ,2.28358,2.25171,1.17171,2.13073,12.1047,4.05756,24,9.51491,9.38211,4.88211,8.87805,50.4363,16.9065
