
Instance,c(km),p(km),b(km),e(km),Total,c(%),p(%),b(%),e(%)
sarp-15-10-A-1.txt ,26.4701,186.353,33.2258,123.002,369.051,7.17247,50.4952,9.00303,33.3293
sarp-15-10-A-2.txt ,30.3753,136.085,19.1174,54.9903,240.568,12.6265,56.5682,7.94677,22.8585
sarp-15-10-A-3.txt ,26.6173,108.907,31.2934,76.6053,243.423,10.9346,44.7398,12.8556,31.4701
sarp-15-10-A-4.txt ,33.8004,121.735,11.4181,153.151,320.104,10.5592,38.0298,3.567,47.844
sarp-15-10-B-1.txt ,24.9869,171.887,34.1562,86.8389,317.869,7.86076,54.0748,10.7454,27.3191
sarp-15-10-B-2.txt ,42.4371,108.319,16.1042,86.1127,252.973,16.7754,42.8183,6.366,34.0403
sarp-15-10-B-4.txt ,40.8113,160.217,30.9464,111.821,343.796,11.8708,46.6023,9.00139,32.5255
sarp-15-10-C-1.txt ,166.595,183.693,95.5153,104.947,550.75,30.2487,33.3533,17.3428,19.0552
sarp-15-10-C-2.txt ,176.62,150.922,56.4831,165.661,549.685,32.1311,27.456,10.2755,30.1373
sarp-15-10-C-3.txt ,145.693,175.819,127.281,84.3603,533.153,27.3266,32.9773,23.8733,15.8229
sarp-15-10-C-4.txt ,146.533,166.42,89.4673,92.5591,494.98,29.6039,33.6216,18.0749,18.6996

Instance,c(km),p(km),b(km),e(km),Total,c(%),p(%),b(%),e(%)
sarp-15-10-A-1.txt ,42.3157,129.5,17.3802,103.372,292.567,14.4636,44.2632,5.94057,35.3327
sarp-15-10-A-2.txt ,24.8953,132.696,24.5974,77.5485,259.737,9.58482,51.0885,9.47012,29.8566
sarp-15-10-A-3.txt ,26.6173,108.907,31.2934,76.6053,243.423,10.9346,44.7398,12.8556,31.4701
sarp-15-10-A-4.txt ,29.1672,128.849,16.0513,104.589,278.657,10.4671,46.2395,5.76024,37.5332
