
Instance,c(km),p(km),b(km),e(km),Total,c(%),p(%),b(%),e(%)
 ghsarp-10-5-0,40.795,55.0886,13.9749,66.9156,176.774,23.0775,31.1633,7.9055,37.8538
 ghsarp-10-5-1,47.968,35.0076,15.2414,42.3079,140.525,34.1349,24.912,10.846,30.107
 ghsarp-10-5-2,35.4802,33.4482,14.4565,77.6468,161.032,22.0331,20.7712,8.97743,48.2183
 ghsarp-10-5-3,23.0019,41.9319,11.7846,44.5279,121.246,18.9712,34.584,9.71958,36.7252
 ghsarp-10-5-4,21.1609,37.2818,9.76446,62.9822,131.189,16.1301,28.4183,7.44302,48.0086
 ghsarp-10-5-5,35.4893,37.2691,13.7827,52.608,139.149,25.5045,26.7836,9.90501,37.8069
 ghsarp-10-5-6,24.5126,47.5151,24.8118,43.6114,140.451,17.4528,33.8304,17.6658,31.051
 ghsarp-10-5-7,47.2934,13.7537,6.85075,66.3395,134.237,35.2312,10.2458,5.10346,49.4195
 ghsarp-10-5-8,20.5722,42.4157,34.8664,27.9913,125.846,16.3472,33.7045,27.7057,22.2426
 ghsarp-10-5-9,41.0776,41.1164,5.45964,64.5132,152.167,26.9951,27.0206,3.58793,42.3964
 ghsarp-5-10-0,18.4736,81.287,19.4564,26.0812,145.298,12.7143,55.9449,13.3907,17.9501
 ghsarp-5-10-1,12.1539,74.8595,19.4543,15.7219,122.19,9.94672,61.265,15.9214,12.8668
 ghsarp-5-10-2,22.2072,49.9655,7.30173,53.3308,132.805,16.7216,37.6231,5.49807,40.1571
 ghsarp-5-10-3,11.5104,44.4628,4.97747,34.2014,95.152,12.0969,46.7281,5.23107,35.9439
 ghsarp-5-10-4,9.20086,75.8068,4.16343,20.0154,109.186,8.42674,69.4288,3.81313,18.3314
 ghsarp-5-10-5,4.22734,44.2897,17.8989,34.3056,100.721,4.19706,43.9725,17.7706,34.0598
 ghsarp-5-10-6,20.789,41.3473,8.12124,55.8243,126.082,16.4885,32.794,6.44124,44.2762
 ghsarp-5-10-7,15.8053,53.4243,8.55838,35.2193,113.007,13.9861,47.2751,7.5733,31.1655
 ghsarp-5-10-8,18.5651,48.6227,10.2531,18.8533,96.2941,19.2796,50.4939,10.6477,19.5788
 ghsarp-5-10-9,15.3137,37.3468,9.98655,61.2413,123.888,12.3609,30.1455,8.06093,49.4326
 ghsarp-5-5-0,15.2564,31.3849,6.1129,53.4687,106.223,14.3627,29.5463,5.75478,50.3363
 ghsarp-5-5-1,7.01827,37.2038,11.1873,31.4294,86.8388,8.08195,42.8424,12.8829,36.1928
 ghsarp-5-5-2,3.03117,32.8935,23.9949,30.9638,90.8834,3.33523,36.1931,26.4018,34.0698
 ghsarp-5-5-3,13.3693,20.753,6.09196,55.3179,95.5321,13.9945,21.7236,6.37687,57.905
 ghsarp-5-5-4,26.3968,45.5935,5.9126,25.9519,103.855,25.417,43.9012,5.69314,24.9886
 ghsarp-5-5-5,12.8592,23.6952,4.48736,22.9858,64.0275,20.0838,37.0078,7.00848,35.8999
