10
Instance,c(h),p(h),b(h),e(h),waitc(h),waitp(h),Total,c(%),p(%),b(%),e(%),waitc(%),waitp(%)
grubhub-15-9.tsp ,5.59398,0.486179,0.450081,5.76098,6.95128e-310,6.95128e-310,12.2912,45.512,3.9555,3.66181,46.8707,5.65549e-309,5.65549e-309
20
Instance,c(h),p(h),b(h),e(h),waitc(h),waitp(h),Total,c(%),p(%),b(%),e(%),waitc(%),waitp(%)
grubhub-15-9.tsp ,3.84732,1.89707,1.27707,5.16927,19.602,6.36179,38.1545,10.0835,4.97209,3.34711,13.5483,51.3752,16.6738
30
Instance,c(h),p(h),b(h),e(h),waitc(h),waitp(h),Total,c(%),p(%),b(%),e(%),waitc(%),waitp(%)
grubhub-15-9.tsp ,3.17106,2.39545,1.71301,4.55659,17.4341,5.47707,34.7472,9.12607,6.89392,4.92991,13.1135,50.174,15.7626
40
Instance,c(h),p(h),b(h),e(h),waitc(h),waitp(h),Total,c(%),p(%),b(%),e(%),waitc(%),waitp(%)
grubhub-15-9.tsp ,2.18016,2.40715,1.94276,3.99951,17.9121,4.15447,32.5962,6.6884,7.38478,5.9601,12.2699,54.9516,12.7453
10
Instance,c(h),p(h),b(h),e(h),waitc(h),waitp(h),Total,c(%),p(%),b(%),e(%),waitc(%),waitp(%)
grubhub-15-9.tsp ,5.11268,0.730569,0.931382,5.50976,0.694797,9.93618,22.9154,22.3112,3.18812,4.06444,24.0439,3.03201,43.3603
20
Instance,c(h),p(h),b(h),e(h),waitc(h),waitp(h),Total,c(%),p(%),b(%),e(%),waitc(%),waitp(%)
grubhub-15-9.tsp ,3.84732,1.89707,1.27707,5.16927,28.3983,1.0339,41.6229,9.24326,4.55776,3.0682,12.4193,68.2275,2.48397
30
Instance,c(h),p(h),b(h),e(h),waitc(h),waitp(h),Total,c(%),p(%),b(%),e(%),waitc(%),waitp(%)
grubhub-15-9.tsp ,3.17106,2.39545,1.71301,4.55659,23.9973,0.859837,36.6933,8.64207,6.5283,4.66846,12.418,65.3998,2.34331
40
Instance,c(h),p(h),b(h),e(h),waitc(h),waitp(h),Total,c(%),p(%),b(%),e(%),waitc(%),waitp(%)
grubhub-15-9.tsp ,2.18016,2.40715,1.94276,3.99951,9.93439,6.16098,26.625,8.18842,9.04097,7.29678,15.0217,37.3123,23.1398
10
Instance,c(h),p(h),b(h),e(h),waitc(h),waitp(h),Total,c(%),p(%),b(%),e(%),waitc(%),waitp(%)
grubhub-15-9.tsp ,5.59398,0.486179,0.450081,5.76098,0.694797,13.6943,26.6803,20.9667,1.82224,1.68694,21.5926,2.60415,51.3274
20
Instance,c(h),p(h),b(h),e(h),waitc(h),waitp(h),Total,c(%),p(%),b(%),e(%),waitc(%),waitp(%)
grubhub-15-9.tsp ,4.34228,1.8361,0.782114,5.1161,19.602,6.36179,38.0403,11.4149,4.82671,2.05601,13.4491,51.5294,16.7238
30
Instance,c(h),p(h),b(h),e(h),waitc(h),waitp(h),Total,c(%),p(%),b(%),e(%),waitc(%),waitp(%)
grubhub-15-9.tsp ,3.50309,2.45837,1.38098,4.15707,18.7278,6.89106,37.1184,9.43762,6.62306,3.72046,11.1995,50.4543,18.5651
40
Instance,c(h),p(h),b(h),e(h),waitc(h),waitp(h),Total,c(%),p(%),b(%),e(%),waitc(%),waitp(%)
grubhub-15-9.tsp ,2.20016,3.07967,1.92276,3.26439,21.2249,3.0274,34.7193,6.33701,8.87022,5.53803,9.40224,61.1328,8.71965
10
Instance,c(h),p(h),b(h),e(h),waitc(h),waitp(h),Total,c(%),p(%),b(%),e(%),waitc(%),waitp(%)
grubhub-15-9.tsp ,5.11268,0.730569,0.931382,5.50976,3.94537,6.90496,23.1347,22.0996,3.15789,4.02591,23.816,17.0539,29.8467
20
Instance,c(h),p(h),b(h),e(h),waitc(h),waitp(h),Total,c(%),p(%),b(%),e(%),waitc(%),waitp(%)
grubhub-15-9.tsp ,4.34228,1.8361,0.782114,5.1161,28.3983,1.0339,41.5088,10.4611,4.4234,1.88421,12.3253,68.4151,2.4908
30
Instance,c(h),p(h),b(h),e(h),waitc(h),waitp(h),Total,c(%),p(%),b(%),e(%),waitc(%),waitp(%)
grubhub-15-9.tsp ,3.50309,2.45837,1.38098,4.15707,28.8595,0.859837,41.2189,8.49875,5.9642,3.35035,10.0854,70.0153,2.08603
