
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat,LB,UB,GAP
sarp-25-25-A-1.txt ,25,25,15,106.855,68.7371,133.58,6,3594.89,42.0127,Feasible,42.0127,65.4708,35.8299
sarp-25-25-A-2.txt ,25,25,16,115.256,102.422,157.161,8,3592.46,60.5172,Feasible,60.5172,109.03,44.4949
sarp-25-25-A-3.txt ,25,25,19,106.12,99.018,154.342,9,3590.18,50.7956,Feasible,50.7956,78.6392,35.4068
sarp-25-25-A-4.txt ,25,25,21,106.37,127.561,176.32,6,3595.75,57.6115,Feasible,57.6115,79.9443,27.9355
sarp-25-25-B-1.txt ,25,25,13,126.055,90.0845,190.601,7,3591.72,25.5387,Feasible,25.5387,105.415,75.7732
sarp-25-25-B-2.txt ,25,25,14,130.522,94.1576,192.564,9,3591.79,32.1165,Feasible,32.1165,118.866,72.9809
sarp-25-25-B-3.txt ,25,25,13,120.128,86.2021,365.289,12,3589.08,-158.96,Feasible,-158.96,132.783,219.714
sarp-25-25-B-4.txt ,25,25,15,118.718,104.178,160.995,8,3594.85,61.9003,Feasible,61.9003,101.001,38.7132
sarp-25-25-C-2.txt ,25,25,12,299.414,178.924,332.845,12,3592.07,145.493,Feasible,145.493,500.204,70.9133
sarp-25-25-C-3.txt ,25,25,12,320.845,180.844,310.692,13,3590.47,190.996,Feasible,190.996,482.412,60.4081
sarp-25-25-C-4.txt ,25,25,18,275.768,308.869,182.083,12,3590.21,402.554,Feasible,402.554,440.63,8.64126
