
Instance,c(h),p(h),b(h),e(h),waitc(h),waitp(h),Total,c(%),p(%),b(%),e(%),waitc(%),waitp(%)
sarp-25-20-A-1.txt ,2.92415,4.46441,2.55517,4.74845,21.4527,19.8552,56,5.2217,7.97216,4.5628,8.47938,38.3083,35.4556
sarp-25-20-A-2.txt ,2.02294,5.82933,3.4167,4.13288,19.0222,37.5759,72,2.80965,8.09629,4.74541,5.74011,26.4198,52.1888
sarp-25-20-A-3.txt ,2.13969,5.57556,3.17961,4.13389,23.6639,33.3074,72,2.97179,7.74383,4.41613,5.74152,32.8665,46.2602
sarp-25-20-A-4.txt ,3.03825,4.32169,2.55005,3.80044,12.8129,21.4767,48,6.32968,9.00352,5.3126,7.91758,26.6935,44.7431
sarp-25-20-B-1.txt ,2.79786,5.58685,3.46083,4.08952,25.3214,30.7435,72,3.88591,7.75951,4.80671,5.67989,35.1686,42.6993
sarp-25-20-B-2.txt ,2.34719,7.37407,3.60156,4.4718,21.7874,24.418,64,3.66749,11.522,5.62743,6.98719,34.0428,38.1531
sarp-25-20-B-3.txt ,1.81985,6.25818,3.86972,4.28017,19.2328,28.5392,64,2.84352,9.7784,6.04644,6.68777,30.0513,44.5925
sarp-25-20-B-4.txt ,2.87939,5.53154,3.58887,5.13078,13.9723,16.8971,48,5.99872,11.524,7.47681,10.6891,29.109,35.2023
sarp-25-20-C-1.txt ,5.13625,10.6684,9.35468,3.18061,26.0316,33.6285,88,5.83665,12.1231,10.6303,3.61433,29.5814,38.2142
sarp-25-20-C-2.txt ,3.64912,8.57426,8.40117,4.00801,7.07913,24.2883,56,6.51628,15.3112,15.0021,7.15716,12.6413,43.372
sarp-25-20-C-3.txt ,4.33984,9.60931,9.86484,3.61148,17.0395,51.535,96,4.52067,10.0097,10.2759,3.76196,17.7495,53.6823
sarp-25-20-C-4.txt ,5.19063,12.1171,10.4779,7.82079,5.10225,15.2914,56,9.26898,21.6376,18.7105,13.9657,9.11115,27.3061
