
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat,LB,UB,GAP
sarp-10-15-A-1.txt ,10,15,10,54.7826,101.762,131.698,3,6175.65,24.8457,Feasible,24.8457,65.0423,61.8007
sarp-10-15-A-2.txt ,10,15,8,48.6928,92.4755,84.6794,4,6624.44,56.4889,Optimal,56.4889,56.4943,0.00955849
sarp-10-15-A-3.txt ,10,15,7,50.5443,86.391,75.7787,6,7164.48,61.1566,Feasible,61.1566,71.2585,14.1764
sarp-10-15-A-4.txt ,10,15,10,53.2078,113.572,106.662,5,7197.53,60.1176,Feasible,60.1176,77.6494,22.5782
sarp-10-15-B-2.txt ,10,15,7,53.3635,114.397,120.394,3,7194.43,47.3664,Feasible,47.3664,105.151,54.9539
sarp-10-15-B-3.txt ,10,15,7,62.2451,89.2382,93.0222,4,7195.7,58.461,Feasible,58.461,76.5756,23.6558
sarp-10-15-B-4.txt ,10,15,9,65.3521,174.914,141.807,3,7194.06,98.459,Feasible,98.459,169.045,41.7557
sarp-10-15-C-1.txt ,10,15,10,126.989,195.089,133.091,4,7197.41,188.987,Feasible,188.987,225.991,16.3741
sarp-10-15-C-2.txt ,10,15,10,107.784,204.643,136.843,4,7195.76,175.585,Feasible,175.585,208.368,15.7332
sarp-10-15-C-3.txt ,10,15,10,103.31,194.977,136.234,4,7196.3,162.053,Feasible,162.053,206.761,21.623
sarp-10-15-C-4.txt ,10,15,9,158.584,182.568,115.539,5,7198.71,225.613,Feasible,225.613,236.292,4.51941
sarp-15-5-A-1.txt ,15,5,4,78.5956,41.6344,107.413,4,7197.85,12.8167,Feasible,12.8167,44.3749,71.1172
sarp-15-5-A-2.txt ,15,5,4,78.5956,41.6344,107.413,4,7197.9,12.8167,Feasible,12.8167,44.3804,71.1208
sarp-15-5-A-3.txt ,15,5,4,78.5956,41.6344,107.413,4,7197.85,12.8167,Feasible,12.8167,44.3279,71.0866
sarp-15-5-A-4.txt ,15,5,4,78.5956,41.6344,108.728,4,7198.04,11.5019,Feasible,11.5019,44.297,74.0346
sarp-15-5-B-1.txt ,15,5,5,100.302,68.7897,91.8039,5,7197.93,77.2879,Feasible,77.2879,95.5316,19.097
sarp-15-5-B-2.txt ,15,5,5,100.302,68.7897,91.8039,5,7197.64,77.2879,Feasible,77.2879,95.4828,19.0557
sarp-15-5-B-3.txt ,15,5,5,100.302,68.7897,91.8039,5,7198.47,77.2879,Feasible,77.2879,95.4807,19.0539
sarp-15-5-B-4.txt ,15,5,5,100.302,68.7897,90.8771,5,7198.47,78.2147,Feasible,78.2147,95.4515,18.0582
sarp-15-5-C-1.txt ,15,5,5,172.786,91.3399,101.294,5,7197.77,162.831,Feasible,162.831,187.144,12.9916
sarp-15-5-C-2.txt ,15,5,5,172.786,91.3399,98.9829,5,7197.98,165.143,Feasible,165.143,187.101,11.7359
sarp-15-5-C-3.txt ,15,5,5,172.786,91.3399,111.169,5,7197.75,152.957,Feasible,152.957,187.173,18.2804
sarp-15-5-C-4.txt ,15,5,5,172.786,91.3399,116.153,5,7197.8,147.973,Feasible,147.973,187.311,21.0014

Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat,LB,UB,GAP
sarp-10-15-A-1.txt ,10,15,7,54.7826,75.3777,99.7289,3,7193.91,30.4314,Feasible,30.4314,65.39,53.4617
sarp-10-15-A-2.txt ,10,15,9,48.6928,96.3272,88.3027,4,5139.58,56.7172,Optimal,56.7172,56.7228,0.00987257
sarp-10-15-A-3.txt ,10,15,7,50.5443,86.391,75.7787,6,7197.01,61.1566,Feasible,61.1566,70.3217,13.0331
sarp-10-15-A-4.txt ,10,15,9,53.2078,109.604,117.396,5,7194.33,45.4156,Feasible,45.4156,80.1857,43.362
sarp-10-15-B-1.txt ,10,15,9,60.6045,68.1234,68.7719,4,7196.08,59.9559,Feasible,59.9559,64.4863,7.02537
sarp-10-15-B-2.txt ,10,15,10,51.4127,106.913,89.9802,5,6625.15,68.3454,Optimal,68.3454,68.3522,0.00994847
sarp-10-15-B-3.txt ,10,15,7,62.2451,81.6188,84.8616,4,7196.33,59.0023,Feasible,59.0023,77.3077,23.6786
sarp-10-15-B-4.txt ,10,15,6,58.6391,62.1622,77.4243,4,7195.89,43.377,Feasible,43.377,64.2079,32.4429
sarp-10-15-C-1.txt ,10,15,10,126.989,206.603,131.553,4,7194.93,202.038,Feasible,202.038,226.8,10.918
sarp-10-15-C-2.txt ,10,15,9,107.784,194.433,152.102,4,7189.41,150.115,Feasible,150.115,209.14,28.2227
sarp-10-15-C-3.txt ,10,15,10,103.31,200.421,144.606,4,7052.32,159.125,Feasible,159.125,207.569,23.3387
sarp-10-15-C-4.txt ,10,15,10,158.584,194.914,129.642,5,7197.86,223.856,Feasible,223.856,235.784,5.05887
