
Instance,c(h),p(h),b(h),e(h),waitc(h),waitp(h),Total,c(%),p(%),b(%),e(%),waitc(%),waitp(%)
sarp-15-10-A-1.txt ,1.89144,4.10201,2.06455,4.48612,6.56086,14.8473,33.9523,5.57089,12.0817,6.08075,13.213,19.3238,43.7299
sarp-15-10-A-2.txt ,2.30157,3.28927,1.40557,3.54253,7.48935,11.9319,29.9601,7.68212,10.9788,4.69145,11.8241,24.9977,39.8258
sarp-15-10-A-3.txt ,2.1358,3.07599,1.77665,1.97871,28.0098,28.5727,65.5496,3.2583,4.69262,2.71039,3.01864,42.7306,43.5894
sarp-15-10-B-1.txt ,1.60011,4.97111,2.42674,3.3766,3.96605,9.15672,25.4973,6.27561,19.4966,9.51761,13.243,15.5548,35.9125
sarp-15-10-B-2.txt ,1.14808,6.34697,2.86593,2.98048,11.2004,8.57025,33.1121,3.46725,19.1681,8.65522,9.00119,33.8256,25.8825
sarp-15-10-B-3.txt ,2.26337,5.08838,2.21567,2.43797,17.867,10.0975,39.9699,5.66269,12.7306,5.54335,6.09953,44.7012,25.2627
sarp-15-10-C-1.txt ,4.47469,4.08111,4.41823,2.17319,13.6165,7.70522,36.469,12.2699,11.1906,12.115,5.95901,37.3373,21.1282
sarp-15-10-C-2.txt ,3.92519,4.48436,4.26026,2.58043,8.92224,10.1474,34.3198,11.4371,13.0664,12.4134,7.51877,25.9973,29.567
sarp-15-10-C-3.txt ,3.86644,4.80522,5.29145,2.93621,5.54484,9.32001,31.7642,12.1723,15.1278,16.6586,9.24376,17.4563,29.3413
sarp-15-10-C-4.txt ,2.80038,6.17109,5.45572,2.56192,16.0206,7.02001,40.0298,6.99576,15.4162,13.6292,6.40004,40.0218,17.537

Instance,c(h),p(h),b(h),e(h),waitc(h),waitp(h),Total,c(%),p(%),b(%),e(%),waitc(%),waitp(%)
sarp-15-10-A-1.txt ,1.31966,4.89458,2.63633,3.13108,16.3754,10.7975,39.1545,3.37039,12.5007,6.73315,7.99671,41.8226,27.5765
sarp-15-10-A-2.txt ,2.50798,2.39441,1.19916,2.94688,13.3439,7.9953,30.3877,8.25328,7.87955,3.9462,9.69761,43.9123,26.311
sarp-15-10-A-3.txt ,2.1358,3.07599,1.77665,1.97871,27.8069,23.8054,60.5794,3.52563,5.07762,2.93276,3.2663,45.9016,39.2961
sarp-15-10-B-1.txt ,1.39781,4.67661,2.62904,3.03166,4.88292,9.87351,26.4915,5.27643,17.6532,9.92408,11.4439,18.432,37.2704
sarp-15-10-B-2.txt ,1.28966,6.44574,2.72435,2.89525,11.0701,8.49628,32.9214,3.91738,19.5792,8.27532,8.79442,33.6259,25.8078
sarp-15-10-B-3.txt ,1.23594,5.65279,3.2431,1.32771,23.6904,5.59049,40.7405,3.0337,13.8751,7.96038,3.25895,58.1496,13.7222
sarp-15-10-C-1.txt ,2.83213,4.21345,6.06079,1.42679,20.3116,13.3592,48.204,5.87531,8.74088,12.5732,2.9599,42.1368,27.7138
sarp-15-10-C-2.txt ,2.15565,5.5585,6.0298,3.15773,14.067,7.70298,38.6716,5.57424,14.3736,15.5923,8.16549,36.3755,19.9189
sarp-15-10-C-3.txt ,1.49481,5.70183,7.66309,1.91469,6.42005,10.0083,33.2028,4.50206,17.1727,23.0796,5.76666,19.3359,30.143
sarp-15-10-C-4.txt ,2.80683,4.98097,5.44927,1.77082,9.73159,10.9984,35.7379,7.85394,13.9375,15.2479,4.95502,27.2304,30.7752
