
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat,LB,UB,GAP
sarp-20-10-A-1.txt ,20,10,10,99.7714,97.254,152.693,7,7197.82,44.3322,Feasible,44.3322,126.768,65.0289
sarp-20-10-A-2.txt ,20,10,10,99.7714,97.254,160.386,7,7198.44,36.6393,Feasible,36.6393,126.707,71.0834
sarp-20-10-A-3.txt ,20,10,9,99.7714,91.599,129.036,7,7197.77,62.3341,Feasible,62.3341,126.766,50.8274
sarp-20-10-A-4.txt ,20,10,10,99.7714,97.254,155.701,7,7133.5,41.3246,Feasible,41.3246,126.696,67.3829
sarp-20-10-B-1.txt ,20,10,10,123.949,139.651,117.248,9,7198.36,146.352,Feasible,146.352,196.5,25.5206
sarp-20-10-B-2.txt ,20,10,10,123.949,139.651,123.295,9,7198.5,140.305,Feasible,140.305,196.511,28.602
sarp-20-10-B-3.txt ,20,10,10,123.949,139.651,139.249,9,7198.26,124.352,Feasible,124.352,196.495,36.7149
sarp-20-10-B-4.txt ,20,10,10,123.949,139.651,136.69,9,7198.54,126.91,Feasible,126.91,196.495,35.4131
sarp-20-10-C-1.txt ,20,10,10,215.141,160.963,134.968,8,7198.5,241.136,Feasible,241.136,314.36,23.293
sarp-20-10-C-2.txt ,20,10,10,215.141,160.963,128.815,8,7198.36,247.289,Feasible,247.289,314.356,21.3347
sarp-20-10-C-3.txt ,20,10,10,215.141,160.963,181.485,6,7198.25,194.619,Feasible,194.619,309.8,37.1791
sarp-20-10-C-4.txt ,20,10,10,215.141,160.963,166.062,6,7197.48,210.042,Feasible,210.042,309.807,32.2023
