
Instance,c(h),p(h),b(h),e(h),waitc(h),waitp(h),Total,c(%),p(%),b(%),e(%),waitc(%),waitp(%)
sarp-15-15-A-1.txt ,1.57812,4.29967,1.84856,2.57146,18.6467,12.9067,41.8513,3.77078,10.2737,4.41698,6.14428,44.5548,30.8395
sarp-15-15-A-2.txt ,1.89308,2.92175,1.52652,2.53849,17.4659,1.41517,27.7609,6.81924,10.5247,5.49881,9.1441,62.9154,5.0977
sarp-15-15-B-1.txt ,1.37966,4.37712,2.38511,2.61184,11.3197,21.984,44.0575,3.13149,9.93503,5.41363,5.92826,25.6931,49.8985
sarp-15-15-B-2.txt ,2.32327,3.0449,1.62615,3.15486,15.9088,13.459,39.517,5.87916,7.7053,4.11507,7.98355,40.258,34.0589
sarp-15-15-B-3.txt ,0.623673,6.1554,3.40945,2.89545,5.56763,15.2486,33.9002,1.83973,18.1574,10.0573,8.5411,16.4236,44.9808
sarp-15-15-B-4.txt ,1.73602,3.61998,2.34541,2.6897,19.8058,7.70796,37.9049,4.57994,9.55016,6.18761,7.09592,52.2513,20.335
sarp-15-15-C-3.txt ,2.2529,8.34513,5.36154,3.01882,2.96777,16.7596,38.7057,5.82057,21.5604,13.852,7.7994,7.66751,43.3
sarp-15-15-C-4.txt ,1.77595,6.74402,7.05825,3.4225,8.5354,11.014,38.5501,4.60686,17.4941,18.3093,8.87805,22.141,28.5707

Instance,c(h),p(h),b(h),e(h),waitc(h),waitp(h),Total,c(%),p(%),b(%),e(%),waitc(%),waitp(%)
sarp-15-15-A-1.txt ,0.444468,5.00253,2.98221,2.21508,18.1487,12.6541,41.4471,1.07238,12.0697,7.19522,5.34436,43.7877,30.5306
sarp-15-15-A-2.txt ,2.11625,2.48181,1.30335,2.36943,11.5909,7.74626,27.608,7.66535,8.98948,4.72093,8.58242,41.9838,28.0581
sarp-15-15-B-1.txt ,0.937262,5.42737,2.8275,2.77447,7.64069,15.9927,35.6,2.63276,15.2454,7.94241,7.79346,21.4626,44.9234
sarp-15-15-B-2.txt ,2.23208,2.90351,1.71734,3.24968,14.3371,13.3407,37.7804,5.90803,7.68523,4.54558,8.6015,37.9485,35.3111
sarp-15-15-B-3.txt ,0.819979,4.93057,3.21314,2.54549,7.75539,15.9068,35.1714,2.33138,14.0187,9.13567,7.23737,22.0503,45.2266
sarp-15-15-B-4.txt ,1.76684,3.62678,2.31458,2.1101,4.21017,27.4173,41.4457,4.26303,8.75066,5.5846,5.09124,10.1583,66.1522
sarp-15-15-C-3.txt ,2.37361,5.65696,5.24082,1.95564,8.28555,23.5888,47.1014,5.03937,12.0102,11.1267,4.15198,17.5909,50.0809
sarp-15-15-C-4.txt ,0,9.03212,8.8342,3.65791,10.948,23.9141,56.3864,0,16.0183,15.6672,6.48723,19.4161,42.4112
