
Instance,c(h),p(h),b(h),e(h),waitc(h),waitp(h),Total,c(%),p(%),b(%),e(%),waitc(%),waitp(%)
sarp-7-5-A-1.txt ,0.934926,3.09301,1.03362,1.24514,10.3504,3.37829,20.0354,4.66637,15.4377,5.15899,6.21472,51.6606,16.8616
sarp-7-5-A-2.txt ,1.06962,2.30235,0.792625,1.66361,4.42175,6.83114,17.0811,6.262,13.4789,4.64036,9.73948,25.8868,39.9924
sarp-7-5-A-3.txt ,0.9654,2.20854,0.920471,1.55627,1.68051,2.90331,10.2345,9.4328,21.5794,8.9938,15.2062,16.42,28.3679
sarp-7-5-A-4.txt ,1.36555,1.04832,0.635281,1.64985,3.94778,12.8696,21.5163,6.34656,4.8722,2.95255,7.66789,18.3479,59.8129
sarp-7-5-B-1.txt ,0.978297,1.61627,1.00512,2.25385,7.78937,7.84268,21.4856,4.55327,7.52259,4.6781,10.49,36.2539,36.5021
sarp-7-5-B-2.txt ,0.872663,3.55237,1.22151,0.91615,9.41465,6.05539,22.0327,3.96076,16.1231,5.54409,4.15813,42.7303,27.4836
sarp-7-5-B-3.txt ,1.73367,1.16704,0.64815,1.51871,28.9909,-4.69069e-15,34.0584,5.09029,3.42657,1.90305,4.45914,85.121,-1.37725e-14
sarp-7-5-B-4.txt ,1.08628,3.6245,1.53184,1.14646,13.5183,2.63591,23.5433,4.61396,15.395,6.50649,4.86957,57.419,11.196
sarp-7-5-C-1.txt ,1.69554,2.62571,0.950145,1.24078,15.6437,1.29717,23.453,7.22953,11.1956,4.05127,5.29049,66.7022,5.53093
sarp-7-5-C-2.txt ,2.1749,2.59355,1.49338,1.89833,8.08673,6.76281,23.0097,9.45209,11.2716,6.49021,8.25014,35.1449,29.3911
sarp-7-5-C-3.txt ,1.51231,3.45528,2.07818,1.08307,6.26041,3.79086,18.1801,8.3185,19.0058,11.4311,5.95746,34.4355,20.8517
sarp-7-5-C-4.txt ,1.99544,4.15576,1.19552,1.45299,8.84473,3.28589,20.9303,9.53372,19.8552,5.71192,6.94203,42.258,15.6992
sarp-7-6-A-1.txt ,1.19308,2.69751,0.738721,1.36532,6.1583,5.89286,18.0458,6.61142,14.9481,4.09359,7.56585,34.126,32.655
