Instance,Root Objective,Best Bound,Best Integer,Root Gap (%),Root Time (s),Total Gap (%),Total Time (s)
sarp-20-10-A-7,47.7732,25.7100,25.7070,85.8373,0.64,0.0117,252.71
sarp-20-10-A-8,37.6757,10.6480,10.5500,257.1156,0.71,0.9289,2185.37
sarp-20-10-B-7,132.1183,106.2060,106.1440,24.4708,0.53,0.0584,1070.35
sarp-20-10-B-8,133.2408,110.9990,110.9200,20.1233,0.77,0.0712,147.04
sarp-20-10-C-7,485.2547,452.2912,435.0490,11.5402,1.02,3.9633,7200.00
sarp-20-10-C-8,412.0336,385.4060,385.3750,6.9176,1.08,0.0080,1514.81
sarp-30-15-A-7,96.3682,70.4800,65.6590,46.7707,1.51,7.3425,7200.00
sarp-30-15-A-8,89.0881,77.2959,66.5990,33.7679,1.80,16.0617,7200.00
sarp-30-15-B-7,135.5177,113.1440,113.1410,19.7777,1.98,0.0027,3814.50
sarp-30-15-B-8,174.0988,141.5432,125.8000,38.3933,3.34,12.5145,7200.00
sarp-30-15-C-7,697.1919,681.3708,582.7910,19.6298,4.79,16.9151,7200.00
sarp-30-15-C-8,676.2614,661.1214,583.2030,15.9564,3.45,13.3604,7200.00
sarp-40-20-A-7,97.1693,85.5197,64.6400,50.3238,6.60,32.3015,7200.00
sarp-40-20-A-8,116.5097,104.0184,87.5280,33.1113,7.57,18.8401,7200.00
sarp-40-20-B-7,176.5182,167.7345,134.0520,31.6789,10.72,25.1264,7200.01
sarp-40-20-B-8,215.2277,201.8407,151.9940,41.6028,9.88,32.7952,7200.00
sarp-40-20-C-7,867.1399,857.6090,784.0970,10.5909,16.89,9.3754,7200.00
sarp-40-20-C-8,943.1663,922.2111,790.4460,19.3208,11.44,16.6697,7200.00
