
Instance,c(km),p(km),b(km),e(km),Total,c(%),p(%),b(%),e(%)
sarp-20-10-A-4.txt ,39.2315,73.5638,18.4874,130.701,261.984,14.9748,28.0795,7.05668,49.889
sarp-20-10-B-1.txt ,42.4452,103.033,39.8702,109.729,295.077,14.3845,34.9172,13.5118,37.1865
sarp-20-10-B-2.txt ,45.6187,89.2369,49.4942,105.34,289.69,15.7474,30.8043,17.0852,36.3631
sarp-20-10-B-3.txt ,67.0112,119.187,42.0119,157.811,386.02,17.3595,30.8758,10.8833,40.8814
sarp-20-10-B-4.txt ,47.8791,93.5051,26.1472,155.778,323.309,14.8091,28.9212,8.08736,48.1823
sarp-20-10-C-1.txt ,216.615,127.713,119.195,124.858,588.381,36.8153,21.7058,20.2582,21.2207
sarp-20-10-C-2.txt ,185.78,224.97,127.999,178.324,717.074,25.9081,31.3734,17.8502,24.8683
sarp-20-10-C-3.txt ,172.658,157.584,149.011,160.158,639.411,27.0027,24.6451,23.3044,25.0478
sarp-20-10-C-4.txt ,233.739,131.957,142.714,168.076,676.486,34.5519,19.5062,21.0963,24.8455

Instance,c(km),p(km),b(km),e(km),Total,c(%),p(%),b(%),e(%)
sarp-20-10-A-4.txt ,33.9608,62.1731,23.7581,104.522,224.414,15.1331,27.7046,10.5867,46.5756
sarp-20-10-B-1.txt ,46.1271,108.133,36.1884,176.517,366.966,12.5699,29.4668,9.86153,48.1018
sarp-20-10-B-2.txt ,45.6187,89.2369,49.4942,105.34,289.69,15.7474,30.8043,17.0852,36.3631
sarp-20-10-B-3.txt ,61.1177,170.718,47.9054,131.362,411.103,14.8668,41.5268,11.6529,31.9535
sarp-20-10-B-4.txt ,32.7795,119.926,41.2468,157.382,351.334,9.33001,34.1344,11.7401,44.7955
sarp-20-10-C-1.txt ,188.371,129.996,147.439,110.073,575.879,32.7102,22.5735,25.6024,19.114
sarp-20-10-C-2.txt ,146.557,177.534,167.222,111.077,602.39,24.3292,29.4716,27.7598,18.4394
