
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat,LB,UB,GAP
sarp-15-10-A-1.txt ,15,10,10,82.6266,92.2135,142.303,5,7185.79,32.5368,Feasible,32.5368,97.5636,66.6507
sarp-15-10-A-2.txt ,15,10,9,76.8108,75.7685,87.8947,5,7195.62,64.6846,Feasible,64.6846,92.0631,29.7388
sarp-15-10-A-3.txt ,15,10,10,81.6091,89.5301,85.3356,13,6393.27,85.8036,Optimal,85.8036,85.812,0.00978884
sarp-15-10-A-4.txt ,15,10,10,74.3745,74.0036,126.447,6,7194.01,21.9308,Feasible,21.9308,72.8521,69.8968
sarp-15-10-B-1.txt ,15,10,10,82.3116,94.1704,119.014,5,7195.64,57.4681,Feasible,57.4681,112.099,48.7345
sarp-15-10-B-2.txt ,15,10,9,81.9686,67.2336,89.4384,6,7192.51,59.7638,Feasible,59.7638,88.7864,32.6881
sarp-15-10-B-4.txt ,15,10,10,89.5019,68.4984,125.138,6,7195,32.8628,Feasible,32.8628,82.0142,59.9304
sarp-15-10-C-1.txt ,15,10,9,198.003,100.301,132.774,6,7196.43,165.529,Feasible,165.529,243.449,32.0067
sarp-15-10-C-2.txt ,15,10,10,181.469,158.079,145.628,5,7195.81,193.92,Feasible,193.92,269.77,28.1165
sarp-15-10-C-3.txt ,15,10,10,204.195,128.051,119.683,6,7197.16,212.564,Feasible,212.564,260.583,18.4275
sarp-15-10-C-4.txt ,15,10,10,183.12,167.649,119.13,7,7196.35,231.639,Feasible,231.639,279.037,16.9863

Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat,LB,UB,GAP
sarp-15-10-A-1.txt ,15,10,10,82.6266,92.2135,107.121,7,7196.55,67.7193,Feasible,67.7193,100.409,32.5565
sarp-15-10-A-2.txt ,15,10,9,76.8108,75.7685,96.7123,5,7195.07,55.8671,Feasible,55.8671,92.56,39.6423
sarp-15-10-A-3.txt ,15,10,10,81.6091,89.5301,85.3356,13,7196.88,85.8036,Optimal,85.8036,85.8119,0.00967232
sarp-15-10-A-4.txt ,15,10,10,74.3745,74.0036,107.382,6,7196.56,40.9966,Feasible,40.9966,71.9006,42.9816
