
Instance,c(h),p(h),b(h),e(h),waitc(h),waitp(h),Total,c(%),p(%),b(%),e(%),waitc(%),waitp(%)
sarp-10-10-A-1.txt ,1.32588,4.5544,1.12675,1.87464,7.41958,9.54466,25.8459,5.12995,17.6214,4.35948,7.25314,28.707,36.9291
sarp-10-10-A-3.txt ,1.33097,4.31121,1.32499,2.37691,6.42887,9.47609,25.249,5.27136,17.0747,5.24767,9.41388,25.4618,37.5305
sarp-10-10-B-1.txt ,0.545487,5.00317,2.41371,1.40372,6.08243,9.79904,25.2476,2.16055,19.8164,9.56018,5.55983,24.0912,38.8118
sarp-10-10-B-2.txt ,1.06024,4.9333,1.75559,1.45608,10.7897,12.0051,32,3.31326,15.4166,5.48623,4.55024,33.7179,37.5158
sarp-10-10-B-3.txt ,0.89095,4.79829,1.7369,1.52126,5.99955,10.9104,25.8573,3.44564,18.5568,6.71724,5.8833,23.2025,42.1946
sarp-10-10-B-4.txt ,0.958795,4.58274,1.80659,0.86331,10.7567,10.0034,28.9715,3.30944,15.8181,6.23573,2.97986,37.1285,34.5284

Instance,c(h),p(h),b(h),e(h),waitc(h),waitp(h),Total,c(%),p(%),b(%),e(%),waitc(%),waitp(%)
sarp-10-10-A-1.txt ,1.03948,3.89173,1.41315,2.01934,17.1251,1.50955,26.9984,3.85016,14.4147,5.23419,7.47949,63.4302,5.59126
sarp-10-10-A-3.txt ,1.79137,3.26952,0.864587,2.21848,6.49535,14.8506,29.4899,6.07451,11.0869,2.93181,7.52284,22.0257,50.3582
sarp-10-10-B-1.txt ,0.620494,4.73365,2.3387,1.2228,15.3057,0.206716,24.428,2.54009,19.3779,9.57385,5.00571,62.6562,0.846226
sarp-10-10-B-2.txt ,0.647202,6.06291,2.16863,1.05661,9.4384,8.95767,28.3314,2.28439,21.3999,7.65452,3.72947,33.3142,31.6174
sarp-10-10-B-3.txt ,0.981915,4.85047,1.64593,1.75137,4.45882,8.57801,22.2665,4.40983,21.7837,7.39197,7.86547,20.0248,38.5243
sarp-10-10-B-4.txt ,1.20023,4.1087,1.56515,1.67809,9.84829,16.6208,35.0213,3.42715,11.732,4.46913,4.79162,28.1209,47.4592
