Instance Name , n, m, prof Customer, prof Cust Part, costs, K, Sol Time, Sol Val, sol Stat, LB, UB, GAP, vrps, e(h), et(%), e(km), ed(%) 
sarp-10-10-A-1,10,10,57.326,46.194,63.158,2,0.01,-5.832,Optimal,-5.832,-5.832,6.09176E-14,63.158,1.11707,0.222727,45.8,0.444085
sarp-10-10-A-2,10,10,62.064,48.816,54.28,3,0.01,7.784,Optimal,7.784,7.784,-2.28206E-14,54.28,1.01707,0.223792,41.7,0.497416
sarp-10-10-B-1,10,10,71.643,54.117,52.67,3,0.01,18.973,Optimal,18.973,18.973,0,52.67,0.780488,0.175023,32,0.39834
sarp-10-10-B-2,10,10,71.025,53.775,50.462,3,0.01,20.563,Optimal,20.563,20.563,0,50.462,0.856098,0.197154,35.1,0.464695
sarp-10-10-C-1,10,10,143.331,93.789,80.086,3,0.01,63.245,Optimal,63.245,63.245,-1.12348E-14,80.086,1.07805,0.182318,44.2,0.315865
sarp-10-10-C-2,10,10,154.455,99.945,88.642,3,0,65.813,Optimal,65.813,65.813,0,88.642,1.12195,0.176223,46,0.29016
sarp-10-15-A-1,10,15,54.133,44.427,37.26,4,0.01,16.873,Optimal,16.873,16.873,0,37.26,0.77561,0.212946,31.8,0.679004
sarp-10-15-A-2,10,15,53.721,44.199,57.086,3,0.01,-3.365,Optimal,-3.365,-3.365,1.05578E-13,57.086,1.1561,0.246319,47.4,0.527057
sarp-10-15-B-1,10,15,69.171,52.749,51.014,3,0.01,18.157,Optimal,18.157,18.157,-1.95666E-14,51.014,1.00976,0.230984,41.4,0.539531
sarp-10-15-B-2,10,15,68.862,52.578,44.85,4,0.02,24.012,Optimal,24.012,24.012,-1.47956E-14,44.85,1.03902,0.256884,42.6,0.672632
sarp-10-15-C-1,10,15,147.966,96.354,84.64,3,0.02,63.326,Optimal,63.326,63.326,0,84.64,1.42195,0.231044,58.3,0.389099
sarp-10-15-C-2,10,15,202.041,126.279,124.016,3,0.01,78.025,Optimal,78.025,78.025,0,124.016,2.10488,0.255376,86.3,0.366558
sarp-10-20-A-1,10,20,51.558,43.002,52.394,2,0.01,-0.836,Optimal,-0.836,-0.836,0,52.394,0.682927,0.153649,28,0.351171
sarp-10-20-A-2,10,20,56.811,45.909,46.092,3,0.01,10.719,Optimal,10.719,10.719,0,46.092,0.797561,0.194027,32.7,0.495204
sarp-10-20-B-1,10,20,68.759,52.521,59.57,2,0.01,9.189,Optimal,9.189,9.189,0,59.57,0.753659,0.156192,30.9,0.324126
sarp-10-20-B-2,10,20,68.965,52.635,53.406,3,0.01,15.559,Optimal,15.559,15.559,0,53.406,0.697561,0.15507,28.6,0.349064
sarp-10-20-C-1,10,20,175.055,111.345,100.418,4,0.02,74.637,Optimal,74.637,74.637,0,100.418,1.95122,0.279102,80,0.434468
sarp-10-20-C-2,10,20,187.724,118.356,104.788,4,0.02,82.936,Optimal,82.936,82.936,0,104.788,1.9,0.263057,77.9,0.402307
sarp-10-30-A-1,10,30,49.704,41.976,57.684,2,0.01,-7.98,Optimal,-7.98,-7.98,0,57.684,1.04878,0.221955,43,0.471319
