
Instance,c(km),p(km),b(km),e(km),Total,c(%),p(%),b(%),e(%)
 sarp-10-5-A-1,-20.5,74.0059,-13.6667,81.3076,121.147,-16.9216,61.0878,-11.2811,67.1149
 sarp-10-5-A-2,-20.5,77.912,-13.6667,64.0637,107.809,-19.0151,72.2685,-12.6767,59.4233
 sarp-10-5-B-1,-20.5,54.0344,-13.6667,85.6779,105.546,-19.4229,51.1953,-12.9486,81.1762
 sarp-10-5-B-2,-27.3333,45.7469,-6.83333,82.4221,94.0024,-29.0773,48.6657,-7.26932,87.6809
 sarp-10-5-C-1,-17.0833,197.64,-17.0833,93.7845,257.258,-6.64056,76.8256,-6.64056,36.4555
 sarp-10-5-C-2,-23.9167,97.6768,-10.25,93.6036,157.114,-15.2225,62.1695,-6.52393,59.577
 sarp-5-10-A-1,-10.25,32.0901,-6.83333,27.273,42.2797,-24.2433,75.8994,-16.1622,64.5061
 sarp-5-10-A-2,-6.83333,39.9472,-10.25,17.8752,40.739,-16.7734,98.0563,-25.1602,43.8773
 sarp-5-10-B-1,-10.25,41.9414,-6.83333,49.6603,74.5184,-13.755,56.2833,-9.16999,66.6417
 sarp-5-10-B-2,-6.83333,40.22,-10.25,21.554,44.6907,-15.2903,89.9964,-22.9354,48.2293
 sarp-5-10-C-1,-10.25,58.3534,-6.83333,47.7616,89.0316,-11.5128,65.5423,-7.67518,53.6456
 sarp-5-10-C-2,-10.25,33.9327,-6.83333,38.0784,54.9278,-18.6609,61.7769,-12.4406,69.3246
 sarp-5-5-A-1,-10.25,27.7082,-6.83333,46.9378,57.5627,-17.8067,48.1357,-11.8711,81.5421
 sarp-5-5-A-2,-10.25,29.5633,-6.83333,48.2646,60.7446,-16.8739,48.6683,-11.2493,79.455
 sarp-5-5-B-1,-10.25,21.8624,-6.83333,42.229,47.0081,-21.8048,46.5077,-14.5365,89.8336
 sarp-5-5-B-2,-6.83333,65.8995,-10.25,24.9679,73.784,-9.26126,89.314,-13.8919,33.8391
 sarp-5-5-C-1,-6.83333,89.5992,-10.25,41.3968,113.913,-5.99875,78.6561,-8.99813,36.3408
 sarp-5-5-C-2,-10.25,28.453,-6.83333,81.024,92.3937,-11.0938,30.7954,-7.39589,87.6943
 sarp-5-6-A-1,-6.83333,48.9393,-10.25,28.7645,60.6205,-11.2723,80.7306,-16.9085,47.4502
 sarp-5-6-A-2,-6.83333,58.8897,-10.25,38.964,80.7704,-8.4602,72.91,-12.6903,48.2405
 sarp-5-6-B-1,-10.25,40.4333,-6.83333,44.1813,67.5312,-15.1782,59.8735,-10.1188,65.4235
 sarp-5-6-B-2,-10.25,36.0331,-6.83333,55.3097,74.2595,-13.803,48.5232,-9.20197,74.4817
 sarp-5-6-C-1,-6.83333,38.5074,-10.25,50.3271,71.7513,-9.52364,53.668,-14.2855,70.1411
 sarp-5-6-C-2,-10.25,47.4607,-6.83333,79.3655,109.743,-9.34001,43.2472,-6.22668,72.3195
 sarp-5-7-A-1,-6.83333,53.0273,-10.25,14.8917,50.8357,-13.442,104.311,-20.163,29.2937
 sarp-5-7-A-2,-6.83333,35.16,-10.25,29.443,47.5197,-14.38,73.9904,-21.57,61.9596
 sarp-5-7-B-1,-6.83333,65.1484,-10.25,55.2524,103.317,-6.61392,63.0565,-9.92088,53.4783
 sarp-5-7-B-2,-6.83333,42.6099,-10.25,33.5377,59.0643,-11.5693,72.1416,-17.354,56.7817
 sarp-5-7-C-1,-10.25,44.5067,-6.83333,68.9018,96.3252,-10.641,46.2046,-7.09402,71.5304
 sarp-5-7-C-2,-10.25,44.9759,-6.83333,74.0932,101.986,-10.0504,44.1002,-6.70028,72.6505
 sarp-5-8-A-1,-10.25,27.5473,-6.83333,42.4137,52.8777,-19.3844,52.0963,-12.9229,80.211
 sarp-5-8-A-2,-13.6667,9.84743,-3.41667,25.1052,17.8693,-76.4812,55.1081,-19.1203,140.493
 sarp-5-8-B-1,-6.83333,44.6728,-10.25,38.827,66.4165,-10.2886,67.2616,-15.4329,58.46
 sarp-5-8-B-2,-10.25,33.7846,-6.83333,44.827,61.5283,-16.659,54.9091,-11.106,72.856
 sarp-5-8-C-1,-6.83333,102.921,-10.25,64.2497,150.087,-4.5529,68.5741,-6.82936,42.8082
 sarp-5-8-C-2,-6.83333,75.4168,-10.25,64.0723,122.406,-5.58253,61.6122,-8.37379,52.3442
 sarp-5-9-A-1,-10.25,24.9447,-6.83333,42.035,49.8963,-20.5426,49.993,-13.6951,84.2447
 sarp-5-9-A-2,-6.83333,33.1009,-10.25,22.7548,38.7724,-17.6242,85.3723,-26.4363,58.6883
 sarp-5-9-B-1,-13.6667,10.8037,-3.41667,51.7999,45.5203,-30.0233,23.7338,-7.50581,113.795
 sarp-5-9-B-2,-6.83333,65.9601,-10.25,49.1088,97.9856,-6.97381,67.3161,-10.4607,50.1184
 sarp-5-9-C-1,-6.83333,73.5765,-10.25,27.3599,83.853,-8.14918,87.7446,-12.2238,32.6284
 sarp-5-9-C-2,-10.25,44.9569,-6.83333,105.337,133.211,-7.69457,33.7487,-5.12971,79.0756
 sarp-6-5-A-1,-10.25,43.9791,-10.25,47.5376,71.0166,-14.4332,61.9279,-14.4332,66.9386
 sarp-6-5-A-2,-10.25,48.3607,-10.25,39.8529,67.7136,-15.1373,71.4195,-15.1373,58.8551
 sarp-6-5-B-1,-10.25,37.6053,-10.25,48.1814,65.2867,-15.7,57.6002,-15.7,73.7997
 sarp-6-5-B-2,-10.25,81.4116,-10.25,49.7066,110.618,-9.2661,73.5969,-9.2661,44.9353
 sarp-6-5-C-1,-13.6667,69.7183,-6.83333,73.0062,122.225,-11.1816,57.0412,-5.5908,59.7312
 sarp-6-5-C-2,-13.6667,49.4369,-6.83333,100.931,129.867,-10.5236,38.0672,-5.26178,77.7182
 sarp-6-6-A-1,-6.83333,54.0799,-13.6667,35.0402,68.6201,-9.95821,78.8106,-19.9164,51.064
 sarp-6-6-A-2,-13.6667,34.9701,-6.83333,53.6687,68.1388,-20.0571,51.3219,-10.0285,78.7637
 sarp-6-6-B-1,-10.25,40.3681,-10.25,55.2278,75.0959,-13.6492,53.7554,-13.6492,73.543
 sarp-6-6-B-2,-13.6667,45.8813,-6.83333,45.7893,71.1706,-19.2027,64.4666,-9.60135,64.3374
 sarp-6-6-C-1,-10.25,55.4906,-10.25,48.2583,83.2489,-12.3125,66.6563,-12.3125,57.9687
 sarp-6-6-C-2,-13.6667,53.1085,-6.83333,78.6158,111.224,-12.2875,47.749,-6.14374,70.6822
 sarp-6-7-A-1,-6.83333,48.5372,-13.6667,23.8756,51.9129,-13.1631,93.4975,-26.3262,45.9918
 sarp-6-7-A-2,-6.83333,73.3738,-13.6667,37.1339,90.0077,-7.59194,81.5194,-15.1839,41.2564
 sarp-6-7-B-1,-10.25,45.0258,-10.25,46.1069,70.6327,-14.5117,63.7464,-14.5117,65.277
 sarp-6-7-B-2,-10.25,54.1895,-10.25,32.5015,66.191,-15.4855,81.8683,-15.4855,49.1026
 sarp-6-7-C-1,-10.25,88.3908,-10.25,56.929,124.82,-8.21184,70.8147,-8.21184,45.609
 sarp-6-7-C-2,-13.6667,50.3207,-6.83333,84.2412,114.062,-11.9818,44.117,-5.9909,73.8557
 sarp-6-8-A-1,-10.25,36.6726,-10.25,19.5511,35.7237,-28.6925,102.656,-28.6925,54.7287
