 1A
Instance,c(h),p(h),b(h),e(h),Total,c(%),p(%),b(%),e(%)
 ghsarp-10-5-0,1.27023,2.36682,0.898957,1.78133,6.31733,20.107,37.4654,14.23,28.1975
 ghsarp-10-5-1,1.65514,1.36318,0.719888,2.15114,5.88934,28.104,23.1465,12.2236,36.5259
 ghsarp-10-5-2,2.0513,0,0,3.19371,5.24502,39.1096,0,0,60.8904
 ghsarp-10-5-3,0.811831,1.86963,0.869956,1.82093,5.37235,15.1113,34.801,16.1932,33.8945
 ghsarp-10-5-4,1.20528,1.3656,0.382328,2.47901,5.43223,22.1877,25.1389,7.03814,45.6353
 ghsarp-10-5-5,1.07387,2.05698,0.961221,2.28701,6.37908,16.8342,32.2456,15.0683,35.8518
 ghsarp-10-5-6,1.14148,1.33449,0.894891,2.13168,5.50254,20.7445,24.2523,16.2632,38.7399
 ghsarp-10-5-7,1.04491,1.99122,1.10901,1.88516,6.0303,17.3277,33.0202,18.3906,31.2615
 ghsarp-10-5-8,0.549307,2.38511,1.63619,1.21675,5.78735,9.49151,41.2124,28.2718,21.0243
 ghsarp-10-5-9,1.96839,0,0,2.8639,4.83229,40.7341,0,0,59.2659
 ghsarp-5-10-0,0.617243,1.23525,0.724546,0.819007,3.39604,18.1754,36.3731,21.335,24.1165
 ghsarp-5-10-1,0.650288,0.786955,0.537311,1.06775,3.0423,21.3748,25.8671,17.6613,35.0968
 ghsarp-5-10-2,0.542421,1.24773,0.593975,1.85037,4.2345,12.8096,29.4658,14.0271,43.6976
 ghsarp-5-10-3,0.13155,1.50978,0.687261,1.3349,3.66349,3.59083,41.2116,18.7597,36.4379
 ghsarp-5-10-4,0.262767,1.32139,0.479858,1.01919,3.08321,8.52251,42.8576,15.5636,33.0562
 ghsarp-5-10-5,0.186439,1.19678,0.769891,0.947335,3.10044,6.01331,38.6002,24.8317,30.5549
 ghsarp-5-10-6,1.12179,0,0,1.5948,2.71659,41.2942,0,0,58.7058
 ghsarp-5-10-7,0.396947,1.1135,0.613956,1.14194,3.26635,12.1526,34.0902,18.7964,34.9608
 ghsarp-5-10-8,0.192542,1.39103,0.927007,0.70035,3.21093,5.99644,43.3218,28.8703,21.8114
 ghsarp-5-10-9,0.34357,1.06072,0.690176,1.61695,3.71142,9.25708,28.58,18.596,43.5669
 ghsarp-5-5-0,0.143618,1.59258,0.794251,1.23645,3.7669,3.81264,42.2782,21.085,32.8242
 ghsarp-5-5-1,0.337844,0.961402,0.522862,1.00077,2.82287,11.9681,34.0575,18.5223,35.452
 ghsarp-5-5-2,0.347262,1.10001,0.728577,1.02839,3.20424,10.8376,34.3298,22.7379,32.0947
 ghsarp-5-5-3,0.576079,0.671788,0.315251,1.66329,3.22641,17.8551,20.8215,9.77094,51.5524
 ghsarp-5-5-4,0.528839,1.18085,0.675862,1.35,3.73555,14.1569,31.6112,18.0927,36.1392
 ghsarp-5-5-5,0.535497,0.775482,0.304255,0.83922,2.45446,21.8174,31.5949,12.396,34.1917
 ghsarp-5-5-6,1.20831,0,0,1.49766,2.70596,44.6535,0,0,55.3465
 ghsarp-5-5-7,0.466186,0.60211,0.294638,1.13139,2.49432,18.6899,24.1392,11.8123,45.3585
 ghsarp-5-5-8,0.802409,0.925687,0.734526,1.57902,4.04164,19.8536,22.9038,18.174,39.0687
 ghsarp-5-5-9,0.329042,1.23374,0.753077,1.10134,3.4172,9.62899,36.1039,22.0378,32.2293
 ghsarp-5-6-0,0.239946,1.59972,0.870492,0.664426,3.37458,7.11039,47.4049,25.7955,19.6891
 ghsarp-5-6-1,0.548862,0.652318,0.359274,1.10476,2.66521,20.5936,24.4753,13.4801,41.451
 ghsarp-5-6-2,0.608712,0.695735,0.317215,1.52627,3.14793,19.3369,22.1013,10.0769,48.4849
 ghsarp-5-6-3,0.776908,0.708232,0.32853,1.10961,2.92328,26.5766,24.2273,11.2384,37.9576
 ghsarp-5-6-4,0.503053,1.05865,0.789739,1.35731,3.70875,13.5639,28.5446,21.2939,36.5975
 ghsarp-5-6-5,1.19396,0,0,2.006,3.19995,37.3117,0,0,62.6883
 ghsarp-5-6-6,0.316579,1.55263,0.758724,0.927373,3.5553,8.90442,43.6707,21.3406,26.0842
 ghsarp-5-6-7,0.421174,1.4254,0.682253,1.72817,4.257,9.89368,33.4837,16.0266,40.596
 ghsarp-5-6-8,1.00535,0,0,1.20625,2.2116,45.458,0,0,54.542
 ghsarp-5-6-9,0.501813,1.08293,0.524423,1.13271,3.24188,15.4791,33.4045,16.1765,34.9399
 ghsarp-5-7-0,0.472983,0.863379,0.416199,1.40674,3.1593,14.9711,27.3281,13.1738,44.527
 ghsarp-5-7-1,0.167261,1.77474,0.746437,0.66767,3.35611,4.98378,52.8809,22.2411,19.8942
 ghsarp-5-7-2,0,1.72527,0.984814,0.541013,3.2511,0,53.0673,30.2918,16.641
 ghsarp-5-7-3,0.353129,1.59525,0.655222,1.32324,3.92684,8.9927,40.6242,16.6857,33.6973
 ghsarp-5-7-4,0.538283,0.606701,0.275348,1.12157,2.5419,21.1764,23.868,10.8323,44.1233
 ghsarp-5-7-5,0.253971,1.29649,0.709523,0.553409,2.8134,9.0272,46.0829,25.2194,19.6705
 ghsarp-5-7-6,0,2.08445,0.933457,0.737575,3.75548,0,55.5042,24.8558,19.6399
 ghsarp-5-7-7,0.527449,1.00314,0.466142,0.950159,2.94689,17.8985,34.0407,15.8181,32.2428
 ghsarp-5-7-8,0.367646,1.57704,0.476214,1.25398,3.67488,10.0043,42.914,12.9586,34.1231
 ghsarp-5-7-9,0.249796,1.59799,0.72309,1.57804,4.14891,6.02076,38.5158,17.4284,38.035
 ghsarp-5-8-0,0.462393,1.15622,0.472677,0.810713,2.902,15.9336,39.8421,16.288,27.9363
 ghsarp-5-8-1,0.461471,1.07112,0.607912,1.1761,3.3166,13.914,32.2956,18.3294,35.461
 ghsarp-5-8-2,0.38766,1.57343,0.668271,1.34538,3.97474,9.75309,39.5856,16.8129,33.8483
 ghsarp-5-8-3,0.206656,1.42621,0.808618,0.832394,3.27388,6.31227,43.5634,24.6991,25.4253
 ghsarp-5-8-4,0.333981,1.02093,0.93601,1.15333,3.44425,9.69677,29.6416,27.176,33.4856
