 1A
Instance,c(km),p(km),b(km),e(km),Total,c(%),p(%),b(%),e(%)
 sarp-10-5-A-1,38.601,29.6187,0,65.1386,133.358,28.9453,22.2099,0,48.8448
 sarp-10-5-A-2,31.6852,0,0,94.8549,126.54,25.0396,0,0,74.9604
 sarp-10-5-B-1,28.0901,32.6673,8.12048,59.1397,128.018,21.9424,25.5178,6.34325,46.1965
 sarp-10-5-B-2,46.1158,63.7747,10.9761,20.0457,140.912,32.7266,45.2585,7.78933,14.2256
 sarp-10-5-C-1,148.267,46.7194,21.0494,46.8633,262.899,56.3969,17.7709,8.00666,17.8256
 sarp-10-5-C-2,75.0559,43.2377,39.3456,23.2675,180.907,41.4887,23.9006,21.7491,12.8616
 sarp-5-10-A-1,15.3265,26.9805,0.873555,16.4452,59.6258,25.7045,45.2498,1.46506,27.5806
 sarp-5-10-A-2,12.5603,27.5078,0,18.7154,58.7835,21.367,46.7951,0,31.8379
 sarp-5-10-B-1,19.8035,40.125,0,32.0273,91.9558,21.5359,43.6352,0,34.829
 sarp-5-10-B-2,11.4221,38.7666,5.73747,17.8218,73.7479,15.4881,52.5663,7.77984,24.1658
 sarp-5-10-C-1,39.2187,36.2208,19.4787,17.2694,112.188,34.9582,32.2859,17.3626,15.3933
 sarp-5-10-C-2,26.8307,55.2476,9.63405,15.7263,107.439,24.973,51.4225,8.96703,14.6374
 sarp-5-5-A-1,18.8395,46.3384,3.46942,21.3117,89.959,20.9424,51.5105,3.85666,23.6905
 sarp-5-5-A-2,19.6371,40.7213,0,13.5192,73.8776,26.5806,55.12,0,18.2995
 sarp-5-5-B-1,36.0476,37.411,0,6.54633,80.0049,45.0568,46.7608,0,8.18241
 sarp-5-5-B-2,41.6884,21.7541,0,28.8123,92.2549,45.1883,23.5805,0,31.2312
 sarp-5-5-C-1,23.5536,70.5324,50.2944,3.61329,147.994,15.9153,47.6591,33.9841,2.44152
 sarp-5-5-C-2,65.1374,46.3272,0,6.58338,118.048,55.1787,39.2444,0,5.57687
 sarp-5-6-A-1,11.3751,29.4007,0,39.7713,80.5471,14.1223,36.5013,0,49.3764
 sarp-5-6-A-2,19.6111,0,0,49.0847,68.6958,28.5477,0,0,71.4523
 sarp-5-6-B-1,17.0184,49.3692,0,16.0123,82.3999,20.6534,59.9141,0,19.4324
 sarp-5-6-B-2,30.36,37.0384,0,16.7901,84.1885,36.0619,43.9946,0,19.9435
 sarp-5-6-C-1,44.4208,21.3098,0,2.73035,68.4609,64.8849,31.1269,0,3.98819
 sarp-5-6-C-2,50.302,31.5173,25.943,18.1047,125.867,39.9644,25.0401,20.6114,14.384
 sarp-5-7-A-1,13.4518,29.0277,4.05292,33.8986,80.431,16.7246,36.0902,5.039,42.1462
 sarp-5-7-A-2,17.6948,24.61,0,16.3757,58.6804,30.1545,41.939,0,27.9065
 sarp-5-7-B-1,27.7477,46.7482,0,36.2197,110.716,25.0621,42.2237,0,32.7142
 sarp-5-7-B-2,15.1794,56.153,11.7956,13.6497,96.7778,15.6848,58.0227,12.1884,14.1041
 sarp-5-7-C-1,59.937,49.8102,0,17.3201,127.067,47.1695,39.1999,0,13.6307
 sarp-5-7-C-2,86.4482,96.1755,0,16.5398,199.164,43.4056,48.2897,0,8.30464
 sarp-5-8-A-1,15.5735,46.7361,2.3094,17.8321,82.4511,18.8882,56.6834,2.80094,21.6274
 sarp-5-8-A-2,17.8923,17.8093,0,4.86291,40.5645,44.1083,43.9036,0,11.9881
 sarp-5-8-B-1,6.9074,38.2616,16.4577,19.2921,80.9189,8.5362,47.284,20.3386,23.8413
 sarp-5-8-B-2,23.0326,37.5212,7.01102,15.6325,83.1974,27.6843,45.0991,8.42697,18.7897
 sarp-5-8-C-1,63.8439,52.1264,14.9843,41.7184,172.673,36.9739,30.1879,8.67785,24.1603
 sarp-5-8-C-2,65.001,70.7098,0,26.6746,162.385,40.0289,43.5444,0,16.4267
 sarp-5-9-A-1,17.6694,24.5237,0,15.9753,58.1684,30.3763,42.1598,0,27.4639
 sarp-5-9-A-2,13.4766,13.2997,0,24.5833,51.3596,26.2397,25.8953,0,47.865
 sarp-5-9-B-1,21.8684,38.2262,5.03292,10.0155,75.143,29.1023,50.8713,6.69779,13.3286
 sarp-5-9-B-2,24.7095,14.0311,4.88958,55.4769,99.107,24.9321,14.1575,4.93364,55.9767
 sarp-5-9-C-1,38.0113,72.756,2.0246,27.5326,140.324,27.0881,51.8484,1.4428,19.6206
 sarp-5-9-C-2,81.7392,91.6335,0,17.5264,190.899,42.818,48.001,0,9.18099
 sarp-6-5-A-1,25.8572,30.2174,0.977579,35.3685,92.4207,27.9777,32.6955,1.05775,38.269
 sarp-6-5-A-2,27.1103,32.9921,2.95966,37.9079,100.97,26.8499,32.6752,2.93122,37.5437
 sarp-6-5-B-1,31.5014,50.0228,3.03155,38.04,122.596,25.6953,40.8031,2.4728,31.0288
 sarp-6-5-B-2,40.6854,32.1547,0,61.9667,134.807,30.1805,23.8525,0,45.967
 sarp-6-5-C-1,60.6751,75.0357,12.5452,32.4589,180.715,33.575,41.5216,6.942,17.9614
 sarp-6-5-C-2,56.1417,33.776,19.5251,37.643,147.086,38.1694,22.9635,13.2747,25.5925
 sarp-6-6-A-1,19.2112,37.5349,2.05902,34.6159,93.4211,20.564,40.1782,2.20402,37.0537
 sarp-6-6-A-2,30.4531,33.0203,0,24.4946,87.968,34.6184,37.5367,0,27.8449
 sarp-6-6-B-1,24.4213,55.5523,9.93457,25.9018,115.81,21.0874,47.9685,8.57834,22.3658
 sarp-6-6-B-2,32.758,64.824,7.81956,15.0519,120.453,27.1955,53.8166,6.49177,12.4961
 sarp-6-6-C-1,48.2799,58.1647,0,28.0993,134.544,35.8841,43.231,0,20.8849
 sarp-6-6-C-2,61.6764,84.9097,26.9576,14.2608,187.805,32.8407,45.2117,14.3541,7.59344
 sarp-6-7-A-1,19.7325,29.7009,1.14771,42.6616,93.2428,21.1625,31.8533,1.23088,45.7533
 sarp-6-7-A-2,14.8626,75.5096,0,23.1365,113.509,13.0938,66.5232,0,20.383
 sarp-6-7-B-1,26.8905,20.7325,4.46974,35.3705,87.4633,30.7449,23.7042,5.11042,40.4404
 sarp-6-7-B-2,31.018,39.4286,0,37.9993,108.446,28.6023,36.3579,0,35.0399
 sarp-6-7-C-1,69.0488,78.4393,16.9196,14.2152,178.623,38.6562,43.9133,9.47224,7.95823
 sarp-6-7-C-2,66.9829,0,0,24.5929,91.5757,73.1448,0,0,26.8552
 sarp-6-8-A-1,8.49657,18.4448,7.95828,25.4217,60.3214,14.0855,30.5776,13.1931,42.1437
 sarp-6-8-A-2,22.745,65.6705,0,29.2022,117.618,19.338,55.8339,0,24.8281
 sarp-6-8-B-1,26.3741,60.8426,3.18088,30.6418,121.039,21.7896,50.2668,2.62797,25.3156
 sarp-6-8-B-2,18.8225,41.848,3.79149,42.1717,106.634,17.6516,39.2446,3.55562,39.5482
 sarp-6-8-C-1,62.7807,61.381,15.6648,41.6811,181.508,34.5885,33.8173,8.63039,22.9638
 sarp-6-8-C-2,61.3449,46.429,12.3336,38.782,158.89,38.6085,29.2209,7.76238,24.4082
 sarp-6-9-A-1,13.0525,33.6569,9.20099,29.5786,85.4889,15.2681,39.3698,10.7628,34.5993
 sarp-6-9-A-2,14.2221,65.4582,3.63728,24.2332,107.551,13.2236,60.8626,3.38192,22.5319
 sarp-6-9-B-1,27.9112,46.1008,4.29195,40.431,118.735,23.5071,38.8267,3.61473,34.0515
 sarp-6-9-B-2,18.6708,94.0287,12.7586,14.4277,139.886,13.3471,67.2182,9.12075,10.3139
 sarp-6-9-C-1,65.0365,52.1129,34.1829,36.0326,187.365,34.7112,27.8136,18.244,19.2312
 sarp-6-9-C-2,93.6006,62.846,0,15.5559,172.003,54.4181,36.5378,0,9.04401
