
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat,LB,UB,GAP
 sarp-30-20-A-1,30,20,12,128.365,49.4895,137.713,8,7192.23,40.1421,Feasible,40.1421,82.3977,51.2825
 sarp-30-20-A-2,30,20,13,122.552,65.3319,104.71,7,7195.09,83.1741,Feasible,83.1741,97.8478,14.9965
 sarp-30-20-B-1,30,20,16,145.062,94.3095,149.077,8,7195.18,90.2948,Feasible,90.2948,133.237,32.2299
 sarp-30-20-C-2,30,20,18,298.471,235.225,186.319,7,7195.28,347.376,Feasible,347.376,377.123,7.88788
 sarp-5-15-A-1,5,15,3,23.5759,20.7209,29.7983,3,1.74,14.4985,Optimal,14.4985,14.4985,0
 sarp-5-15-A-2,5,15,4,21.2997,36.7683,50.7653,2,1.08,7.30278,Optimal,7.30278,7.30278,0
 sarp-5-15-B-1,5,15,5,29.0956,45.0355,39.7256,3,0.97,34.4055,Optimal,34.4055,34.4055,0
 sarp-5-15-B-2,5,15,5,27.2837,60.4848,48.0982,3,2.01,39.6702,Optimal,39.6702,39.6702,0
 sarp-5-15-C-1,5,15,4,42.381,79.7478,51.4278,3,2.11,70.7009,Optimal,70.7009,70.7009,0
 sarp-5-15-C-2,5,15,4,41.4126,65.6575,45.9674,3,2.24,61.1027,Optimal,61.1027,61.1027,0
 sarp-5-20-A-1,5,20,4,22.7133,28.541,34.2542,4,3.31,17.0001,Optimal,17.0001,17.0001,0
 sarp-5-20-A-2,5,20,5,21.7171,33.3478,42.7362,2,2.76,12.3287,Optimal,12.3287,12.3287,0
 sarp-5-20-B-1,5,20,5,23.6833,51.9858,50.9725,3,4.14,24.6966,Optimal,24.6966,24.6966,0
 sarp-5-20-B-2,5,20,5,26.2809,50.321,45.7445,2,3.09,30.8573,Optimal,30.8573,30.8573,0
 sarp-5-20-C-1,5,20,5,60.0992,96.6328,59.7891,3,2.67,96.9429,Optimal,96.9429,96.9429,0
 sarp-5-20-C-2,5,20,5,48.6631,100.135,56.392,2,3.04,92.4065,Optimal,92.4065,92.4065,0
 sarp-5-30-A-1,5,30,5,20.0935,28.5559,35.8211,2,7.17,12.8283,Optimal,12.8283,12.8283,0
 sarp-5-30-A-2,5,30,5,20.7024,30.4098,48.9681,2,7.04,2.14413,Optimal,2.14413,2.14413,0
 sarp-5-30-B-1,5,30,3,22.0898,23.3308,36.9367,2,7.37,8.48391,Optimal,8.48391,8.48391,0
 sarp-5-30-B-2,5,30,5,22.9528,41.0707,40.4528,2,6,23.5707,Optimal,23.5707,23.5707,0
 sarp-5-30-C-1,5,30,5,54.3671,98.194,51.1828,2,7.16,101.378,Optimal,101.378,101.378,0
 sarp-5-30-C-2,5,30,5,43.5182,84.8714,49.785,3,11.24,78.6046,Optimal,78.6046,78.6046,0
