 1A
Instance,c(h),p(h),b(h),e(h),Total,c(%),p(%),b(%),e(%)
 sfsarp-10-30-2,0.886517,0.883694,0.36262,1.43897,3.5718,24.8199,24.7409,10.1523,40.2869
 sfsarp-10-30-3,1.15656,1.17635,0.691924,1.55544,4.58027,25.2509,25.683,15.1066,33.9595
 sfsarp-10-30-4,1.51125,1.67269,1.00557,1.63067,5.82018,25.9656,28.7395,17.2773,28.0175
 sfsarp-10-30-5,0.996886,1.58022,1.11086,1.53316,5.22114,19.0933,30.2659,21.2763,29.3645
 sfsarp-15-10-1,1.87795,1.88544,1.3603,2.33735,7.46104,25.1701,25.2705,18.2321,31.3274
 sfsarp-15-10-2,1.55503,1.53998,1.10487,2.71428,6.91415,22.4905,22.2728,15.9799,39.2568
 sfsarp-15-10-5,1.64576,1.87424,1.05284,1.49962,6.07246,27.102,30.8646,17.338,24.6954
 sfsarp-15-15-2,1.31009,1.21696,1.31685,1.50475,5.34864,24.4939,22.7527,24.6202,28.1332
 sfsarp-15-15-3,0.753503,1.82408,0.761116,1.57043,4.90913,15.349,37.1568,15.5041,31.99
 sfsarp-15-15-5,0.830202,1.73383,1.95218,1.34171,5.85793,14.1723,29.598,33.3255,22.9042
 sfsarp-15-20-1,1.4594,1.71925,1.35996,1.48675,6.02535,24.2209,28.5336,22.5705,24.6749
 sfsarp-15-20-2,1.17218,2.43985,1.60436,1.50711,6.7235,17.4341,36.2884,23.862,22.4156
 sfsarp-15-20-3,1.34867,1.51549,0.820197,1.95028,5.63464,23.9353,26.896,14.5563,34.6124
 sfsarp-15-20-5,1.13765,1.49049,0.754971,1.72422,5.10732,22.2749,29.1833,14.7821,33.7597
 sfsarp-15-30-1,0.651397,2.36538,1.35505,1.6234,5.99522,10.8653,39.4545,22.6021,27.0781
 sfsarp-15-30-2,2.25741,1.54011,0.88705,2.95839,7.64295,29.5358,20.1507,11.6061,38.7074
 sfsarp-15-30-3,1.58171,1.13067,1.12607,2.3735,6.21195,25.4624,18.2015,18.1275,38.2086
 sfsarp-15-30-5,2.78267,2.0589,1.71211,2.5254,9.07908,30.6493,22.6774,18.8577,27.8156
 sfsarp-20-10-1,0.757563,2.79422,1.5005,1.5418,6.59409,11.4885,42.3746,22.7553,23.3816
 sfsarp-20-10-3,1.68596,2.03144,1.28684,2.68716,7.6914,21.9201,26.4118,16.7309,34.9372
 sfsarp-20-10-5,2.03378,1.8426,1.00541,2.55274,7.43453,27.3558,24.7843,13.5236,34.3363
 sfsarp-20-15-1,2.0732,2.32968,2.82487,3.61684,10.8446,19.1174,21.4824,26.0486,33.3515
 sfsarp-20-15-2,1.16713,2.51395,1.33304,2.00218,7.0163,16.6346,35.8301,18.9991,28.5362
 sfsarp-20-15-3,1.59831,2.51104,1.58975,1.9352,7.6343,20.9359,32.8916,20.8237,25.3488
 sfsarp-20-15-5,1.6619,2.01103,1.10177,2.17708,6.95178,23.9061,28.9283,15.8488,31.3169
