 1A
Instance,c(h),p(h),b(h),e(h),Total,c(%),p(%),b(%),e(%)
 ghsarp-10-5-0,1.78212,1.35481,0.527116,2.84379,6.50783,27.3843,20.8181,8.09972,43.6979
 ghsarp-10-5-1,2.10308,0.491454,0.41035,1.87805,4.88294,43.07,10.0647,8.40376,38.4615
 ghsarp-10-5-3,1.20706,1.45906,0.474729,2.0353,5.17615,23.3196,28.1882,9.17148,39.3207
 ghsarp-10-5-4,1.30884,0.892511,0.409689,2.65424,5.26528,24.8579,16.9509,7.78096,50.4102
 ghsarp-10-5-5,1.7025,0.526095,0.44409,2.60479,5.27748,32.2598,9.96868,8.41482,49.3567
 ghsarp-10-5-6,1.47007,0.918417,0.840798,2.27212,5.50141,26.7218,16.6942,15.2833,41.3007
 ghsarp-10-5-7,1.84604,0.274932,0.279629,2.07293,4.47353,41.2658,6.14576,6.25076,46.3377
 ghsarp-10-5-8,1.0569,1.68519,1.39557,1.38844,5.5261,19.1255,30.4952,25.2542,25.1252
 ghsarp-10-5-9,1.52944,0.879333,0.543351,2.69982,5.65195,27.0604,15.5581,9.61352,47.768
 ghsarp-5-10-0,0.928801,0.577418,0.43428,1.01561,2.9561,31.4198,19.5331,14.691,34.3562
 ghsarp-5-10-1,1.09811,0.390875,0.302096,1.26654,3.05762,35.914,12.7836,9.8801,41.4223
 ghsarp-5-10-2,0.793826,0.544467,0.356118,1.46809,3.1625,25.1012,17.2163,11.2607,46.4218
 ghsarp-5-10-3,0.24659,0,0,0.605173,0.851763,28.9506,0,0,71.0494
 ghsarp-5-10-4,0.600169,0.612509,0.142456,1.57578,2.93091,20.4772,20.8982,4.86048,53.7641
 ghsarp-5-10-5,0.705961,0.321414,0.250369,1.23855,2.51629,28.0556,12.7733,9.94989,49.2212
 ghsarp-5-10-6,0.249104,0.673745,0.756413,0.48343,2.16269,11.5182,31.1531,34.9755,22.3532
 ghsarp-5-10-7,0.613308,0.152818,0.242382,0.99883,2.00734,30.5533,7.61295,12.0748,49.759
 ghsarp-5-10-8,0.760485,0.3307,0.219545,0.782883,2.09361,36.324,15.7957,10.4864,37.3939
 ghsarp-5-10-9,0.756983,0.327965,0.282533,1.30877,2.67625,28.2852,12.2546,10.557,48.9031
 ghsarp-5-5-0,0.484371,0.337888,0.162958,1.12782,2.11303,22.923,15.9907,7.71203,53.3743
 ghsarp-5-5-1,0.651289,0.157486,0.16276,0.931993,1.90353,34.2148,8.27338,8.55045,48.9614
 ghsarp-5-5-2,0.688618,0.482247,0.387221,1.33746,2.89554,23.782,16.6548,13.373,46.1902
 ghsarp-5-5-3,0.637193,0.13459,0.201878,1.12166,2.09532,30.4103,6.42336,9.63471,53.5316
 ghsarp-5-5-4,0.668841,1.14047,0.825341,1.26021,3.89486,17.1724,29.2815,21.1905,32.3556
 ghsarp-5-5-5,0.646659,0,0,0.993512,1.64017,39.4263,0,0,60.5737
 ghsarp-5-5-6,1.00696,0.139303,0.145963,1.16145,2.45367,41.0387,5.67734,5.94874,47.3352
 ghsarp-5-5-7,0.590087,0.318023,0.170736,1.26991,2.34875,25.1234,13.5401,7.26923,54.0673
 ghsarp-5-5-8,0.89731,0.444071,0.506144,1.65145,3.49897,25.6449,12.6915,14.4655,47.1981
 ghsarp-5-5-9,0.783463,0.204267,0.246836,1.06185,2.29641,34.1168,8.89503,10.7488,46.2394
