
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat,LB,UB,GAP
 sarp-30-20-A-1,30,20,0,128.365,0,85.1297,8,2.11,43.2356,Optimal,43.2356,43.2356,0
 sarp-30-20-A-2,30,20,0,122.552,0,81.0807,7,1.76,41.4714,Optimal,41.4714,41.4714,0
 sarp-30-20-B-1,30,20,0,145.062,0,85.5608,8,2.32,59.5012,Optimal,59.5012,59.5012,0
 sarp-30-20-C-2,30,20,0,298.471,0,108.447,7,0.92,190.024,Optimal,190.024,190.024,0
 sarp-5-15-A-1,5,15,0,23.5759,0,20.6653,3,0.01,2.91065,Optimal,2.91065,2.91065,0
 sarp-5-15-A-2,5,15,0,21.2997,0,37.2581,2,0,-15.9584,Optimal,-15.9584,-15.9584,-0
 sarp-5-15-B-1,5,15,0,29.0956,0,13.341,3,0,15.7546,Optimal,15.7546,15.7546,0
 sarp-5-15-B-2,5,15,0,27.2837,0,19.8843,3,0,7.39941,Optimal,7.39941,7.39941,0
 sarp-5-15-C-1,5,15,0,42.381,0,17.3785,3,0.02,25.0024,Optimal,25.0024,25.0024,0
 sarp-5-15-C-2,5,15,0,41.4126,0,24.2697,3,0.01,17.143,Optimal,17.143,17.143,0
 sarp-5-20-A-1,5,20,0,22.7133,0,22.2399,4,0.01,0.473354,Optimal,0.473354,0.473354,0
 sarp-5-20-A-2,5,20,0,21.7171,0,28.4553,2,0,-6.73823,Optimal,-6.73823,-6.73823,-0
 sarp-5-20-B-1,5,20,0,23.6833,0,31.3667,3,0,-7.68341,Optimal,-7.68341,-7.68341,-0
 sarp-5-20-B-2,5,20,0,26.2809,0,17.4834,2,0,8.79751,Optimal,8.79751,8.79751,0
 sarp-5-20-C-1,5,20,0,60.0992,0,26.349,3,0.01,33.7503,Optimal,33.7503,33.7503,0
 sarp-5-20-C-2,5,20,0,48.6631,0,18.9796,2,0,29.6835,Optimal,29.6835,29.6835,0
 sarp-5-30-A-1,5,30,0,20.0935,0,28.253,2,0,-8.15955,Optimal,-8.15955,-8.15955,-0
 sarp-5-30-A-2,5,30,0,20.7024,0,39.9507,2,0,-19.2483,Optimal,-19.2483,-19.2483,-0
 sarp-5-30-B-1,5,30,0,22.0898,0,26.7213,2,0,-4.63148,Optimal,-4.63148,-4.63148,-0
 sarp-5-30-B-2,5,30,0,22.9528,0,24.2909,2,0,-1.33817,Optimal,-1.33817,-1.33817,-0
 sarp-5-30-C-1,5,30,0,54.3671,0,21.4472,2,0,32.9199,Optimal,32.9199,32.9199,0
 sarp-5-30-C-2,5,30,0,43.5182,0,24.9897,3,0.01,18.5285,Optimal,18.5285,18.5285,0
