
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat,LB,UB,GAP
 sarp-10-5-A-1,10,5,0,54.4026,0,53.6877,3,0.07,0.714819,Optimal,0.714819,0.714819,0
 sarp-10-5-A-2,10,5,0,50.4606,0,50.7336,3,0.05,-0.273038,Optimal,-0.273038,-0.273038,-0
 sarp-10-5-B-1,10,5,0,53.04,0,47.6108,3,0.08,5.4292,Optimal,5.4292,5.4292,0
 sarp-10-5-B-2,10,5,0,64.9424,0,32.6955,5,0.05,32.2469,Optimal,32.2469,32.2469,0
 sarp-10-5-C-1,10,5,0,128.91,0,56.1697,4,0.05,72.7406,Optimal,72.7406,72.7406,0
 sarp-10-5-C-2,10,5,0,97.6089,0,35.3643,4,0.02,62.2445,Optimal,62.2445,62.2445,0
 sarp-5-10-A-1,5,10,0,25.4341,0,19.855,3,0,5.57909,Optimal,5.57909,5.57909,0
 sarp-5-10-A-2,5,10,0,23.3594,0,20.8205,2,0,2.53883,Optimal,2.53883,2.53883,0
 sarp-5-10-B-1,5,10,0,27.488,0,33.0272,3,0,-5.53923,Optimal,-5.53923,-5.53923,-0
 sarp-5-10-B-2,5,10,0,25.981,0,20.5227,2,0,5.45831,Optimal,5.45831,5.45831,0
 sarp-5-10-C-1,5,10,0,49.6575,0,21.8121,3,0,27.8455,Optimal,27.8455,27.8455,0
 sarp-5-10-C-2,5,10,0,36.9849,0,16.3513,3,0,20.6336,Optimal,20.6336,20.6336,0
 sarp-5-5-A-1,5,5,0,28.9161,0,24.075,3,0,4.84107,Optimal,4.84107,4.84107,0
 sarp-5-5-A-2,5,5,0,27.3932,0,26.7678,3,0,0.625398,Optimal,0.625398,0.625398,0
 sarp-5-5-B-1,5,5,0,36.7471,0,12.9001,3,0,23.847,Optimal,23.847,23.847,0
 sarp-5-5-B-2,5,5,0,39.9624,0,22.6223,2,0,17.3401,Optimal,17.3401,17.3401,0
 sarp-5-5-C-1,5,5,0,58.2933,0,26.2881,2,0,32.0053,Optimal,32.0053,32.0053,0
 sarp-5-5-C-2,5,5,0,53.3283,0,20.3962,3,0.01,32.9321,Optimal,32.9321,32.9321,0
 sarp-5-6-A-1,5,6,0,22.6838,0,30.5112,2,0,-7.8274,Optimal,-7.8274,-7.8274,-0
 sarp-5-6-A-2,5,6,0,27.3783,0,35.9916,2,0,-8.61331,Optimal,-8.61331,-8.61331,-0
 sarp-5-6-B-1,5,6,0,25.9005,0,31.0942,3,0,-5.19372,Optimal,-5.19372,-5.19372,-0
 sarp-5-6-B-2,5,6,0,33.5052,0,28.0521,3,0,5.45308,Optimal,5.45308,5.45308,0
 sarp-5-6-C-1,5,6,0,41.5199,0,20.4303,2,0,21.0895,Optimal,21.0895,21.0895,0
 sarp-5-6-C-2,5,6,0,59.6596,0,23.2674,3,0,36.3922,Optimal,36.3922,36.3922,0
 sarp-5-7-A-1,5,7,0,26.1777,0,23.1906,2,0,2.98707,Optimal,2.98707,2.98707,0
 sarp-5-7-A-2,5,7,0,26.286,0,21.5778,2,0.01,4.70827,Optimal,4.70827,4.70827,0
 sarp-5-7-B-1,5,7,0,32.0162,0,42.6204,2,0,-10.6042,Optimal,-10.6042,-10.6042,-0
 sarp-5-7-B-2,5,7,0,31.5758,0,22.6194,2,0,8.95641,Optimal,8.95641,8.95641,0
 sarp-5-7-C-1,5,7,0,50.3641,0,24.5969,3,0,25.7671,Optimal,25.7671,25.7671,0
 sarp-5-7-C-2,5,7,0,65.4755,0,15.0056,3,0,50.4699,Optimal,50.4699,50.4699,0
 sarp-5-8-A-1,5,8,0,26.3933,0,23.9559,3,0.01,2.43734,Optimal,2.43734,2.43734,0
 sarp-5-8-A-2,5,8,0,26.3986,0,7.84777,4,0,18.5508,Optimal,18.5508,18.5508,0
 sarp-5-8-B-1,5,8,0,29.5181,0,27.6619,2,0,1.85617,Optimal,1.85617,1.85617,0
 sarp-5-8-B-2,5,8,0,33.3249,0,22.3413,3,0,10.9836,Optimal,10.9836,10.9836,0
 sarp-5-8-C-1,5,8,0,61.1321,0,40.6375,2,0,20.4945,Optimal,20.4945,20.4945,0
 sarp-5-8-C-2,5,8,0,53.2506,0,34.2645,2,0,18.9861,Optimal,18.9861,18.9861,0
 sarp-5-9-A-1,5,9,0,26.2716,0,22.6827,3,0,3.58885,Optimal,3.58885,3.58885,0
 sarp-5-9-A-2,5,9,0,23.8817,0,19.4944,2,0,4.38727,Optimal,4.38727,4.38727,0
 sarp-5-9-B-1,5,9,0,31.5337,0,16.4231,4,0,15.1107,Optimal,15.1107,15.1107,0
 sarp-5-9-B-2,5,9,0,33.0715,0,39.3161,2,0,-6.2447,Optimal,-6.2447,-6.2447,-0
 sarp-5-9-C-1,5,9,0,39.0205,0,28.0142,2,0,11.0062,Optimal,11.0062,11.0062,0
 sarp-5-9-C-2,5,9,0,62.7914,0,31.5353,3,0,31.2561,Optimal,31.2561,31.2561,0
 sarp-6-5-A-1,6,5,0,34.7358,0,29.7537,3,0,4.98214,Optimal,4.98214,4.98214,0
 sarp-6-5-A-2,6,5,0,36.5799,0,26.7461,2,0,9.8338,Optimal,9.8338,9.8338,0
 sarp-6-5-B-1,6,5,0,39.1238,0,23.5767,2,0,15.547,Optimal,15.547,15.547,0
 sarp-6-5-B-2,6,5,0,42.6307,0,41.5991,2,0.01,1.03156,Optimal,1.03156,1.03156,0
 sarp-6-5-C-1,6,5,0,61.1756,0,31.9719,3,0,29.2037,Optimal,29.2037,29.2037,0
 sarp-6-5-C-2,6,5,0,62.5701,0,34.3623,3,0,28.2078,Optimal,28.2078,28.2078,0
 sarp-6-6-A-1,6,6,0,31.564,0,31.211,2,0.01,0.353029,Optimal,0.353029,0.353029,0
 sarp-6-6-A-2,6,6,0,36.7983,0,26.7654,4,0.01,10.0328,Optimal,10.0328,10.0328,0
