
Instance,c(h),p(h),b(h),e(h),Total,c(%),p(%),b(%),e(%)
 sarp-30-20-A-1,6.33356,0,0,4.51377,10.8473,58.3882,0,0,41.6118
 sarp-30-20-A-2,6.08481,0,0,4.29908,10.3839,58.5986,0,0,41.4014
 sarp-30-20-B-1,7.04801,0,0,4.53663,11.5846,60.8393,0,0,39.1607
 sarp-30-20-C-2,13.6123,0,0,5.75009,19.3624,70.3029,0,0,29.6971
 sarp-5-15-A-1,1.14895,0,0,1.09572,2.24467,51.1857,0,0,48.8143
 sarp-5-15-A-2,1.05155,0,0,1.97551,3.02706,34.7383,0,0,65.2617
 sarp-5-15-B-1,1.38513,0,0,0.707371,2.09251,66.195,0,0,33.805
 sarp-5-15-B-2,1.3076,0,0,1.05431,2.36191,55.3621,0,0,44.6379
 sarp-5-15-C-1,1.95361,0,0,0.921449,2.87506,67.9503,0,0,32.0497
 sarp-5-15-C-2,1.91218,0,0,1.28683,3.19901,59.7741,0,0,40.2259
 sarp-5-20-A-1,1.11204,0,0,1.17921,2.29125,48.5341,0,0,51.4659
 sarp-5-20-A-2,1.06941,0,0,1.50877,2.57818,41.4793,0,0,58.5207
 sarp-5-20-B-1,1.15354,0,0,1.66313,2.81667,40.954,0,0,59.046
 sarp-5-20-B-2,1.26469,0,0,0.927009,2.1917,57.7037,0,0,42.2963
 sarp-5-20-C-1,2.71178,0,0,1.39708,4.10886,65.9983,0,0,34.0017
 sarp-5-20-C-2,2.22242,0,0,1.00634,3.22877,68.832,0,0,31.168
 sarp-5-30-A-1,0.999934,0,0,1.49804,2.49797,40.0298,0,0,59.9702
 sarp-5-30-A-2,1.02599,0,0,2.11828,3.14427,32.6305,0,0,67.3695
 sarp-5-30-B-1,1.08536,0,0,1.41682,2.50218,43.3765,0,0,56.6235
 sarp-5-30-B-2,1.12228,0,0,1.28796,2.41024,46.5631,0,0,53.4369
 sarp-5-30-C-1,2.4665,0,0,1.13718,3.60368,68.444,0,0,31.556
 sarp-5-30-C-2,2.00228,0,0,1.32501,3.32729,60.1774,0,0,39.8226
