
Instance,c(h),p(h),b(h),e(h),Total,c(%),p(%),b(%),e(%)
 sfsarp-10-10-1,2.04206,0,0,0.65218,2.69424,75.7935,0,0,24.2065
 sfsarp-10-10-2,2.00862,0,0,0.853005,2.86163,70.1916,0,0,29.8084
 sfsarp-10-10-3,2.11456,0,0,0.820192,2.93475,72.0524,0,0,27.9476
 sfsarp-10-10-4,1.92411,0,0,0.597641,2.52175,76.3005,0,0,23.6995
 sfsarp-10-10-5,2.73554,0,0,1.43812,4.17366,65.5429,0,0,34.4571
 sfsarp-10-15-1,2.07924,0,0,0.945016,3.02426,68.7521,0,0,31.2479
 sfsarp-10-15-2,2.45451,0,0,0.774869,3.22938,76.0057,0,0,23.9943
 sfsarp-10-15-3,2.04896,0,0,0.516611,2.56557,79.8637,0,0,20.1363
 sfsarp-10-15-4,2.65725,0,0,1.37925,4.0365,65.8305,0,0,34.1695
 sfsarp-10-15-5,1.9196,0,0,0.656744,2.57635,74.5087,0,0,25.4913
 sfsarp-10-20-1,2.45828,0,0,0.951347,3.40963,72.0982,0,0,27.9018
 sfsarp-10-20-2,2.44589,0,0,1.22778,3.67367,66.5789,0,0,33.4211
 sfsarp-10-20-3,2.92362,0,0,0.906938,3.83056,76.3236,0,0,23.6764
 sfsarp-10-20-4,2.73245,0,0,0.820447,3.5529,76.9077,0,0,23.0923
 sfsarp-10-20-5,3.52656,0,0,1.45539,4.98195,70.7867,0,0,29.2133
 sfsarp-30-15-1,6.12034,0,0,1.64696,7.7673,78.7962,0,0,21.2038
 sfsarp-30-15-2,7.2342,0,0,2.94008,10.1743,71.1028,0,0,28.8972
 sfsarp-30-15-3,7.03411,0,0,2.04852,9.08264,77.4457,0,0,22.5543
 sfsarp-30-15-4,8.08806,0,0,2.95979,11.0478,73.2094,0,0,26.7906
 sfsarp-30-15-5,6.76406,0,0,2.37981,9.14387,73.9737,0,0,26.0263
 sfsarp-30-20-1,6.55273,0,0,2.28488,8.83761,74.1459,0,0,25.8541
 sfsarp-30-20-2,7.04394,0,0,1.64929,8.69323,81.0279,0,0,18.9721
 sfsarp-30-20-3,7.18083,0,0,1.90581,9.08664,79.0263,0,0,20.9737
 sfsarp-30-20-4,8.1736,0,0,2.84007,11.0137,74.2132,0,0,25.7868
 sfsarp-30-20-5,6.81259,0,0,2.16933,8.98192,75.8478,0,0,24.1522
 sfsarp-30-30-1,6.57274,0,0,2.79274,9.36548,70.1805,0,0,29.8195
 sfsarp-30-30-2,6.23996,0,0,1.70732,7.94728,78.5169,0,0,21.4831
 sfsarp-30-30-3,8.07355,0,0,3.16275,11.2363,71.8524,0,0,28.1476
 sfsarp-30-30-4,7.26135,0,0,2.45065,9.712,74.7668,0,0,25.2332
 sfsarp-30-30-5,6.60045,0,0,1.54036,8.14081,81.0785,0,0,18.9215
 sfsarp-5-15-1,1.36125,0,0,0.551297,1.91255,71.1747,0,0,28.8253
 sfsarp-5-15-2,0.900022,0,0,0.344003,1.24402,72.3476,0,0,27.6524
 sfsarp-5-15-3,1.35669,0,0,0.459412,1.8161,74.7034,0,0,25.2966
 sfsarp-5-15-4,1.14377,0,0,0.464333,1.6081,71.1254,0,0,28.8746
 sfsarp-5-15-5,1.41383,0,0,0.437949,1.85178,76.3498,0,0,23.6502
 sfsarp-5-20-1,1.43568,0,0,0.496372,1.93205,74.3085,0,0,25.6915
 sfsarp-5-20-2,1.36601,0,0,1.03126,2.39727,56.9817,0,0,43.0183
 sfsarp-5-20-3,1.35744,0,0,0.558028,1.91547,70.8673,0,0,29.1327
 sfsarp-5-20-4,1.3105,0,0,0.742117,2.05262,63.8454,0,0,36.1546
 sfsarp-5-20-5,1.37114,0,0,0.565812,1.93695,70.7885,0,0,29.2115
 sfsarp-5-30-1,0.940262,0,0,0.408164,1.34843,69.7304,0,0,30.2696
 sfsarp-5-30-2,1.38189,0,0,0.338115,1.72,80.3422,0,0,19.6578
 sfsarp-5-30-3,1.49369,0,0,1.0478,2.54149,58.7723,0,0,41.2277
 sfsarp-5-30-4,1.38462,0,0,0.679306,2.06392,67.0867,0,0,32.9133
 sfsarp-5-30-5,0.907122,0,0,0.19476,1.10188,82.3248,0,0,17.6752
