
Instance,c(h),p(h),b(h),e(h),waitc(h),waitp(h),Total,c(%),p(%),b(%),e(%),waitc(%),waitp(%)
sarp-8-5-A-1.txt ,1.15387,1.52332,0.765669,2.30381,13.2059,5.04739,24,4.80779,6.34716,3.19029,9.59923,55.0248,21.0308
sarp-8-5-A-2.txt ,1.19053,1.47156,0.663293,1.30153,12.4976,14.8755,32,3.7204,4.59861,2.07279,4.06729,39.0549,46.4861
sarp-8-5-A-3.txt ,1.48098,1.66461,0.681013,2.13123,18.6363,7.40588,32,4.62806,5.20189,2.12817,6.66011,58.2384,23.1434
sarp-8-5-A-4.txt ,1.51946,0.963198,0.506308,1.79176,12.3497,6.86962,24,6.33106,4.01332,2.10961,7.46566,51.4569,28.6234
sarp-8-5-B-1.txt ,1.88069,1.90832,1.04185,1.16329,8.36802,17.6378,32,5.87717,5.9635,3.25579,3.63529,26.1501,55.1182
sarp-8-5-B-2.txt ,1.48259,1.74419,0.841287,1.256,8.4042,10.2717,24,6.17744,7.26746,3.50536,5.23333,35.0175,42.7989
sarp-8-5-B-3.txt ,2.02138,1.58408,0.554995,1.71606,11.0898,7.03368,24,8.4224,6.60032,2.31248,7.15024,46.2076,29.307
sarp-8-5-B-4.txt ,1.01687,2.3435,1.34458,1.7967,9.77209,15.7263,32,3.17772,7.32345,4.20181,5.61467,30.5378,49.1446
sarp-8-5-C-1.txt ,1.44369,3.76492,2.25258,1.52488,2.8446,12.1693,24,6.01538,15.6872,9.38575,6.35367,11.8525,50.7055
sarp-8-5-C-2.txt ,1.68274,3.0966,1.78507,1.09576,12.1227,12.2171,32,5.25858,9.67688,5.57835,3.42425,37.8834,38.1785
sarp-8-5-C-3.txt ,2.10197,2.83701,2.25848,2.0877,6.64989,8.06495,24,8.75822,11.8209,9.41033,8.69876,27.7079,33.604
sarp-8-5-C-4.txt ,2.56048,2.65821,2.62362,1.29096,10.4483,20.4184,40,6.4012,6.64553,6.55905,3.2274,26.1208,51.046
