
Instance,c(km),p(km),b(km),e(km),Total,c(%),p(%),b(%),e(%)
 sfsarp-10-5-1,16.1048,26.7668,12.1483,48.1016,103.121,15.6173,25.9566,11.7806,46.6456
 sfsarp-10-5-2,6.5354,42.1343,4.3706,61.1308,114.171,5.72422,36.9045,3.82811,53.5431
 sfsarp-10-5-3,7.9827,27.5146,20.3934,20.3885,76.2792,10.4651,36.0709,26.7352,26.7288
 sfsarp-10-5-4,5.207,26.1573,23.3946,29.3801,84.139,6.18857,31.0882,27.8047,34.9185
 sfsarp-10-5-5,40.1759,18.1313,4.0303,49.5973,111.935,35.8922,16.1981,3.60058,44.3091
 sfsarp-5-10-1,0,26.0231,3.3169,7.2789,36.6189,0,71.0647,9.05789,19.8774
 sfsarp-5-10-2,19.1142,25.1108,11.0044,7.9493,63.1787,30.2542,39.7457,17.4179,12.5822
 sfsarp-5-10-3,0,10.7719,1.4309,6.8185,19.0213,0,56.6307,7.52262,35.8467
 sfsarp-5-10-4,0,21.6502,9.4341,5.4404,36.5247,0,59.2755,25.8294,14.8951
 sfsarp-5-10-5,17.9416,10.496,5.5678,12.3392,46.3446,38.7135,22.6477,12.0139,26.6249
 sfsarp-5-5-1,18.1794,15.1725,13.0175,62.1492,108.519,16.7523,13.9815,11.9956,57.2706
 sfsarp-5-5-2,4.182,16.2928,3.0545,12.2512,35.7805,11.6879,45.5354,8.53677,34.2399
 sfsarp-5-5-3,1.6687,12.7633,4.7765,14.5598,33.7683,4.94162,37.7967,14.1449,43.1168
 sfsarp-5-5-4,3.3784,3.85,0.0246,16.6849,23.9379,14.1132,16.0833,0.102766,69.7008
 sfsarp-5-5-5,2.8413,19.5795,20.1925,29.4162,72.0295,3.94463,27.1826,28.0337,40.8391
 sfsarp-5-6-1,2.0787,14.5516,3.3169,19.203,39.1502,5.30955,37.1686,8.47224,49.0496
 sfsarp-5-6-2,0,16.6171,6.2771,10.9903,33.8845,0,49.0404,18.525,32.4346
 sfsarp-5-6-3,14.432,5.1612,1.3817,25.1165,46.0914,31.3117,11.1978,2.99774,54.4928
 sfsarp-5-6-4,19.2741,28.0623,17.0314,30.4032,94.771,20.3376,29.6106,17.9711,32.0807
 sfsarp-5-6-5,0,25.596,13.7268,14.6012,53.924,0,47.4668,25.4558,27.0774
 sfsarp-5-7-1,0,36.7594,19.5611,13.4938,69.8143,0,52.6531,28.0188,19.3281
 sfsarp-5-7-2,1.394,27.1639,7.6629,41.8488,78.0696,1.78559,34.7945,9.81547,53.6045
 sfsarp-5-7-3,0,47.7713,38.7737,4.4812,91.0262,0,52.4808,42.5962,4.92298
 sfsarp-5-7-4,0,26.9293,22.4844,16.0255,65.4392,0,41.1516,34.3592,24.4891
 sfsarp-5-7-5,0,37.9255,23.8989,9.3354,71.1598,0,53.2962,33.5848,13.1189
 sfsarp-5-8-1,0.5494,12.3134,4.2312,13.9597,31.0537,1.76919,39.652,13.6254,44.9534
 sfsarp-5-8-2,19.2741,10.3682,2.8987,23.974,56.515,34.1044,18.3459,5.12908,42.4206
 sfsarp-5-8-3,0,19.9296,8.1672,16.599,44.6958,0,44.5894,18.2729,37.1377
 sfsarp-5-8-4,0,24.2843,15.129,8.7549,48.1682,0,50.4156,31.4087,18.1757
 sfsarp-5-8-5,0,12.3149,6.0639,10.9896,29.3684,0,41.9325,20.6477,37.4198
 sfsarp-5-9-1,38.9295,7.269,5.5596,11.8914,63.6495,61.1623,11.4204,8.73471,18.6826
 sfsarp-5-9-2,0,17.5367,14.5509,28.4814,60.569,0,28.9533,24.0237,47.0231
 sfsarp-5-9-3,0,21.9907,24.0793,26.5475,72.6175,0,30.2829,33.1591,36.558
 sfsarp-5-9-4,0,20.8746,10.5247,13.3109,44.7102,0,46.6887,23.5398,29.7715
 sfsarp-5-9-5,17.9416,21.2574,15.908,17.4332,72.5402,24.7333,29.3043,21.9299,24.0325
 sfsarp-6-5-1,0.9553,9.3951,1.7138,20.5356,32.5998,2.93039,28.8195,5.25709,62.993
 sfsarp-6-5-2,3.0422,13.2885,1.9065,11.1618,29.399,10.348,45.2005,6.48491,37.9666
 sfsarp-6-5-3,1.5252,32.5831,7.1176,24.5709,65.7968,2.31805,49.5208,10.8175,37.3436
 sfsarp-6-5-4,0.5494,26.6108,17.7366,22.9292,67.826,0.810014,39.2339,26.1501,33.8059
 sfsarp-6-5-5,3.1611,24.5715,2.8167,14.4366,44.9859,7.02687,54.6204,6.2613,32.0914
 sfsarp-6-6-1,9.9753,26.8404,20.4426,33.006,90.2643,11.0512,29.7353,22.6475,36.566
 sfsarp-6-6-2,1.3489,26.6751,6.7486,23.7013,58.4739,2.30684,45.6188,11.5412,40.5331
 sfsarp-6-6-3,1.9557,22.9902,14.8994,13.3322,53.1775,3.67768,43.2329,28.0182,25.0711
 sfsarp-6-6-4,2.5625,51.826,18.4623,50.9408,123.792,2.07001,41.8655,14.914,41.1504
 sfsarp-6-6-5,17.7653,12.8595,10.6026,33.4534,74.6808,23.7883,17.2193,14.1972,44.7952
 sfsarp-6-7-1,0,13.3107,8.7658,12.0983,34.1748,0,38.9489,25.6499,35.4012
 sfsarp-6-7-2,0,20.4817,7.5563,15.6174,43.6554,0,46.9168,17.309,35.7743
 sfsarp-6-7-3,3.3374,33.1382,17.589,25.7799,79.8445,4.17987,41.5034,22.0291,32.2876
 sfsarp-6-7-4,20.1843,25.9529,20.5,15.5537,82.1909,24.5578,31.5764,24.9419,18.9239
 sfsarp-6-7-5,0,30.3646,9.8195,14.4685,54.6526,0,55.5593,17.9671,26.4736
 sfsarp-6-8-1,20.746,32.5831,28.0071,37.3643,118.7,17.4776,27.4498,23.5948,31.4778
 sfsarp-6-8-2,0,22.6976,3.0422,7.3426,33.0824,0,68.6093,9.19583,22.1949
 sfsarp-6-8-3,25.256,26.6981,12.0786,14.8568,78.8895,32.0144,33.8424,15.3108,18.8324
 sfsarp-6-8-4,0.2009,24.3551,18.1384,40.0859,82.7803,0.242691,29.4214,21.9115,48.4244
