 1A
Instance,c(km),p(km),b(km),e(km),Total,c(%),p(%),b(%),e(%)
 sfsarp-20-15-1,0.413,0.4252,0.1265,0.4066,1.3713,30.1174,31.0071,9.22482,29.6507
 sfsarp-20-15-2,0.3733,1.1071,0.807,0.8416,3.129,11.9303,35.3819,25.791,26.8968
 sfsarp-20-15-3,0.3513,0.9361,0.7725,0.6975,2.7574,12.7403,33.9486,28.0155,25.2956
 sfsarp-20-15-4,0.3123,0.4963,0.5974,0.967,2.373,13.1606,20.9145,25.1749,40.7501
 sfsarp-20-15-5,0.0902,0.5843,0.5364,0.6485,1.8594,4.85103,31.4241,28.848,34.8768
 sfsarp-20-20-1,0.1402,0.4047,0.4201,0.5093,1.4743,9.5096,27.4503,28.4949,34.5452
 sfsarp-20-20-2,0.1028,0.7589,0.5359,0.5455,1.9431,5.29052,39.0561,27.5796,28.0737
 sfsarp-20-20-3,0.3401,0.4834,0.4647,0.6582,1.9464,17.4733,24.8356,23.8748,33.8163
 sfsarp-20-20-4,0.1671,0.9116,0.9862,1.1828,3.2477,5.14518,28.0691,30.3661,36.4196
 sfsarp-20-20-5,0.1246,0.6361,0.153,0.5908,1.5045,8.28182,42.2798,10.1695,39.2689
 sfsarp-20-30-1,0.5309,0.6962,0.7082,0.5802,2.5155,21.1051,27.6764,28.1534,23.065
 sfsarp-20-30-2,0.0598,0.8672,0.5149,0.6216,2.0635,2.89799,42.0257,24.9528,30.1236
 sfsarp-20-30-3,0.1186,0.5473,0.1861,0.4924,1.3444,8.82178,40.7096,13.8426,36.626
 sfsarp-20-30-4,0.1149,0.5356,0.5799,0.48,1.7104,6.71773,31.3143,33.9043,28.0636
 sfsarp-20-30-5,0.2624,0.9293,0.7321,0.5129,2.4367,10.7687,38.1376,30.0447,21.049
 sfsarp-30-10-1,0.3284,0.6321,0.437,0.6161,2.0136,16.3091,31.3915,21.7024,30.5969
 sfsarp-30-10-2,0.8583,0.5151,0.4206,1.0639,2.8579,30.0325,18.0237,14.7171,37.2266
 sfsarp-30-10-3,0.7468,0.8307,0.2354,1.0719,2.8848,25.8874,28.7958,8.16001,37.1568
 sfsarp-30-10-4,0.4289,0.9543,0.3003,0.7783,2.4618,17.4222,38.7643,12.1984,31.6151
 sfsarp-30-10-5,0.5507,0.6422,0.6308,0.7936,2.6173,21.0408,24.5367,24.1012,30.3213
 sfsarp-30-15-1,0.1923,1.0262,0.6249,1.1089,2.9523,6.51357,34.7593,21.1665,37.5605
 sfsarp-30-15-2,0.8548,0.5274,0.2476,1.2538,2.8836,29.6435,18.2896,8.58649,43.4804
 sfsarp-30-15-3,0.0799,0.8427,0.535,0.9178,2.3754,3.36364,35.4761,22.5225,38.6377
 sfsarp-30-15-4,0.3557,1.1167,0.8822,0.8329,3.1875,11.1592,35.0337,27.6769,26.1302
 sfsarp-30-15-5,1.002,0.8107,0.5073,1.4031,3.7231,26.9131,21.7749,13.6257,37.6863
 sfsarp-30-20-1,0.3834,1.0969,0.5311,0.915,2.9264,13.1014,37.4829,18.1486,31.2671
 sfsarp-30-20-2,0.3424,1.2556,0.7181,1.2304,3.5465,9.65459,35.4039,20.2481,34.6934
 sfsarp-30-20-3,0.5717,0.9851,0.6997,1.4442,3.7007,15.4484,26.6193,18.9072,39.025
 sfsarp-30-20-4,0.2912,0.9425,0.5242,0.8238,2.5817,11.2794,36.507,20.3045,31.9092
 sfsarp-30-20-5,0.4325,0.5839,0.4238,0.7414,2.1816,19.8249,26.7648,19.4261,33.9842
 sfsarp-30-30-1,0.3865,0.651,0.6171,0.8762,2.5308,15.2719,25.7231,24.3836,34.6215
 sfsarp-30-30-2,0.3211,0.762,0.3086,0.8915,2.2832,14.0636,33.3742,13.5161,39.0461
 sfsarp-30-30-3,0.2494,0.8189,0.2415,0.6769,1.9867,12.5535,41.2191,12.1558,34.0716
 sfsarp-30-30-4,0.1349,0.6097,0.3286,0.4261,1.4993,8.99753,40.6656,21.9169,28.4199
 sfsarp-30-30-5,0.4605,0.4359,0.4126,0.7551,2.0641,22.31,21.1182,19.9893,36.5825
