10
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat
grubhub-12-0.tsp ,11,1,1,100.449,6.6908,86.4524,5,0.6,20.6874,Optimal
grubhub-12-3.tsp ,11,1,1,91.272,6.1264,83.674,4,0.63,13.7244,Optimal
20
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat
grubhub-12-0.tsp ,10,2,2,93.8574,14.3112,86.388,4,1.62,21.7806,Optimal
grubhub-12-3.tsp ,10,2,1,80.3256,13.9616,71.7324,4,13.91,22.5548,Optimal
30
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat
grubhub-12-0.tsp ,9,3,2,81.5772,23.5242,85.4128,4,11.5,19.6886,Optimal
grubhub-12-1.tsp ,9,3,2,76.3446,24.1882,78.2552,4,9.83,22.2776,Optimal
grubhub-12-3.tsp ,9,3,2,70.4166,26.4126,74.4096,3,45.73,22.4196,Optimal
40
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat
grubhub-12-0.tsp ,7,5,2,64.8714,22.5946,66.9024,4,7.94,20.5636,Optimal
grubhub-12-1.tsp ,7,5,3,64.4496,31.5928,77.7952,4,26.02,18.2472,Optimal
grubhub-12-3.tsp ,7,5,3,58.9548,31.9248,69.598,2,19.56,21.2816,Optimal
10
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat
grubhub-12-0.tsp ,11,1,1,100.449,6.6908,86.4524,5,0.33,20.6874,Optimal
grubhub-12-3.tsp ,11,1,1,91.272,6.1264,83.674,4,0.65,13.7244,Optimal
20
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat
grubhub-12-0.tsp ,10,2,2,93.8574,14.3112,84.8332,4,3.63,23.3354,Optimal
grubhub-12-3.tsp ,10,2,1,80.3256,13.9616,71.7324,4,10.28,22.5548,Optimal
30
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat
grubhub-12-0.tsp ,9,3,3,81.5772,30.215,88.826,4,8.59,22.9662,Optimal
grubhub-12-1.tsp ,9,3,2,76.3446,24.1882,78.2552,4,17.67,22.2776,Optimal
grubhub-12-3.tsp ,9,3,2,70.4166,26.4126,73.6736,3,39.12,23.1556,Optimal
40
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat
grubhub-12-0.tsp ,7,5,2,64.8714,22.5946,63.894,4,9.34,23.572,Optimal
grubhub-12-1.tsp ,7,5,3,64.4496,31.5928,77.7952,4,40.26,18.2472,Optimal
grubhub-12-3.tsp ,7,5,3,58.9548,31.9248,68.3376,2,13.29,22.542,Optimal
10
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat
grubhub-12-0.tsp ,11,1,1,100.449,6.6908,86.4524,5,0.61,20.6874,Optimal
grubhub-12-3.tsp ,11,1,1,91.272,6.1264,83.674,4,0.64,13.7244,Optimal
20
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat
grubhub-12-0.tsp ,10,2,2,93.8574,14.3112,86.388,4,5.83,21.7806,Optimal
grubhub-12-3.tsp ,10,2,2,80.3256,20.088,76.2404,4,5.7,24.1732,Optimal
30
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat
grubhub-12-0.tsp ,9,3,2,81.5772,23.5242,85.4128,4,80.15,19.6886,Optimal
grubhub-12-1.tsp ,9,3,2,76.3446,24.1882,75.1272,4,29.85,25.4056,Optimal
grubhub-12-3.tsp ,9,3,3,70.4166,32.539,78.9176,3,206.9,24.038,Optimal
40
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat
grubhub-12-0.tsp ,7,5,3,64.8714,30.215,69.8004,4,270.7,25.286,Optimal
grubhub-12-1.tsp ,7,5,3,64.4496,31.5928,74.0968,4,134.24,21.9456,Optimal
grubhub-12-3.tsp ,7,5,4,58.9548,38.0512,71.5116,2,799.96,25.4944,Optimal
10
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat
grubhub-12-0.tsp ,11,1,1,100.449,6.6908,86.4524,5,0.33,20.6874,Optimal
grubhub-12-3.tsp ,11,1,1,91.272,6.1264,83.674,4,0.66,13.7244,Optimal
20
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat
grubhub-12-0.tsp ,10,2,2,93.8574,14.3112,84.8332,4,5.76,23.3354,Optimal
grubhub-12-3.tsp ,10,2,2,80.3256,20.088,76.2404,4,5.04,24.1732,Optimal
30
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat
grubhub-12-0.tsp ,9,3,3,81.5772,30.215,88.826,4,83.99,22.9662,Optimal
grubhub-12-1.tsp ,9,3,2,76.3446,24.1882,75.1272,4,54.98,25.4056,Optimal
grubhub-12-3.tsp ,9,3,3,70.4166,32.539,78.1816,3,147.62,24.774,Optimal
40
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat
grubhub-12-0.tsp ,7,5,4,64.8714,40.5412,77.1696,4,168.51,28.243,Optimal
grubhub-12-1.tsp ,7,5,3,64.4496,31.5928,74.0968,4,160.26,21.9456,Optimal
grubhub-12-3.tsp ,7,5,4,58.9548,38.0512,71.5116,2,548.68,25.4944,Optimal
