30
Instance,c(km),p(km),b(km),e(km),Total,c(%),p(%),b(%),e(%)
grubhub-12-1.tsp ,67.1,43.08,15.68,127.04,252.9,26.5322,17.0344,6.20008,50.2333
40
Instance,c(km),p(km),b(km),e(km),Total,c(%),p(%),b(%),e(%)
grubhub-12-1.tsp ,44.12,55.82,29.16,113.3,242.4,18.2013,23.0281,12.0297,46.7409
30
Instance,c(km),p(km),b(km),e(km),Total,c(%),p(%),b(%),e(%)
grubhub-12-1.tsp ,67.1,43.08,15.68,127.04,252.9,26.5322,17.0344,6.20008,50.2333
40
Instance,c(km),p(km),b(km),e(km),Total,c(%),p(%),b(%),e(%)
grubhub-12-1.tsp ,44.12,55.82,29.16,113.3,242.4,18.2013,23.0281,12.0297,46.7409
30
Instance,c(km),p(km),b(km),e(km),Total,c(%),p(%),b(%),e(%)
grubhub-12-1.tsp ,76.36,34.62,6.42,128.7,246.1,31.028,14.0675,2.6087,52.2958
40
Instance,c(km),p(km),b(km),e(km),Total,c(%),p(%),b(%),e(%)
grubhub-12-1.tsp ,53.38,47.36,19.9,113.72,234.36,22.7769,20.2082,8.49121,48.5236
30
Instance,c(km),p(km),b(km),e(km),Total,c(%),p(%),b(%),e(%)
grubhub-12-1.tsp ,76.36,34.62,6.42,128.7,246.1,31.028,14.0675,2.6087,52.2958
40
Instance,c(km),p(km),b(km),e(km),Total,c(%),p(%),b(%),e(%)
grubhub-12-1.tsp ,53.38,47.36,19.9,113.72,234.36,22.7769,20.2082,8.49121,48.5236
