
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat,LB,UB,GAP
grubhub-10-0.tsp ,9,1,0,85.704,0,74.6396,4,0.03,11.0644,Optimal,11.0644,11.0644,0
grubhub-10-1.tsp ,9,1,0,79.1604,0,53.1668,3,0.03,25.9936,Optimal,25.9936,25.9936,0
grubhub-10-2.tsp ,9,1,0,75.5124,0,58.052,3,0.13,17.4604,Optimal,17.4604,17.4604,0
grubhub-10-3.tsp ,9,1,0,69.117,0,60.444,3,0.06,8.673,Optimal,8.673,8.673,0
grubhub-10-4.tsp ,9,1,0,92.3616,0,67.5096,4,0.03,24.852,Optimal,24.852,24.852,0
grubhub-10-5.tsp ,9,1,0,83.937,0,76.084,4,0.02,7.853,Optimal,7.853,7.853,0
grubhub-10-6.tsp ,9,1,0,76.2876,0,51.2624,3,0.05,25.0252,Optimal,25.0252,25.0252,0
grubhub-10-7.tsp ,9,1,0,67.0536,0,53.3876,3,0.04,13.666,Optimal,13.666,13.666,0
grubhub-10-8.tsp ,9,1,0,89.0328,0,62.4404,4,0.03,26.5924,Optimal,26.5924,26.5924,0
grubhub-10-9.tsp ,9,1,0,69.0258,0,50.002,3,0.03,19.0238,Optimal,19.0238,19.0238,0
grubhub-11-0.tsp ,10,1,0,115.78,0,71.5668,4,0.04,44.2128,Optimal,44.2128,44.2128,0
grubhub-11-1.tsp ,10,1,0,90.8934,0,59.6804,4,0.04,31.213,Optimal,31.213,31.213,0
grubhub-11-2.tsp ,10,1,0,99.2952,0,101.66,3,0.08,-2.3648,Optimal,-2.3648,-2.3648,-0
grubhub-11-3.tsp ,10,1,0,96.5022,0,51.5844,5,0.04,44.9178,Optimal,44.9178,44.9178,0
grubhub-11-4.tsp ,10,1,0,89.913,0,59.3032,4,0.05,30.6098,Optimal,30.6098,30.6098,0
grubhub-11-5.tsp ,10,1,0,105.953,0,65.8352,4,0.03,40.1176,Optimal,40.1176,40.1176,0
grubhub-11-6.tsp ,10,1,0,88.5906,0,59.708,4,0.05,28.8826,Optimal,28.8826,28.8826,0
grubhub-11-7.tsp ,10,1,0,79.5162,0,70.1316,4,0.08,9.3846,Optimal,9.3846,9.3846,0
grubhub-11-8.tsp ,10,1,0,88.6704,0,49.2384,4,0.05,39.432,Optimal,39.432,39.432,0
grubhub-11-9.tsp ,10,1,0,94.302,0,50.3424,5,0.04,43.9596,Optimal,43.9596,43.9596,0
grubhub-12-0.tsp ,11,1,0,100.449,0,83.2324,5,0.06,17.2166,Optimal,17.2166,17.2166,0
grubhub-12-3.tsp ,11,1,0,91.272,0,78.5036,4,0.14,12.7684,Optimal,12.7684,12.7684,0
grubhub-12-5.tsp ,11,1,0,103.926,0,62.0264,5,0.04,41.8996,Optimal,41.8996,41.8996,0
grubhub-12-6.tsp ,11,1,0,105.955,0,65.9548,3,0.05,40.0004,Optimal,40.0004,40.0004,0
grubhub-12-7.tsp ,11,1,0,115.007,0,52.1364,5,0.1,62.8704,Optimal,62.8704,62.8704,0
grubhub-12-8.tsp ,11,1,0,98.5338,0,54.05,5,0.04,44.4838,Optimal,44.4838,44.4838,0
grubhub-12-9.tsp ,11,1,0,108.418,0,84.87,6,0.03,23.5476,Optimal,23.5476,23.5476,0
grubhub-13-0.tsp ,12,1,0,95.994,0,81.3464,5,0.09,14.6476,Optimal,14.6476,14.6476,0
grubhub-13-1.tsp ,12,1,0,111.008,0,92.1748,4,0.06,18.833,Optimal,18.833,18.833,0
grubhub-13-2.tsp ,12,1,0,108.055,0,75.3572,5,0.08,32.698,Optimal,32.698,32.698,0
grubhub-13-3.tsp ,12,1,0,107.28,0,75.5872,4,0.11,31.6928,Optimal,31.6928,31.6928,0
grubhub-13-4.tsp ,12,1,0,106.55,0,62.5508,4,0.15,43.9996,Optimal,43.9996,43.9996,0
grubhub-13-5.tsp ,12,1,0,110.244,0,104.613,8,0.15,5.6308,Optimal,5.6308,5.6308,0
grubhub-13-6.tsp ,12,1,0,106.699,0,108.1,5,0.06,-1.4014,Optimal,-1.4014,-1.4014,-0
grubhub-13-7.tsp ,12,1,0,113.675,0,99.9856,4,0.07,13.6898,Optimal,13.6898,13.6898,0
grubhub-13-8.tsp ,12,1,0,109.879,0,72.1372,5,0.34,37.742,Optimal,37.742,37.742,0
grubhub-14-0.tsp ,13,1,0,114.67,0,80.0308,7,0.08,34.6388,Optimal,34.6388,34.6388,0
grubhub-14-2.tsp ,13,1,0,123.915,0,107.861,7,0.57,16.0542,Optimal,16.0542,16.0542,0
grubhub-14-3.tsp ,13,1,0,125.796,0,91.5032,6,0.1,34.2928,Optimal,34.2928,34.2928,0
grubhub-14-4.tsp ,13,1,0,127.335,0,95.3396,5,0.6,31.9954,Optimal,31.9954,31.9954,0
grubhub-14-5.tsp ,13,1,0,122.935,0,66.8104,6,0.11,56.1242,Optimal,56.1242,56.1242,0
grubhub-14-6.tsp ,13,1,0,131.804,0,89.4884,6,0.23,42.3154,Optimal,42.3154,42.3154,0
grubhub-14-7.tsp ,13,1,0,101.491,0,80.3344,5,0.21,21.1568,Optimal,21.1568,21.1568,0
grubhub-14-8.tsp ,13,1,0,124.736,0,88.5592,5,0.21,36.1766,Optimal,36.1766,36.1766,0
grubhub-14-9.tsp ,13,1,0,123.79,0,86.434,4,0.51,37.3556,Optimal,37.3556,37.3556,0
grubhub-15-0.tsp ,14,1,0,133.482,0,108.036,6,0.33,25.4464,Optimal,25.4464,25.4464,0
grubhub-15-1.tsp ,14,1,0,123.028,0,72.3028,5,0.27,50.7254,Optimal,50.7254,50.7273,0.00374552
grubhub-15-2.tsp ,14,1,0,127.292,0,110.336,3,0.12,16.9562,Optimal,16.9562,16.9562,0
grubhub-15-3.tsp ,14,1,0,130.712,0,104.3,7,1.21,26.4114,Optimal,26.4114,26.4114,0
grubhub-15-4.tsp ,14,1,0,119.631,0,93.7756,5,0.93,25.8554,Optimal,25.8554,25.8554,0
grubhub-15-5.tsp ,14,1,0,138.031,0,93.38,5,0.13,44.6506,Optimal,44.6506,44.6506,0
grubhub-15-6.tsp ,14,1,0,126.026,0,96.6276,7,1.5,29.3988,Optimal,29.3988,29.3988,0
