10
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat
grubhub-10-0.tsp ,9,1,1,38.584,3.66683,11.592,2,0.11,30.6588,Optimal
grubhub-10-1.tsp ,9,1,1,37.4934,4.16483,10.8851,2,0.11,30.7731,Optimal
grubhub-10-2.tsp ,9,1,1,36.8854,4.7237,9.23373,2,0.08,32.3754,Optimal
grubhub-10-3.tsp ,9,1,1,35.8195,3.83007,10.5831,2,0.11,29.0665,Optimal
grubhub-10-4.tsp ,9,1,1,39.6936,4.04863,11.7683,2,0.07,31.9739,Optimal
grubhub-10-5.tsp ,9,1,1,38.2895,4.82053,11.2731,2,0.11,31.837,Optimal
grubhub-10-6.tsp ,9,1,1,37.0146,4.50513,8.21867,2,0.11,33.3011,Optimal
grubhub-10-7.tsp ,9,1,1,35.4756,4.2257,13.0364,2,0.12,26.6649,Optimal
grubhub-10-8.tsp ,9,1,1,39.1388,3.38463,10.8928,2,0.15,31.6306,Optimal
grubhub-10-9.tsp ,9,1,1,35.8043,3.82177,10.4006,2,0.23,29.2255,Optimal
grubhub-11-0.tsp ,10,1,1,46.2966,3.321,11.7423,2,0.11,37.8753,Optimal
grubhub-11-1.tsp ,10,1,1,42.1489,4.16207,11.3973,2,0.09,34.9137,Optimal
grubhub-11-2.tsp ,10,1,1,43.5492,4.80947,11.6809,2,0.02,36.6777,Optimal
grubhub-11-3.tsp ,10,1,1,43.0837,4.37787,11.6257,2,0.28,35.8358,Optimal
grubhub-11-4.tsp ,10,1,1,41.9855,4.6075,9.8302,2,0.1,36.7628,Optimal
grubhub-11-5.tsp ,10,1,1,44.6588,4.0514,12.6224,2,0.21,36.0878,Optimal
grubhub-11-6.tsp ,10,1,1,41.7651,3.73877,13.3047,2,0.27,32.1991,Optimal
grubhub-11-7.tsp ,10,1,1,40.2527,4.1925,10.1844,2,0.18,34.2608,Optimal
grubhub-11-8.tsp ,10,1,1,41.7784,3.47593,9.75813,2,0.15,35.4962,Optimal
grubhub-11-9.tsp ,10,1,1,42.717,4.25337,10.396,2,0.11,36.5744,Optimal
grubhub-12-0.tsp ,11,1,1,46.4415,3.39847,11.9907,2,0.14,37.8493,Optimal
grubhub-12-1.tsp ,11,1,1,45.6454,4.28657,14.5207,2,0.23,35.4113,Optimal
grubhub-12-2.tsp ,11,1,1,44.5282,4.03757,10.3945,2,0.13,38.1713,Optimal
grubhub-12-3.tsp ,11,1,1,44.912,3.3044,14.1511,2,0.27,34.0653,Optimal
grubhub-12-4.tsp ,11,1,1,44.7524,3.52573,16.4097,2,0.43,31.8684,Optimal
grubhub-12-6.tsp ,11,1,1,47.3592,3.22693,14.4302,2,0.15,36.1559,Optimal
grubhub-12-7.tsp ,11,1,1,48.8678,3.60873,11.914,2,0.17,40.5625,Optimal
grubhub-12-8.tsp ,11,1,1,46.1223,4.26443,12.9873,2,0.49,37.3994,Optimal
grubhub-12-9.tsp ,11,1,1,47.7696,4.10397,12.8953,2,0.39,38.9782,Optimal
grubhub-13-0.tsp ,12,1,1,48.399,3.71387,13.0548,2,0.19,39.0581,Optimal
grubhub-13-1.tsp ,12,1,1,50.9013,4.5245,16.1169,2,0.23,39.3089,Optimal
grubhub-13-2.tsp ,12,1,1,50.4092,4.46087,14.1665,2,0.52,40.7036,Optimal
grubhub-13-3.tsp ,12,1,1,50.28,3.5285,14.5406,2,0.39,39.2679,Optimal
grubhub-13-4.tsp ,12,1,1,50.1584,4.0099,12.8693,2,0.23,41.299,Optimal
grubhub-13-5.tsp ,12,1,1,50.774,5.11103,18.9888,2,0.8,36.8962,Optimal
grubhub-13-6.tsp ,12,1,1,50.1831,4.7901,17.5751,2,0.29,37.3981,Optimal
grubhub-13-7.tsp ,12,1,1,51.3459,3.60043,10.2534,2,0.19,44.6929,Optimal
grubhub-13-8.tsp ,12,1,1,50.7132,3.59213,16.7731,2,0.77,37.5322,Optimal
grubhub-13-9.tsp ,12,1,1,49.5314,2.88387,11.1596,2,0.32,41.2557,Optimal
grubhub-14-0.tsp ,13,1,1,54.2116,4.00437,13.0809,3,1.54,45.1351,Optimal
grubhub-14-1.tsp ,13,1,1,54.9773,3.62257,12.7865,2,0.69,45.8134,Optimal
grubhub-14-2.tsp ,13,1,1,55.7525,3.86327,19.7401,2,0.29,39.8756,Optimal
grubhub-14-3.tsp ,13,1,1,56.066,4.08183,13.7923,3,0.86,46.3555,Optimal
grubhub-14-4.tsp ,13,1,1,56.3225,3.819,14.4869,2,0.34,45.6546,Optimal
grubhub-14-5.tsp ,13,1,1,55.5891,3.02773,15.0129,2,1.09,43.604,Optimal
grubhub-14-6.tsp ,13,1,1,57.0673,4.0099,13.7218,3,0.76,47.3554,Optimal
grubhub-14-7.tsp ,13,1,1,52.0152,4.4249,13.915,2,0.75,42.5251,Optimal
grubhub-14-8.tsp ,13,1,1,55.8893,3.5368,15.5664,3,0.45,43.8597,Optimal
grubhub-14-9.tsp ,13,1,1,55.7316,3.73877,13.961,2,0.36,45.5094,Optimal
grubhub-15-0.tsp ,14,1,1,60.047,5.4209,15.0681,3,1.81,50.3998,Optimal
grubhub-15-1.tsp ,14,1,1,58.3047,4.4913,14.1895,2,0.73,48.6065,Optimal
grubhub-15-2.tsp ,14,1,1,59.0153,5.0225,17.2086,2,0.61,46.8292,Optimal
grubhub-15-3.tsp ,14,1,1,59.5853,5.1138,19.5515,2,1.2,45.1476,Optimal
grubhub-15-4.tsp ,14,1,1,57.7385,3.77473,16.1874,2,0.87,45.3258,Optimal
grubhub-15-5.tsp ,14,1,1,60.8051,4.5826,20.4562,2,1.5,44.9315,Optimal
grubhub-15-6.tsp ,14,1,1,58.8044,3.9933,17.4125,2,0.66,45.3852,Optimal
grubhub-15-8.tsp ,14,1,1,60.4517,4.898,17.2285,2,1.19,48.1212,Optimal
grubhub-15-9.tsp ,14,1,1,59.8133,4.3004,20.8947,2,1.05,43.219,Optimal
20
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat
grubhub-10-0.tsp ,8,2,1,34.8234,3.66683,9.545,2,0.09,28.9452,Optimal
grubhub-10-1.tsp ,8,2,2,33.2426,8.3767,11.9968,2,0.35,29.6225,Optimal
grubhub-10-2.tsp ,8,2,2,33.0032,8.39883,9.752,2,0.05,31.65,Optimal
grubhub-10-3.tsp ,8,2,2,32.1121,7.25067,11.2976,2,0.39,28.0652,Optimal
grubhub-10-4.tsp ,8,2,2,35.5435,8.11387,13.2802,2,0.19,30.3772,Optimal
grubhub-10-5.tsp ,8,2,2,34.0254,9.05177,11.5322,2,0.1,31.545,Optimal
grubhub-10-6.tsp ,8,2,2,33.2654,7.9866,8.85807,2,0.15,32.3939,Optimal
grubhub-10-7.tsp ,8,2,2,31.1906,8.48737,12.7803,2,0.21,26.8976,Optimal
grubhub-10-8.tsp ,8,2,2,35.0514,7.35857,10.6275,2,0.27,31.7824,Optimal
grubhub-10-9.tsp ,8,2,2,32.2071,7.0819,10.6996,2,0.68,28.5894,Optimal
grubhub-11-0.tsp ,9,2,2,41.4093,8.4597,11.3083,2,0.31,38.5607,Optimal
grubhub-11-1.tsp ,9,2,2,38.394,7.65183,11.2179,2,0.84,34.828,Optimal
grubhub-11-2.tsp ,9,2,2,38.8804,9.63,14.1619,2,0.38,34.3485,Optimal
grubhub-11-3.tsp ,9,2,2,38.6353,8.87747,11.6702,2,0.39,35.8426,Optimal
grubhub-11-4.tsp ,9,2,2,38.1052,8.27987,10.6091,2,0.29,35.7759,Optimal
grubhub-11-5.tsp ,9,2,2,40.0071,8.84703,13.3661,2,1.28,35.4881,Optimal
grubhub-11-6.tsp ,9,2,2,37.8088,7.5218,13.6359,2,1.25,31.6947,Optimal
