,,,,,,,,,,,,,
Instance,c(h),p(h),b(h),e(h),waitc(h),waitp(h),Total,c(%),p(%),b(%),e(%),waitc(%),waitp(%)
grubhub-12-0.tsp ,4.61,0.28,0.00,4.44,8.84,0.00,18.16,25.36,1.56,0.00,24.42,48.66,0.00
grubhub-12-3.tsp ,4.21,0.27,0.00,4.28,16.93,0.00,25.69,16.40,1.04,0.00,16.65,65.91,0.00
grubhub-12-5.tsp ,4.76,0.00,0.00,3.29,31.60,0.00,39.64,12.00,0.00,0.00,8.30,79.71,0.00
grubhub-12-6.tsp ,4.84,0.25,0.00,3.62,14.87,0.00,23.59,20.53,1.07,0.00,15.36,63.05,0.00
grubhub-12-7.tsp ,5.23,0.32,0.00,2.92,22.81,0.00,31.28,16.72,1.02,0.00,9.33,72.93,0.00
grubhub-12-8.tsp ,4.52,0.44,0.00,3.13,27.82,0.00,35.92,12.60,1.21,0.00,8.73,77.46,0.00
grubhub-12-9.tsp ,4.95,0.41,0.00,4.50,26.85,0.00,36.70,13.48,1.11,0.00,12.27,73.15,0.00
,,,,,,,,,,,,,
Instance,c(h),p(h),b(h),e(h),waitc(h),waitp(h),Total,c(%),p(%),b(%),e(%),waitc(%),waitp(%)
grubhub-12-0.tsp ,4.30,0.59,0.00,4.21,4.99,4.84,18.93,22.70,3.13,0.00,22.24,26.37,25.56
grubhub-12-3.tsp ,3.72,0.84,0.00,3.66,19.32,0.12,27.66,13.44,3.04,0.00,13.23,69.85,0.44
grubhub-12-5.tsp ,4.48,0.28,0.00,3.68,23.56,0.00,32.00,13.99,0.87,0.00,11.50,73.64,0.00
grubhub-12-6.tsp ,4.33,0.77,0.00,3.39,13.92,0.99,23.39,18.49,3.28,0.00,14.47,59.52,4.23
grubhub-12-7.tsp ,4.34,1.15,0.00,2.57,20.17,0.16,28.38,15.30,4.04,0.00,9.05,71.05,0.56
grubhub-12-8.tsp ,3.96,1.00,0.00,3.13,27.78,1.86,37.73,10.51,2.64,0.00,8.31,73.62,4.93
grubhub-12-9.tsp ,4.42,0.94,0.00,3.67,25.89,2.62,37.55,11.77,2.51,0.00,9.78,68.96,6.98
