
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat,LB,UB,GAP
sarp-25-15-A-1.txt ,25,15,12,111.444,64.1658,125.937,9,3596.97,49.6725,Feasible,49.6725,75.397,34.1187
sarp-25-15-A-2.txt ,25,15,9,109.829,51.795,140.569,9,3595.95,21.0547,Feasible,21.0547,73.3084,71.2793
sarp-25-15-A-3.txt ,25,15,11,106.087,63.2957,119.649,8,3597.08,49.7335,Feasible,49.7335,70.7927,29.7477
sarp-25-15-A-4.txt ,25,15,11,110.858,59.1463,168.197,8,3596.75,1.8078,Feasible,1.8078,61.4124,97.0563
sarp-25-15-B-1.txt ,25,15,12,126.175,82.7349,159.053,6,3598.01,49.8573,Feasible,49.8573,69.2083,27.9605
sarp-25-15-B-2.txt ,25,15,9,130.674,68.4769,139.179,6,3598.14,59.9719,Feasible,59.9719,92.7133,35.3147
sarp-25-15-B-3.txt ,25,15,12,124.836,89.3952,152.491,5,3598.59,61.7405,Feasible,61.7405,82.4329,25.1021
sarp-25-15-B-4.txt ,25,15,15,132.597,115.622,153.635,8,3597.04,94.5829,Feasible,94.5829,124.588,24.0835
sarp-25-15-C-1.txt ,25,15,13,307.619,200.176,162.21,11,3595.49,345.585,Feasible,345.585,392.51,11.9551
sarp-25-15-C-2.txt ,25,15,13,287.517,222.337,184.817,7,3598.41,325.036,Feasible,325.036,349.483,6.99519
sarp-25-15-C-3.txt ,25,15,12,323.194,190.439,152,9,3596.43,361.633,Feasible,361.633,391.086,7.53108
sarp-25-15-C-4.txt ,25,15,15,341.341,267.943,207.309,12,3595.42,401.975,Feasible,401.975,453.8,11.4202
