
Instance,c(km),p(km),b(km),e(km),Total,c(%),p(%),b(%),e(%)
sarp-10-10-A-2.txt ,19.4461,49.3843,12.3749,92.8981,174.103,11.1693,28.3649,7.10777,53.358
sarp-10-10-A-4.txt ,13.8965,73.1002,24.5301,78.6851,190.212,7.30578,38.431,12.8962,41.3671
sarp-10-10-B-1.txt ,4.37451,174.805,51.5949,117.228,348.002,1.25704,50.2309,14.826,33.686
sarp-10-10-B-3.txt ,5.56103,175.827,39.3148,61.3351,282.038,1.97173,62.3416,13.9396,21.7471
sarp-10-10-B-4.txt ,4.01942,160.91,47.4544,73.4816,285.866,1.40605,56.2888,16.6002,25.7049
sarp-10-10-C-1.txt ,25.0575,166.17,148.515,74.4407,414.184,6.04986,40.1199,35.8574,17.9729
sarp-10-10-C-2.txt ,9.45804,162.03,156.055,121.538,449.08,2.10609,36.0803,34.7498,27.0638
sarp-10-10-C-3.txt ,36.1766,169.334,107.815,69.7608,383.087,9.44345,44.2025,28.1438,18.2102
sarp-10-10-C-4.txt ,54.5887,142.49,75.6009,29.5549,302.235,18.0617,47.1455,25.014,9.7788
sarp-5-10-A-1.txt ,6.7656,90.2989,9.46972,40.0221,146.556,4.61638,61.6138,6.46149,27.3083
sarp-5-10-B-1.txt ,0,93.88,34.382,45.5948,173.857,0,53.9985,19.776,26.2255

Instance,c(km),p(km),b(km),e(km),Total,c(%),p(%),b(%),e(%)
sarp-10-10-A-2.txt ,19.4461,49.3843,12.3749,92.8981,174.103,11.1693,28.3649,7.10777,53.358
sarp-10-10-A-4.txt ,6.47153,99.0987,31.955,65.2571,202.782,3.19137,48.8695,15.7583,32.1808
sarp-10-10-B-1.txt ,0,185.518,55.9694,107.251,348.739,0,53.197,16.0491,30.754
sarp-10-10-B-3.txt ,0,128.729,44.8759,61.8875,235.493,0,54.6638,19.0562,26.28
sarp-10-10-B-4.txt ,0,194.64,51.4739,73.0281,319.142,0,60.9886,16.1288,22.8826
sarp-10-10-C-1.txt ,3.11952,149.485,170.453,54.2959,377.354,0.826685,39.614,45.1708,14.3886
sarp-10-10-C-2.txt ,29.9285,149.376,135.584,115.307,430.196,6.95694,34.7229,31.5169,26.8033
sarp-10-10-C-3.txt ,15.2852,177.026,128.707,92.3803,413.399,3.69745,42.8222,31.1338,22.3465
sarp-10-10-C-4.txt ,35.2062,147.572,94.9834,22.4455,300.207,11.7273,49.1568,31.6393,7.47666
sarp-5-10-A-1.txt ,0,106.6,16.2353,19.2763,142.112,0,75.0115,11.4243,13.5642
sarp-5-10-B-1.txt ,0,93.88,34.382,45.5948,173.857,0,53.9985,19.776,26.2255
