
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat,LB,UB,GAP
sarp-15-15-A-1.txt ,15,15,11,70.2565,56.7597,105.526,6,7194.61,21.4899,Feasible,21.4899,71.1765,69.8076
sarp-15-15-A-2.txt ,15,15,12,70.0911,71.461,123.652,6,7198.2,17.8998,Feasible,17.8998,71.5057,74.9673
sarp-15-15-A-4.txt ,15,15,13,72.2883,99.9846,159.355,5,7194.49,12.9175,Feasible,12.9175,101.186,87.2339
sarp-15-15-B-2.txt ,15,15,11,82.4728,75.8765,124.855,5,7159.2,33.4943,Feasible,33.4943,108.995,69.2699
sarp-15-15-B-3.txt ,15,15,15,84.4291,132.547,154.807,5,7197.38,62.1697,Feasible,62.1697,143.091,56.5523
sarp-15-15-B-4.txt ,15,15,15,85.5579,104.205,133.167,6,7197.61,56.5964,Feasible,56.5964,101.164,44.0548
sarp-15-15-C-1.txt ,15,15,15,157.138,224.016,129.197,11,7198.59,251.957,Feasible,251.957,293.208,14.0689
sarp-15-15-C-2.txt ,15,15,15,170.121,298.851,201.77,8,7197.2,267.202,Feasible,267.202,385.168,30.6272
sarp-15-15-C-4.txt ,15,15,15,196.63,227.497,235.32,9,7199.18,188.807,Feasible,188.807,333.659,43.4132

Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat,LB,UB,GAP
sarp-15-15-A-1.txt ,15,15,14,70.2565,79.253,140.617,5,7195.52,8.89253,Feasible,8.89253,72.8768,87.7979
