
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat,LB,UB,GAP
sarp-15-5-A-1.txt ,15,5,1,75.4715,4.85592,65.5094,4,7197.61,14.8181,Feasible,14.8181,21.6989,31.7104
sarp-15-5-A-2.txt ,15,5,5,79.1377,33.4426,68.5658,8,7198.42,44.0145,Feasible,44.0145,48.5895,9.41561
sarp-15-5-A-3.txt ,15,5,5,70.002,34.7403,81.2103,5,7195.87,23.5321,Feasible,23.5321,39.3408,40.184
sarp-15-5-A-4.txt ,15,5,5,80.8701,69.3681,107.974,5,7191.93,42.2641,Feasible,42.2641,82.7631,48.9336
sarp-15-5-B-2.txt ,15,5,5,100.651,78.985,100.356,7,7195.28,79.2796,Feasible,79.2796,107.15,26.0106
sarp-15-5-B-3.txt ,15,5,5,88.449,48.3811,73.8063,6,7195.68,63.0238,Feasible,63.0238,71.8056,12.23
sarp-15-5-B-4.txt ,15,5,5,93.9406,46.5177,93.1925,5,7194.31,47.2658,Feasible,47.2658,72.6924,34.9783
sarp-15-5-C-1.txt ,15,5,5,167.427,69.4179,108.002,5,7194.68,128.843,Feasible,128.843,170.452,24.411
sarp-15-5-C-2.txt ,15,5,5,155.327,80.1482,86.6356,5,7195.74,148.84,Feasible,148.84,165.365,9.99305
sarp-15-5-C-3.txt ,15,5,5,167.136,66.8164,83.3679,7,7196.55,150.585,Feasible,150.585,162.308,7.22269
sarp-15-5-C-4.txt ,15,5,5,168.61,73.5202,101.776,7,7194.76,140.354,Feasible,140.354,182.014,22.8883

Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat,LB,UB,GAP
sarp-15-5-A-1.txt ,15,5,1,75.4715,4.85592,65.5094,4,4247.19,14.8181,Optimal,14.8181,14.8195,0.00944701
sarp-15-5-A-2.txt ,15,5,3,79.1377,21.4425,56.4284,8,7197.56,44.1518,Feasible,44.1518,47.5836,7.21215
sarp-15-5-A-3.txt ,15,5,5,70.002,34.7403,78.5287,5,7194.67,26.2136,Feasible,26.2136,44.5592,41.1713
sarp-15-5-A-4.txt ,15,5,5,80.8701,69.3681,94.7108,4,7193.41,55.5274,Feasible,55.5274,86.6935,35.9498
sarp-15-5-B-2.txt ,15,5,5,100.651,78.985,94.2321,7,7194.67,85.4036,Feasible,85.4036,108.238,21.0965
sarp-15-5-B-3.txt ,15,5,5,88.449,48.3811,76.6877,6,7194.87,60.1424,Feasible,60.1424,72.0269,16.5001
sarp-15-5-B-4.txt ,15,5,5,93.9406,46.5177,79.5876,5,7195.4,60.8707,Feasible,60.8707,70.3622,13.4895
sarp-15-5-C-1.txt ,15,5,5,167.427,69.4179,116.776,5,7195.28,120.07,Feasible,120.07,170.181,29.4457
sarp-15-5-C-2.txt ,15,5,5,155.327,80.1482,92.4603,5,7195.57,143.015,Feasible,143.015,169.739,15.7442
sarp-15-5-C-3.txt ,15,5,5,167.136,66.8164,80.5978,7,7196.24,153.355,Feasible,153.355,162.472,5.61143
sarp-15-5-C-4.txt ,15,5,5,168.61,73.5202,124.591,6,7195.03,117.54,Feasible,117.54,181.761,35.3327
